image,depth, angle, count
60-15-col-wd-3-1.tif,0,32,2.0284087658
60-15-col-wd-3-1.tif,0,34,1.7336423397
60-15-col-wd-3-1.tif,0,36,1.9821988344
60-15-col-wd-3-1.tif,0,38,1.8067113161
60-15-col-wd-3-1.tif,0,40,2.0114510059
60-15-col-wd-3-1.tif,0,42,1.712718606
60-15-col-wd-3-1.tif,0,44,2.3944969177
60-15-col-wd-3-1.tif,0,46,1.2817778587
60-15-col-wd-3-1.tif,0,48,1.2406461239
60-15-col-wd-3-1.tif,0,50,1.0176368952
60-15-col-wd-3-1.tif,0,52,1.0458552837
60-15-col-wd-3-1.tif,0,54,1.2426789999
60-15-col-wd-3-1.tif,0,56,1.2645705938
60-15-col-wd-3-1.tif,0,58,0.9785663486
60-15-col-wd-3-1.tif,0,60,1.1937724352
60-15-col-wd-3-1.tif,0,62,0.79452914
60-15-col-wd-3-1.tif,0,64,0.6966645718
60-15-col-wd-3-1.tif,0,66,0.959151566
60-15-col-wd-3-1.tif,0,68,0.5772701502
60-15-col-wd-3-1.tif,0,70,0.6374000907
60-15-col-wd-3-1.tif,0,72,0.5029936433
60-15-col-wd-3-1.tif,0,74,0.6403589249
60-15-col-wd-3-1.tif,0,76,0.4919876754
60-15-col-wd-3-1.tif,0,78,0.5268998742
60-15-col-wd-3-1.tif,0,80,0.1884068549
60-15-col-wd-3-1.tif,0,82,0.3642320037
60-15-col-wd-3-1.tif,0,84,0.3979467154
60-15-col-wd-3-1.tif,0,86,0.3910894096
60-15-col-wd-3-1.tif,0,88,0.4502558708
60-15-col-wd-3-1.tif,5,-90,1.1990166903
60-15-col-wd-3-1.tif,5,-88,0.8326931
60-15-col-wd-3-1.tif,5,-86,0.9192442298
60-15-col-wd-3-1.tif,5,-84,0.549212873
60-15-col-wd-3-1.tif,5,-82,0.3938019872
60-15-col-wd-3-1.tif,5,-80,0.520870626
60-15-col-wd-3-1.tif,5,-78,0.5831471682
60-15-col-wd-3-1.tif,5,-76,0.6855442524
60-15-col-wd-3-1.tif,5,-74,0.3747135401
60-15-col-wd-3-1.tif,5,-72,0.5444888473
60-15-col-wd-3-1.tif,5,-70,0.4771470726
60-15-col-wd-3-1.tif,5,-68,0.6925562024
60-15-col-wd-3-1.tif,5,-66,0.7140174508
60-15-col-wd-3-1.tif,5,-64,0.8085677624
60-15-col-wd-3-1.tif,5,-62,0.582539916
60-15-col-wd-3-1.tif,5,-60,0.6405386329
60-15-col-wd-3-1.tif,5,-58,0.4034603238
60-15-col-wd-3-1.tif,5,-56,0.4335413575
60-15-col-wd-3-1.tif,5,-54,0.538787365
60-15-col-wd-3-1.tif,5,-52,0.2543589771
60-15-col-wd-3-1.tif,5,-50,0.3588939011
60-15-col-wd-3-1.tif,5,-48,0.4262177348
60-15-col-wd-3-1.tif,5,-46,0.4491786659
60-15-col-wd-3-1.tif,5,-44,0.5771940351
60-15-col-wd-3-1.tif,5,-42,0.4562755525
60-15-col-wd-3-1.tif,5,-40,0.3124126494
60-15-col-wd-3-1.tif,5,-38,0.4784808755
60-15-col-wd-3-1.tif,5,-36,0.4985784292
60-15-col-wd-3-1.tif,5,-34,0.7129926682
60-15-col-wd-3-1.tif,5,-32,0.6847571135
60-15-col-wd-3-1.tif,5,-30,0.4871491492
60-15-col-wd-3-1.tif,5,-28,0.8098453283
60-15-col-wd-3-1.tif,5,-26,0.9699411988
60-15-col-wd-3-1.tif,5,-24,1.2168109417
60-15-col-wd-3-1.tif,5,-22,1.4265152216
60-15-col-wd-3-1.tif,5,-20,1.2290238142
60-15-col-wd-3-1.tif,5,-18,1.8912751675
60-15-col-wd-3-1.tif,5,-16,2.5095853806
60-15-col-wd-3-1.tif,5,-14,2.2401630878
60-15-col-wd-3-1.tif,5,-12,1.8352530003
60-15-col-wd-3-1.tif,5,-10,2.4766061306
60-15-col-wd-3-1.tif,5,-8,2.7939298153
60-15-col-wd-3-1.tif,5,-6,3.1100904942
60-15-col-wd-3-1.tif,5,-4,3.1118500233
60-15-col-wd-3-1.tif,5,-2,4.9175553322
60-15-col-wd-3-1.tif,5,1.27222193825778E-013,7.6570649147
60-15-col-wd-3-1.tif,5,2,2.4796204567
60-15-col-wd-3-1.tif,5,4,1.562695384
60-15-col-wd-3-1.tif,5,6,2.1853065491
60-15-col-wd-3-1.tif,5,8,1.2660249472
60-15-col-wd-3-1.tif,5,10,1.9849152565
60-15-col-wd-3-1.tif,5,12,2.6847734451
60-15-col-wd-3-1.tif,5,14,1.923658371
60-15-col-wd-3-1.tif,5,16,2.3659558296
60-15-col-wd-3-1.tif,5,18,1.3388607502
60-15-col-wd-3-1.tif,5,20,1.355435133
60-15-col-wd-3-1.tif,5,22,0.9029128551
60-15-col-wd-3-1.tif,5,24,0.7896720171
60-15-col-wd-3-1.tif,5,26,0.6526159644
60-15-col-wd-3-1.tif,5,28,0.6993213296
60-15-col-wd-3-1.tif,5,30,0.4463600218
60-15-col-wd-3-1.tif,5,32,0.3850195706
60-15-col-wd-3-1.tif,5,34,0.588306129
60-15-col-wd-3-1.tif,5,36,0.4913665652
60-15-col-wd-3-1.tif,5,38,0.5529003143
60-15-col-wd-3-1.tif,5,40,0.51132828
60-15-col-wd-3-1.tif,5,42,0.4862044156
60-15-col-wd-3-1.tif,5,44,0.3069786727
60-15-col-wd-3-1.tif,5,46,0.7007421255
60-15-col-wd-3-1.tif,5,48,0.470393002
60-15-col-wd-3-1.tif,5,50,0.5099265575
60-15-col-wd-3-1.tif,5,52,0.75387609
60-15-col-wd-3-1.tif,5,54,0.5451583266
60-15-col-wd-3-1.tif,5,56,0.5863227844
60-15-col-wd-3-1.tif,5,58,0.9013605714
60-15-col-wd-3-1.tif,5,60,0.4210748374
60-15-col-wd-3-1.tif,5,62,0.8821989894
60-15-col-wd-3-1.tif,5,64,0.5947593451
60-15-col-wd-3-1.tif,5,66,0.8887246251
60-15-col-wd-3-1.tif,5,68,0.7047706246
