image,time_in_serie,segment_id,length,direction,start_x,start_y,end_x,end_y,environment,reporter_id,intensity,intensity_ratio,diameter,rep_x,rep_y
60-17-col-wd-1.tif,1,5ad796bb-fb9f-4752-99f7-f63f7d4fc2e6,31.144823,5.527536174753266,941,47,944,78,49.911,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,9ad82bb6-c6a9-4ac1-8d27-85e3e91a8640,26.832815,63.43494410114121,853,116,829,128,46.292,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,bc64ddac-3015-47ee-939c-31fdf70644b3,13.601471,36.02736342285169,1064,206,1072,217,45.2098,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,38892fae-d0da-43ab-82c0-01982767f9db,21.84033,15.945403783229608,911,214,905,235,42.4555,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,f2541f5f-f8c0-4b33-844a-2ecdd4ca4e94,32.140316,5.355825219019152,879,298,882,330,45.0122,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,fa30c2f6-2f49-4ec0-ba7b-ce64c70cd938,23.600847,53.61564695076811,1050,320,1069,334,44.8119,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,ef39bccd-7393-4949-ab3b-4626749f396b,21.84033,15.945403783229608,693,323,687,344,44.8721,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,6545defc-3146-406f-a560-a4ce13be63eb,15.556349,45.00000398408835,923,324,912,335,44.6261,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,d2cf5141-75e6-462e-a917-0965fe0d0871,18.788294,25.201131097787936,1071,336,1079,353,44.4404,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,79961405-ee5c-40ed-8f03-a8bf39936b36,26.400757,24.623570301571647,990,347,1001,371,44.906,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,0e85662e-2805-47b9-85e2-bc89ff69cf00,12.529964,61.38952237726647,1088,374,1099,380,43.2352,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,1ca78ae7-a8f3-4b1d-baa9-10395886dc22,58.21512,4.927107905195783,692,381,697,439,45.0938,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,647acce0-f0c8-4a0a-ac80-d77f8dbc767c,42.72002,57.425936281151394,1091,396,1127,419,43.6136,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,80ed64c9-631e-43f8-805b-b4a61bd9dc0d,17.262676,10.00797497925089,1169,407,1166,424,42.7937,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,33a1cae5-fa3e-4f67-a9b0-4afd94efe3fe,23.853722,33.023856037230246,939,423,952,443,43.0604,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,3bd77f33-9298-483d-a8e3-28cd0efcbe99,64.49806,7.125008138592534,1173,476,1181,540,42.5379,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,5d0d6b71-e7e8-4c67-8550-ff57e4bbb161,30.413813,46.332206427433334,1151,505,1173,526,42.4731,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,a55efdc2-7a3d-4419-b95b-01babd0b1d3a,32.695564,23.42869700816965,1066,509,1079,539,44.8826,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,72486f42-33fb-4431-9c13-575a1f7b40e8,75.43209,14.588929580555714,989,519,1008,592,43.9319,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,fe571d73-e190-4749-bd0e-26cdbdba951c,13.341664,12.994626824491377,1180,541,1183,554,41.7236,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,5e8a443a-9634-4e0f-95be-bd5d3eb25d0c,20.0,53.13010109655957,917,543,901,555,43.9608,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,3f867416-d483-417f-8f14-30111ac00f34,31.827662,46.27302830197365,778,571,755,593,45.065,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,8caa6db0-2400-4e92-b98f-a2dc47fccf08,23.43075,39.80557681840193,704,660,689,678,44.6247,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,e1662b0b-527f-4d35-9b2c-8b411444405f,86.313385,46.8778825341133,732,663,669,722,43.0213,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,49353b2c-e9a6-4a52-9686-4ff8340d8dba,16.27882,10.619659400560522,956,672,953,688,43.0776,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,50ecba93-33dd-4de3-9a4c-9eaaf968ea67,44.27189,71.56505624048145,1129,675,1171,689,44.3599,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,6f46beeb-5a75-4fa5-a85f-b1a8b595176c,49.819675,10.407704970236693,932,691,923,740,43.1093,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,aed7a469-2d19-42ea-a2b1-1b700eb41e10,59.07622,56.04093784201291,1131,705,1180,738,43.6573,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,675b4cdc-3b19-4d5b-842e-8d4ca44ca926,20.22375,81.4692116611028,668,721,648,724,42.5694,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,1367b404-bbe1-4858-8ef6-7293abfbe2e5,52.40229,41.90594195045091,669,723,634,762,43.2195,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,090ff361-2931-4bf5-8653-36772591b51b,21.954498,30.06859574141515,619,744,608,763,43.1101,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,e414ce9f-0043-45fb-b352-ba39d1ac0b51,15.132746,7.594650579431914,1023,810,1021,825,42.2423,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,03e626ec-39ba-4f19-9066-085be7ca75fc,42.44997,46.909151140133616,953,828,922,857,40.9948,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,7976966e-e62c-49f2-b117-186a812d2b7a,15.811388,18.434954460676522,1120,887,1125,902,43.2116,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,9b158e96-63f4-438e-906d-fb70b7f72bba,28.178005,62.52557271504571,996,911,971,924,43.0419,-1,-1,-1,-1,-1,-1
60-17-col-wd-1.tif,1,61a27e2f-b85c-4fc4-b694-96f5eee1fb82,78.72102,25.588512106754365,1087,939,1121,1010,41.4724,-1,-1,-1,-1,-1,-1
