image,time_in_serie,segment_id,length,direction,start_x,start_y,end_x,end_y,environment,reporter_id,intensity,intensity_ratio,diameter,rep_x,rep_y
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,5cd2a7b0-eedc-43e0-95f5-060a64c2c8b1,19.849434,49.08561823991488,855,1209,840,1222,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,53c6f941-1e44-42ff-85b3-4650b4742673,11.401754,52.12502646630452,1070,1209,1079,1216,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,3e822015-d2a7-46e7-841d-82c88d0dac26,10.816654,56.309938012284704,941,1210,950,1216,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,78afbd23-8730-4bdb-9000-648379bd9106,11.7046995,19.98311245870832,1285,1210,1289,1221,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,1e7c2f70-ec85-4fd4-89fd-b5a57901b68e,20.396078,11.309945638838713,706,1211,702,1231,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,6cc8e61d-b0a4-4fbe-9d15-3b562208a40b,21.931713,43.15238317208653,702,1212,687,1228,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,4f03cbd6-dc31-4f10-b48f-892875ef5f32,12.529964,28.610461003134844,1032,1212,1038,1223,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,2c82fb4c-319a-407d-9949-4cd9d93599d3,17.464249,13.240512268121165,1069,1212,1065,1229,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,02e4949e-3d00-4f00-b072-c70f17d6ed30,15.6205,39.80557681840193,864,1213,854,1225,-1.0,-1,-1,-1,-1,-1,-1
At-ZAT12-1-R1-SR10-FLTLUC-C.tif,1,97183bbb-624d-415c-80d9-bb27a9d06d01,10.630146,41.18593072890485,1035,1213,1028,1221,-1.0,-1,-1,-1,-1,-1,-1
