Distance_From_Tip,Intensity,Reporter
0.0866,250.9833,dr5
0.0794,247.9003,dr5
0.0721,248.7509,dr5
0.0649,244.4877,dr5
0.0577,255.0203,dr5
0.0505,263.4219,dr5
0.0433,271.476,dr5
0.0361,286.0923,dr5
0.0289,301.0825,dr5
0.0216,317.7276,dr5
0.0144,355.5462,dr5
0.0072,427.1214,dr5
0,515.6415,dr5
0.2814,213,dr5
0.2742,216.7416,dr5
0.267,218.3502,dr5
0.2598,221.5167,dr5
0.2525,225.6124,dr5
0.2453,228.6393,dr5
0.2381,227.504,dr5
0.2309,230.17,dr5
0.2237,237.17,dr5
0.2165,242.93,dr5
0.2092,244.69,dr5
0.202,240.8584,dr5
0.1948,235.2171,dr5
0.1876,230.3728,dr5
0.1804,230.3545,dr5
0.1732,232.9351,dr5
0.166,231.836,dr5
0.1587,231.1243,dr5
0.1515,235.5481,dr5
0.1443,238.2774,dr5
0.1371,237.3739,dr5
0.1299,237.5261,dr5
0.1227,232.9343,dr5
0.1155,238.3126,dr5
0.1082,235.445,dr5
0.101,238.3122,dr5
0.0938,244.384,dr5
0.0866,247.4326,dr5
0.0794,240.4952,dr5
0.0722,235.61,dr5
0.0649,231.2097,dr5
0.0577,229.1231,dr5
0.0505,237.871,dr5
0.0433,244.4651,dr5
0.0361,258.0232,dr5
0.0289,287.3888,dr5
0.0217,309.4839,dr5
0.0144,343.8667,dr5
0.0072,399.8141,dr5
0,435.9729,dr5
0.3896,226,dr5
0.3824,221.4085,dr5
0.3752,225.1724,dr5
0.368,226.0602,dr5
0.3607,230.2786,dr5
0.3535,230.1866,dr5
0.3463,232.4845,dr5
0.3391,230.6688,dr5
0.3319,219.9245,dr5
0.3247,218.2166,dr5
0.3174,217.2008,dr5
0.3102,220.2633,dr5
0.303,225.867,dr5
0.2958,223.7854,dr5
0.2886,225.1884,dr5
0.2814,223.0227,dr5
0.2742,217.2853,dr5
0.2669,216.6562,dr5
0.2597,223.6212,dr5
0.2525,229.8991,dr5
0.2453,238.8124,dr5
0.2381,234.2375,dr5
0.2309,238.5908,dr5
0.2237,250.3819,dr5
0.2164,241.7189,dr5
0.2092,241.7242,dr5
0.202,248.3732,dr5
0.1948,243.0218,dr5
0.1876,245.8754,dr5
0.1804,247.4825,dr5
0.1731,236.8997,dr5
0.1659,233.2502,dr5
0.1587,236.0037,dr5
0.1515,230.6092,dr5
0.1443,225.5546,dr5
0.1371,223.5496,dr5
0.1299,229.7159,dr5
0.1226,234.7195,dr5
0.1154,235.6959,dr5
0.1082,235.0467,dr5
0.101,234.5562,dr5
0.0938,234.38,dr5
0.0866,233.1,dr5
0.0794,230.76,dr5
0.0721,236.56,dr5
0.0649,245.14,dr5
0.0577,248.9,dr5
0.0505,250.48,dr5
0.0433,245.72,dr5
0.0361,240.1,dr5
0.0288,243.6765,dr5
0.0216,268.7158,dr5
0.0144,297.2178,dr5
0.0072,334.1453,dr5
0,421.6551,dr5
0.4978,248,dr5
0.4906,244,dr5
0.4834,236,dr5
0.4762,233,dr5
0.4689,236,dr5
0.4617,224,dr5
0.4545,229,dr5
0.4473,227,dr5
0.4401,233,dr5
0.4329,234,dr5
0.4256,234,dr5
0.4184,235.3241,dr5
0.4112,234.0186,dr5
0.404,230.558,dr5
0.3968,232.4716,dr5
0.3896,228.7306,dr5
0.3824,233.3886,dr5
0.3751,226.8598,dr5
0.3679,224.2288,dr5
0.3607,218.5264,dr5
0.3535,215.5186,dr5
0.3463,219.6862,dr5
0.3391,226.0042,dr5
0.3319,232.0995,dr5
0.3246,239.6552,dr5
0.3174,246.5408,dr5
0.3102,240.2691,dr5
0.303,241.4567,dr5
0.2958,243.8446,dr5
0.2886,248.5432,dr5
0.2813,258.13,dr5
0.2741,255.0417,dr5
0.2669,251.255,dr5
0.2597,250.1114,dr5
0.2525,258.6359,dr5
0.2453,269.2438,dr5
0.2381,269.3432,dr5
0.2308,273.5917,dr5
0.2236,268.3601,dr5
0.2164,268.4868,dr5
0.2092,271.735,dr5
0.202,266.9612,dr5
0.1948,259.8247,dr5
0.1876,262.3286,dr5
0.1803,267.9463,dr5
0.1731,278.2664,dr5
0.1659,274.0045,dr5
0.1587,260.689,dr5
0.1515,254.1095,dr5
0.1443,253.2713,dr5
0.137,256.1623,dr5
0.1298,258.7272,dr5
0.1226,266.8386,dr5
0.1154,273.6283,dr5
0.1082,276.1073,dr5
0.101,282.3243,dr5
