"","X","image","time_in_serie","segment_id","length","direction","start_x","start_y","end_x","end_y","environment","reporter_id","intensity","intensity_ratio","diameter","rep_x","rep_y","time","group","length_rel","startx","starty","endy","endx"
"658",658,"60-19-col-wd-2.tif",5,"26d31c8c-f3b3-4bc7-ab3a-711b76cc74da",27.58623,46.47,1069,1261,1089,1280,51.62,-1,-1,-1,-1,-1,-1,19,2,0.09,1069,1036,1017,1089
"659",659,"60-19-col-wd-2.tif",5,"f9a7c905-6c98-48df-82f7-bdb2f7f431b0",50,16.26,1025,1307,1011,1355,45.75,-1,-1,-1,-1,-1,-1,19,2,0.17,1025,990,942,1011
"660",660,"60-19-col-wd-2.tif",5,"66a5dba3-e640-4963-ad7b-05d7c59f9be3",54.34151,12.76,1004,1391,992,1444,46.68,-1,-1,-1,-1,-1,-1,19,2,0.18,1004,906,853,992
"661",661,"60-19-col-wd-2.tif",5,"bd715c3a-a28c-4cf8-8bc0-8055203103ba",191.08636,16.73,960,1660,905,1843,54.38,-1,-1,-1,-1,-1,-1,19,2,0.64,960,637,454,905
"662",662,"60-19-col-wd-2.tif",5,"77d6e198-f86e-4bed-b512-9494698c5a65",62.39391,6.44,923,1861,930,1923,56.21,-1,-1,-1,-1,-1,-1,19,2,0.21,923,436,374,930
"663",663,"60-19-col-ww-2.tif",5,"0d2f830b-aee9-4508-9675-ff4bff78fc9d",35.77709,63.43,914,5,882,21,64.92,-1,-1,-1,-1,-1,-1,19,3,0.12,914,2292,2276,882
"664",664,"60-19-col-ww-2.tif",5,"9d595ba8-2c78-445e-97c8-a660ade51948",22.803509,52.13,881,17,863,31,64.84,-1,-1,-1,-1,-1,-1,19,3,0.08,881,2280,2266,863
"665",665,"60-19-col-ww-2.tif",5,"0b1b7e7c-bdf2-4b31-89e5-09704d88c25d",89.050545,55.06,1105,23,1178,74,52.41,-1,-1,-1,-1,-1,-1,19,3,0.3,1105,2274,2223,1178
"666",666,"60-19-col-ww-2.tif",5,"22c317ba-80c6-4a75-807d-f53fc6a35938",29.068884,86.05,833,25,862,27,65.76,-1,-1,-1,-1,-1,-1,19,3,0.1,833,2272,2270,862
"667",667,"60-19-col-ww-2.tif",5,"d8c80ae7-632a-4af8-8a9c-c788f45b8f9c",186.98663,32.33,919,30,1019,188,60.08,-1,-1,-1,-1,-1,-1,19,3,0.63,919,2267,2109,1019
"668",668,"60-19-col-ww-2.tif",5,"e2fc6e26-5065-4e3a-9623-53c61039d241",52.35456,61.48,774,33,728,58,56.08,-1,-1,-1,-1,-1,-1,19,3,0.18,774,2264,2239,728
"669",669,"60-19-col-ww-2.tif",5,"3b249526-055a-4b7e-8958-aa275876e4a2",31.304953,63.43,923,51,895,65,54.2,-1,-1,-1,-1,-1,-1,19,3,0.11,923,2246,2232,895
"670",670,"60-19-col-ww-2.tif",5,"a30b9c1a-b34c-42ba-8f3a-f70524de17c6",31.320919,73.3,835,57,805,66,62.32,-1,-1,-1,-1,-1,-1,19,3,0.11,835,2240,2231,805
"671",671,"60-19-col-ww-2.tif",5,"e6bc497e-3be9-4676-8e41-0af9c4fd4515",37.64306,73.01,726,59,690,70,53.28,-1,-1,-1,-1,-1,-1,19,3,0.13,726,2238,2227,690
"672",672,"60-19-col-ww-2.tif",5,"b9bc2344-30e7-4d2e-875c-7d09c9ebdf75",55.362442,16.8,922,65,938,118,55.62,-1,-1,-1,-1,-1,-1,19,3,0.19,922,2232,2179,938
"673",673,"60-19-col-ww-2.tif",5,"498ce797-3a9e-4949-82f0-69585f1ed884",63.780876,48.81,841,73,793,115,62.53,-1,-1,-1,-1,-1,-1,19,3,0.21,841,2224,2182,793
"674",674,"60-19-col-ww-2.tif",5,"be560e27-d126-4d8c-9f63-0f974e47ec06",23.086792,72.35,1190,73,1212,80,53.61,-1,-1,-1,-1,-1,-1,19,3,0.08,1190,2224,2217,1212
"675",675,"60-19-col-ww-2.tif",5,"450b1f45-1a6f-419f-a47b-43b468ddc22c",48.166378,41.63,921,77,889,113,54.95,-1,-1,-1,-1,-1,-1,19,3,0.16,921,2220,2184,889
"676",676,"60-19-col-ww-2.tif",5,"1b127fe2-6c78-4f79-9356-1f492b73942c",23.769728,67.75,890,97,868,106,58.32,-1,-1,-1,-1,-1,-1,19,3,0.08,890,2200,2191,868
"677",677,"60-19-col-ww-2.tif",5,"31f5588d-8d3a-4896-86ea-4641858efcc5",23.345236,9.87,890,121,886,144,56.62,-1,-1,-1,-1,-1,-1,19,3,0.08,890,2176,2153,886
"678",678,"60-19-col-ww-2.tif",5,"70e95e57-45e7-47ed-abba-18538b9ccccf",28.600698,53.53,827,137,850,154,64.03,-1,-1,-1,-1,-1,-1,19,3,0.1,827,2160,2143,850
"679",679,"60-19-col-ww-2.tif",5,"f9e4946c-2263-4e06-8665-25ee24454f4b",76.38062,46.06,964,152,1019,205,60.81,-1,-1,-1,-1,-1,-1,19,3,0.26,964,2145,2092,1019
"680",680,"60-19-col-ww-2.tif",5,"138967dc-d6f5-4dde-b236-351a079487e2",48.9183,49.14,730,159,693,191,46.52,-1,-1,-1,-1,-1,-1,19,3,0.16,730,2138,2106,693
"681",681,"60-19-col-ww-2.tif",5,"79879797-9c7d-46ed-8d22-87c35b7b95ad",44.72136,10.3,939,168,947,212,64.14,-1,-1,-1,-1,-1,-1,19,3,0.15,939,2129,2085,947
"682",682,"60-19-col-ww-2.tif",5,"2fe4d192-4c75-4db9-8202-c20d4d4caa93",37.65634,10.71,868,172,861,209,54.36,-1,-1,-1,-1,-1,-1,19,3,0.13,868,2125,2088,861
"683",683,"60-19-col-ww-2.tif",5,"ba702c46-e2b7-4fd4-846e-db4b25d6791c",57.628117,51.34,885,172,930,208,58.32,-1,-1,-1,-1,-1,-1,19,3,0.19,885,2125,2089,930
"684",684,"60-19-col-ww-2.tif",5,"c8c79b9f-353c-4b56-b8ff-3a5f248c75b9",67.08204,10.3,886,174,874,240,56.2,-1,-1,-1,-1,-1,-1,19,3,0.23,886,2123,2057,874
"685",685,"60-19-col-ww-2.tif",5,"ec4985b5-1909-4716-b4cc-ed96ad415bac",49.0408,50.79,963,181,1001,212,58.77,-1,-1,-1,-1,-1,-1,19,3,0.16,963,2116,2085,1001
"686",686,"60-19-col-ww-2.tif",5,"61bc31e0-609c-43eb-a258-19d3b5c78f4e",78.40918,52.25,692,191,630,239,59.08,-1,-1,-1,-1,-1,-1,19,3,0.26,692,2106,2058,630
"687",687,"60-19-col-ww-2.tif",5,"55376a00-460f-4005-893e-8b9ca84173e9",23.600847,36.38,860,192,846,211,55,-1,-1,-1,-1,-1,-1,19,3,0.08,860,2105,2086,846
"688",688,"60-19-col-ww-2.tif",5,"63e0c9c7-4c08-4f5b-8d60-82038fcb7efc",31.112698,45,860,218,838,240,56.95,-1,-1,-1,-1,-1,-1,19,3,0.1,860,2079,2057,838
"689",689,"60-19-col-ww-2.tif",5,"961b916a-3b7f-4c69-9c5a-d70f885db753",105,53.13,947,224,1031,287,64.22,-1,-1,-1,-1,-1,-1,19,3,0.35,947,2073,2010,1031
"690",690,"60-19-col-ww-2.tif",5,"4d000c19-f443-4c9f-bb99-40399ed36f06",28.160255,6.12,946,225,943,253,66.68,-1,-1,-1,-1,-1,-1,19,3,0.09,946,2072,2044,943
"691",691,"60-19-col-ww-2.tif",5,"873522bf-255b-4a85-9440-e5146d4bb732",101.118744,28.34,1032,230,1080,319,54.49,-1,-1,-1,-1,-1,-1,19,3,0.34,1032,2067,1978,1080
"692",692,"60-19-col-ww-2.tif",5,"d20ad423-d6d9-4c5c-800a-8466d63cf467",42.154476,22.31,836,249,820,288,59.24,-1,-1,-1,-1,-1,-1,19,3,0.14,836,2048,2009,820
"693",693,"60-19-col-ww-2.tif",5,"f175f1b0-4ccf-4698-a2b8-706635c7d0fc",34.713108,48.5,607,257,581,280,60.42,-1,-1,-1,-1,-1,-1,19,3,0.12,607,2040,2017,581
"694",694,"60-19-col-ww-2.tif",5,"90f04821-5d5f-4084-91f3-c910fed20a7b",132.60844,32.37,872,258,801,370,56.55,-1,-1,-1,-1,-1,-1,19,3,0.45,872,2039,1927,801
"695",695,"60-19-col-ww-2.tif",5,"05acb636-f903-40c8-890c-abe8acbeaf21",43.416588,38.45,913,264,886,298,63.96,-1,-1,-1,-1,-1,-1,19,3,0.15,913,2033,1999,886
"696",696,"60-19-col-ww-2.tif",5,"6f2ee575-4055-448f-9733-f043da8fcf4d",59.36329,57.38,1138,265,1188,297,63.55,-1,-1,-1,-1,-1,-1,19,3,0.2,1138,2032,2000,1188
"697",697,"60-19-col-ww-2.tif",5,"83d96665-2127-47c7-a632-006544de9578",87.13208,9.25,938,290,952,376,61.59,-1,-1,-1,-1,-1,-1,19,3,0.29,938,2007,1921,952
"698",698,"60-19-col-ww-2.tif",5,"022b95a8-a1a0-476d-8982-4d2c930c8734",65,36.87,1047,304,1086,356,54.07,-1,-1,-1,-1,-1,-1,19,3,0.22,1047,1993,1941,1086
"699",699,"60-19-col-ww-2.tif",5,"729408f4-81fa-45c7-bde8-5c5dca56585a",168.5141,38.98,1205,307,1311,438,65,-1,-1,-1,-1,-1,-1,19,3,0.57,1205,1990,1859,1311
"700",700,"60-19-col-ww-2.tif",5,"7b0c2992-b632-45fe-a24f-44f605ef17e0",35.468296,49.57,1085,328,1112,351,46.01,-1,-1,-1,-1,-1,-1,19,3,0.12,1085,1969,1946,1112
"701",701,"60-19-col-ww-2.tif",5,"893d38af-2f90-4215-bacd-3c59327f94b3",74.8131,37.94,1012,343,1058,402,62.65,-1,-1,-1,-1,-1,-1,19,3,0.25,1012,1954,1895,1058
"702",702,"60-19-col-ww-2.tif",5,"ad648bcd-c5f9-4520-b630-c99b28a0f3ec",29.068884,63.43,877,345,851,358,61.44,-1,-1,-1,-1,-1,-1,19,3,0.1,877,1952,1939,851
"703",703,"60-19-col-ww-2.tif",5,"ea878bdd-8e69-4c81-abac-1c14ad7254ad",62.241467,46.3,795,349,750,392,58.42,-1,-1,-1,-1,-1,-1,19,3,0.21,795,1948,1905,750
"704",704,"60-19-col-ww-2.tif",5,"2ca15702-a086-499c-9f7f-fb2159cebb8f",78.18568,69.02,710,364,637,392,59.95,-1,-1,-1,-1,-1,-1,19,3,0.26,710,1933,1905,637
"705",705,"60-19-col-ww-2.tif",5,"3f6e1c46-20fa-466c-8081-17fff80b1484",112.32987,55.89,1206,369,1299,432,65.31,-1,-1,-1,-1,-1,-1,19,3,0.38,1206,1928,1865,1299
"706",706,"60-19-col-ww-2.tif",5,"cd60fc3d-ddf4-409f-b2ee-6d34bc19437d",41.773197,47.91,1124,371,1155,399,60.11,-1,-1,-1,-1,-1,-1,19,3,0.14,1124,1926,1898,1155
"707",707,"60-19-col-ww-2.tif",5,"2fda36f6-7743-40c3-b619-6ddee5c80d91",30.016663,60.02,948,377,974,392,63.19,-1,-1,-1,-1,-1,-1,19,3,0.1,948,1920,1905,974
"708",708,"60-19-col-ww-2.tif",5,"02f2edc9-ebc6-440f-b36c-1cfe5ab8fe62",65.14599,72.12,600,378,538,398,53.35,-1,-1,-1,-1,-1,-1,19,3,0.22,600,1919,1899,538
"709",709,"60-19-col-ww-2.tif",5,"69b0239d-41b0-442a-b24b-aeea6c643029",64.381676,6.24,946,379,953,443,62.8,-1,-1,-1,-1,-1,-1,19,3,0.22,946,1918,1854,953
"710",710,"60-19-col-ww-2.tif",5,"8f30eb77-ced5-4a0a-a256-9f3b3de399a3",82.46211,50.91,737,404,673,456,54.3,-1,-1,-1,-1,-1,-1,19,3,0.28,737,1893,1841,673
"711",711,"60-19-col-ww-2.tif",5,"1910601c-dba0-4796-87c7-9124a01f4cdb",91.26884,57.53,995,405,1072,454,67.59,-1,-1,-1,-1,-1,-1,19,3,0.31,995,1892,1843,1072
"712",712,"60-19-col-ww-2.tif",5,"77d7d95b-6f51-4faf-8808-ee9c8ffd926d",62.425957,35.22,771,407,735,458,56.33,-1,-1,-1,-1,-1,-1,19,3,0.21,771,1890,1839,735
"713",713,"60-19-col-ww-2.tif",5,"ce933f2a-0332-4c56-8404-be78d0525ee1",58.898216,49.82,954,443,999,481,56.8,-1,-1,-1,-1,-1,-1,19,3,0.2,954,1854,1816,999
"714",714,"60-19-col-ww-2.tif",5,"88da28c1-86d4-400a-98c0-f12587fc524a",78.05767,2.2,953,444,950,522,62.86,-1,-1,-1,-1,-1,-1,19,3,0.26,953,1853,1775,950
"715",715,"60-19-col-ww-2.tif",5,"5e1cf8d4-cff8-4fa4-abd9-4ed221f4191a",57.14018,57.14,925,446,877,477,66.77,-1,-1,-1,-1,-1,-1,19,3,0.19,925,1851,1820,877
"716",716,"60-19-col-ww-2.tif",5,"2f124640-e437-41a5-8914-9ebfef1298d1",24.207438,51.71,1112,460,1131,475,67.24,-1,-1,-1,-1,-1,-1,19,3,0.08,1112,1837,1822,1131
"717",717,"60-19-col-ww-2.tif",5,"8984b682-3a8d-4763-8891-6e6e2464b2d0",25.632011,69.44,1061,473,1037,482,61.81,-1,-1,-1,-1,-1,-1,19,3,0.09,1061,1824,1815,1037
"718",718,"60-19-col-ww-2.tif",5,"8f537e02-65c7-4e6a-b0b4-4eccbde4372b",41.725292,44.03,646,475,617,505,53.53,-1,-1,-1,-1,-1,-1,19,3,0.14,646,1822,1792,617
"719",719,"60-19-col-ww-2.tif",5,"0e355759-8e22-442b-a5a9-f72110feefdd",57.428215,54.93,1128,476,1175,509,60.32,-1,-1,-1,-1,-1,-1,19,3,0.19,1128,1821,1788,1175
"720",720,"60-19-col-ww-2.tif",5,"3c1e726e-fae3-4ab9-9f8e-5984298f8217",79.24645,47.05,864,486,806,540,65.49,-1,-1,-1,-1,-1,-1,19,3,0.27,864,1811,1757,806
"721",721,"60-19-col-ww-2.tif",5,"3b6971c2-06e7-4d47-9040-3624808bae12",138.85243,48.5,742,493,638,585,62.8,-1,-1,-1,-1,-1,-1,19,3,0.47,742,1804,1712,638
"722",722,"60-19-col-ww-2.tif",5,"6819dbdb-9a49-4c98-8dcf-d4e2593dacd1",67.6757,71.03,543,504,479,526,55.5,-1,-1,-1,-1,-1,-1,19,3,0.23,543,1793,1771,479
"723",723,"60-19-col-ww-2.tif",5,"552a3bb1-3ac5-4849-ab60-3fa262861887",35.77709,63.43,1177,511,1209,527,56.31,-1,-1,-1,-1,-1,-1,19,3,0.12,1177,1786,1770,1209
"724",724,"60-19-col-ww-2.tif",5,"0549afba-4735-4f70-8f43-f92f09c63fe8",26.400757,65.38,1082,516,1106,527,70.93,-1,-1,-1,-1,-1,-1,19,3,0.09,1082,1781,1770,1106
"725",725,"60-19-col-ww-2.tif",5,"9c98f3b6-256f-4bd4-96f0-3f7e51d0540c",44.418465,31.18,1228,523,1251,561,63.6,-1,-1,-1,-1,-1,-1,19,3,0.15,1228,1774,1736,1251
"726",726,"60-19-col-ww-2.tif",5,"dcfc3c43-0326-40d9-be41-6bb51a825b36",44.911022,78.44,1125,532,1169,541,65.92,-1,-1,-1,-1,-1,-1,19,3,0.15,1125,1765,1756,1169
"727",727,"60-19-col-ww-2.tif",5,"b54cc0c3-f4dc-4d05-a1a8-1757a7109767",175.90054,61.1,944,541,1098,626,58.03,-1,-1,-1,-1,-1,-1,19,3,0.59,944,1756,1671,1098
"728",728,"60-19-col-ww-2.tif",5,"5fdeb935-e7e2-4e70-85d2-1d4894fa8436",101.53325,62.43,1283,550,1373,597,65.4,-1,-1,-1,-1,-1,-1,19,3,0.34,1283,1747,1700,1373
"729",729,"60-19-col-ww-2.tif",5,"4596bf50-7d67-4a43-8ca9-0a517bd6e1d2",36.249138,65.56,1511,551,1544,566,56.17,-1,-1,-1,-1,-1,-1,19,3,0.12,1511,1746,1731,1544
"730",730,"60-19-col-ww-2.tif",5,"2c5ae05f-56fd-49d2-be3a-616bb54f45d5",69.856995,66.37,1263,569,1327,597,59.7,-1,-1,-1,-1,-1,-1,19,3,0.23,1263,1728,1700,1327
"731",731,"60-19-col-ww-2.tif",5,"f61077a4-1728-4039-88d7-a620a1e6d2fe",50.20956,44.19,1263,571,1298,607,63.83,-1,-1,-1,-1,-1,-1,19,3,0.17,1263,1726,1690,1298
"732",732,"60-19-col-ww-2.tif",5,"05e4abb9-ed1a-478f-94a8-be83cbe93bfa",23.43075,39.81,1559,583,1574,601,58.89,-1,-1,-1,-1,-1,-1,19,3,0.08,1559,1714,1696,1574
"733",733,"60-19-col-ww-2.tif",5,"1aedef09-dcfc-43dc-bdda-7af7e6c607f4",40.5216,15.75,945,597,934,636,63.76,-1,-1,-1,-1,-1,-1,19,3,0.14,945,1700,1661,934
"734",734,"60-19-col-ww-2.tif",5,"dfc08706-b33e-40a5-b8b5-0541dd674401",64.66065,58.28,932,624,877,658,49.29,-1,-1,-1,-1,-1,-1,19,3,0.22,932,1673,1639,877
"735",735,"60-19-col-ww-2.tif",5,"00a09ac3-70d7-4888-8cfd-667d094f2dab",84.31489,33.88,508,630,461,700,56.63,-1,-1,-1,-1,-1,-1,19,3,0.28,508,1667,1597,461
"736",736,"60-19-col-ww-2.tif",5,"3cf14da7-bba1-4934-8503-4ec6e049ea65",81.7435,82.27,1163,638,1244,649,65.44,-1,-1,-1,-1,-1,-1,19,3,0.27,1163,1659,1648,1244
"737",737,"60-19-col-ww-2.tif",5,"3eb92cdd-1942-473e-b2d6-3ab05fdad287",53.823788,54.83,1431,646,1475,677,68.05,-1,-1,-1,-1,-1,-1,19,3,0.18,1431,1651,1620,1475
"738",738,"60-19-col-ww-2.tif",5,"a17de8ea-9663-40c5-9511-297e7f1694ae",37.202152,53.75,1369,648,1399,670,63.22,-1,-1,-1,-1,-1,-1,19,3,0.12,1369,1649,1627,1399
"739",739,"60-19-col-ww-2.tif",5,"c1ddb329-c7f3-48e8-93d1-60ab41692f67",123.00407,62.39,1244,649,1353,706,68.48,-1,-1,-1,-1,-1,-1,19,3,0.41,1244,1648,1591,1353
"740",740,"60-19-col-ww-2.tif",5,"4dc08066-440f-46f8-8ebe-e5cc7168b80a",23.323807,59.04,873,668,853,680,50.32,-1,-1,-1,-1,-1,-1,19,3,0.08,873,1629,1617,853
"741",741,"60-19-col-ww-2.tif",5,"0e9b5e88-6b5b-47a4-9c7a-d97a9159238c",45.79301,58.39,970,683,1009,707,58.58,-1,-1,-1,-1,-1,-1,19,3,0.15,970,1614,1590,1009
"742",742,"60-19-col-ww-2.tif",5,"79be53be-e803-4fc6-b90b-c6cfc0199020",25.23886,56.31,1010,705,1031,719,58.86,-1,-1,-1,-1,-1,-1,19,3,0.08,1010,1592,1578,1031
"743",743,"60-19-col-ww-2.tif",5,"93e9fdd0-c2ed-4a05-8172-8212cb280538",94.302704,55.8,908,709,986,762,63.38,-1,-1,-1,-1,-1,-1,19,3,0.32,908,1588,1535,986
"744",744,"60-19-col-ww-2.tif",5,"8fc22c31-2c13-4759-a665-3f10956af994",80.224686,4.29,423,743,417,823,55.28,-1,-1,-1,-1,-1,-1,19,3,0.27,423,1554,1474,417
"745",745,"60-19-col-ww-2.tif",5,"83e18ce7-b6fb-4b83-9d7d-7756f4a2d90e",100.65784,40.97,1076,780,1142,856,67.53,-1,-1,-1,-1,-1,-1,19,3,0.34,1076,1517,1441,1142
"746",746,"60-19-col-ww-2.tif",5,"3ac23293-b9b6-4872-aa42-cf62ad5c4695",46.840153,73.89,896,788,851,801,58.92,-1,-1,-1,-1,-1,-1,19,3,0.16,896,1509,1496,851
"747",747,"60-19-col-ww-2.tif",5,"eb086306-d379-4775-9909-178c0a776ee5",106.174385,60.05,812,814,720,867,65.45,-1,-1,-1,-1,-1,-1,19,3,0.36,812,1483,1430,720
"748",748,"60-19-col-ww-2.tif",5,"27afece5-93ad-4a8e-8348-f9ee90a3e762",74.431175,6.17,948,856,940,930,64.59,-1,-1,-1,-1,-1,-1,19,3,0.25,948,1441,1367,940
"749",749,"60-19-col-ww-2.tif",5,"ae1dd5ff-766b-4a03-b938-a7fc34fe0b93",66.730804,70.75,1150,862,1213,884,66.04,-1,-1,-1,-1,-1,-1,19,3,0.22,1150,1435,1413,1213
"750",750,"60-19-col-ww-2.tif",5,"a75644d1-6a8b-4ff1-a4be-ff9647e435a7",31.890438,41.19,717,871,696,895,62.74,-1,-1,-1,-1,-1,-1,19,3,0.11,717,1426,1402,696
"751",751,"60-19-col-ww-2.tif",5,"1d802fb0-038e-42a2-9d2c-b29b28abf8ec",102.90287,55.69,803,901,718,959,60.03,-1,-1,-1,-1,-1,-1,19,3,0.35,803,1396,1338,718
"752",752,"60-19-col-ww-2.tif",5,"d8dc52ab-723f-4604-abb4-cc7a1a449e03",39,67.38,988,901,952,916,61.13,-1,-1,-1,-1,-1,-1,19,3,0.13,988,1396,1381,952
"753",753,"60-19-col-ww-2.tif",5,"ee0dc296-6645-4dcf-9e06-d065610d4d73",76.55064,56.73,895,1011,831,1053,68.15,-1,-1,-1,-1,-1,-1,19,3,0.26,895,1286,1244,831
"754",754,"60-19-col-ww-2.tif",5,"9141bf68-3b5a-476f-ba49-4c0fd06b3b95",36.71512,60.64,824,1057,792,1075,65.37,-1,-1,-1,-1,-1,-1,19,3,0.12,824,1240,1222,792
"755",755,"60-19-col-ww-2.tif",5,"38732753-6f8f-4b05-993c-dca49f3ce422",70.80254,36.38,918,1103,876,1160,64.09,-1,-1,-1,-1,-1,-1,19,3,0.24,918,1194,1137,876
"756",756,"60-19-col-ww-2.tif",5,"accbd42f-5e5b-4f6b-bc48-d4a5eb240107",78.74643,17.74,966,1128,942,1203,56.2,-1,-1,-1,-1,-1,-1,19,3,0.26,966,1169,1094,942
"757",757,"60-19-col-ww-2.tif",5,"740ea1d0-ba19-44ba-9a72-92a3773594cd",51.47815,7.82,885,1161,892,1212,63.26,-1,-1,-1,-1,-1,-1,19,3,0.17,885,1136,1085,892
"758",758,"60-19-col-ww-2.tif",5,"caf83269-a4be-45d1-a3be-3bcffbae5f79",38.013157,63.43,1008,1161,1042,1178,63.07,-1,-1,-1,-1,-1,-1,19,3,0.13,1008,1136,1119,1042
"759",759,"60-19-col-ww-2.tif",5,"585f068f-06de-4f80-81a9-24a57b199d8c",63.126858,3.63,979,1173,983,1236,63.5,-1,-1,-1,-1,-1,-1,19,3,0.21,979,1124,1061,983
"760",760,"60-19-col-ww-2.tif",5,"f5fb00d8-79ef-4c56-a0d6-3e042b61e5c4",44.38468,14.35,869,1190,880,1233,62.9,-1,-1,-1,-1,-1,-1,19,3,0.15,869,1107,1064,880
"761",761,"60-19-col-ww-2.tif",5,"0ec75e00-2038-4536-ba70-1dd4711b9c1b",26.476404,10.89,937,1214,932,1240,61.45,-1,-1,-1,-1,-1,-1,19,3,0.09,937,1083,1057,932
"762",762,"60-19-col-ww-2.tif",5,"4882b6d7-5b2b-4281-ba72-32bef7a45ec8",106.50822,55.71,978,1219,890,1279,62.05,-1,-1,-1,-1,-1,-1,19,3,0.36,978,1078,1018,890
"763",763,"60-19-col-ww-2.tif",5,"1d8ddf3e-3a3b-4cff-a70d-4b05c785522d",82.764725,64.98,982,1237,1057,1272,68.2,-1,-1,-1,-1,-1,-1,19,3,0.28,982,1060,1025,1057
"764",764,"60-19-col-ww-2.tif",5,"3785e665-ecb9-4d62-953b-06b6325300bc",80.36168,73.37,964,1269,887,1292,62.44,-1,-1,-1,-1,-1,-1,19,3,0.27,964,1028,1005,887
"765",765,"60-19-col-ww-2.tif",5,"684f6fdd-1903-4acb-be23-bd5ad503c89a",26.076809,4.4,974,1273,976,1299,70.66,-1,-1,-1,-1,-1,-1,19,3,0.09,974,1024,998,976
"766",766,"60-19-col-ww-2.tif",5,"84b039c7-9f84-4f0c-8506-1f4a2a587d40",111.5213,39.54,1021,1300,950,1386,64.5,-1,-1,-1,-1,-1,-1,19,3,0.37,1021,997,911,950
"767",767,"60-19-col-ww-2.tif",5,"4bd4c6da-d788-4074-af2a-b50e3c5e7a63",42.154476,22.31,931,1383,947,1422,66.02,-1,-1,-1,-1,-1,-1,19,3,0.14,931,914,875,947
"768",768,"60-19-col-ww-2.tif",5,"63ed1e62-c087-41f0-8537-12d42ae7213c",41.4367,81.67,903,1424,862,1430,75.06,-1,-1,-1,-1,-1,-1,19,3,0.14,903,873,867,862
"769",769,"60-19-col-ww-2.tif",5,"9edbb62f-6c87-49a3-8c08-1f015d07d4e3",59.36329,57.38,881,1476,831,1508,70.36,-1,-1,-1,-1,-1,-1,19,3,0.2,881,821,789,831
"770",770,"60-19-col-ww-2.tif",5,"ad467db1-a537-4b76-9437-f4c4258b1032",43.011627,54.46,890,1573,925,1598,69.72,-1,-1,-1,-1,-1,-1,19,3,0.14,890,724,699,925
"771",771,"60-19-col-ww-2.tif",5,"05f0ee0a-a1a3-4162-a66e-a3f97d2822a7",35.69314,78.69,866,1613,831,1620,65.69,-1,-1,-1,-1,-1,-1,19,3,0.12,866,684,677,831
"772",772,"60-19-col-ww-2.tif",5,"2360cbf2-a671-4918-8b47-0781bf6f9bcd",25.23886,56.31,877,1645,898,1659,73.25,-1,-1,-1,-1,-1,-1,19,3,0.08,877,652,638,898
"773",773,"60-19-col-ww-2.tif",5,"617df8c8-3851-430b-b865-f0949a1ee707",36.687874,17.45,874,1673,863,1708,78.23,-1,-1,-1,-1,-1,-1,19,3,0.12,874,624,589,863
"774",774,"60-19-col-ww-2.tif",5,"14fbd3aa-4993-4d22-8a70-2a0c7e9b1691",116.520386,5.42,863,1711,852,1827,68.42,-1,-1,-1,-1,-1,-1,19,3,0.39,863,586,470,852
"775",775,"60-19-col-ww-2.tif",5,"cc3da079-530a-44d1-bfb6-843d1b1f622f",57.31492,6.01,853,1828,859,1885,69.05,-1,-1,-1,-1,-1,-1,19,3,0.19,853,469,412,859
"776",776,"60-20-col-wd-2.tif",6,"851b87f0-e55c-493c-8cc8-7c11312de857",53.235325,5.39,945,36,940,89,19.47,-1,-1,-1,-1,-1,-1,20,2,0.18,945,2261,2208,940
"777",777,"60-20-col-wd-2.tif",6,"4604160f-8178-4ce4-837c-a625383cd798",37.696156,68.2,876,106,841,120,8.17,-1,-1,-1,-1,-1,-1,20,2,0.13,876,2191,2177,841
"778",778,"60-20-col-wd-2.tif",6,"20a5d2c2-a0aa-46da-9c34-4b4781dd0e67",31.764761,28.18,1018,132,1033,160,8.05,-1,-1,-1,-1,-1,-1,20,2,0.11,1018,2165,2137,1033
"779",779,"60-20-col-wd-2.tif",6,"dd20fc28-80db-47bf-bdd8-64e9c1dba0e5",61.05735,31.61,1037,161,1069,213,13.38,-1,-1,-1,-1,-1,-1,20,2,0.21,1037,2136,2084,1069
"780",780,"60-20-col-wd-2.tif",6,"7f64832e-9d09-4962-b0c5-14f2ce97c92f",65,36.87,934,190,973,242,24.11,-1,-1,-1,-1,-1,-1,20,2,0.22,934,2107,2055,973
"781",781,"60-20-col-wd-2.tif",6,"bd6e4c3f-b1cd-4845-ac32-c60c0f9039dc",41.4367,19.75,917,197,903,236,21.55,-1,-1,-1,-1,-1,-1,20,2,0.14,917,2100,2061,903
"782",782,"60-20-col-wd-2.tif",6,"ffedad8a-465d-447d-8752-013f8471d02a",43.416588,51.55,758,233,724,260,34.17,-1,-1,-1,-1,-1,-1,20,2,0.15,758,2064,2037,724
"783",783,"60-20-col-wd-2.tif",6,"27c4d3a0-df3c-44f0-b9cc-cf11cf8c56dd",73.4983,33.91,1011,238,970,299,38.19,-1,-1,-1,-1,-1,-1,20,2,0.25,1011,2059,1998,970
"784",784,"60-20-col-wd-2.tif",6,"e4d4b41b-b944-4e3a-b55d-a9f2aac9f624",35.468296,49.57,974,242,1001,265,32,-1,-1,-1,-1,-1,-1,20,2,0.12,974,2055,2032,1001
