"","X","image","time_in_serie","segment_id","length","direction","start_x","start_y","end_x","end_y","environment","reporter_id","intensity","intensity_ratio","diameter","rep_x","rep_y","time","group","length_rel","startx","starty","endy","endx"
"29",29,"60-15-col-wd-2.tif",1,"a734d499-765f-4694-9735-287062e9432c",69.29646,45,793,557,744,606,37.64,-1,-1,-1,-1,-1,-1,15,2,0.23,793,1740,1691,744
"30",30,"60-15-col-wd-2.tif",1,"69c34fb4-980a-49b4-99bc-bc354387b52f",76.537575,61.09,989,612,1056,649,42.76,-1,-1,-1,-1,-1,-1,15,2,0.26,989,1685,1648,1056
"31",31,"60-15-col-wd-2.tif",1,"dcdae296-b3d3-4a96-bb6c-e603a63d6f1a",39.623226,79.82,994,663,1033,670,49.91,-1,-1,-1,-1,-1,-1,15,2,0.13,994,1634,1627,1033
"32",32,"60-15-col-wd-2.tif",1,"97b9544e-24ec-4913-a76d-88cf3f8fa4e1",25.70992,13.5,1008,732,1014,757,55.34,-1,-1,-1,-1,-1,-1,15,2,0.09,1008,1565,1540,1014
"33",33,"60-15-col-wd-2.tif",1,"ba25184c-b68a-4248-9bda-e5c82558c617",26.172504,83.42,1014,758,1040,761,53.42,-1,-1,-1,-1,-1,-1,15,2,0.09,1014,1539,1536,1040
"34",34,"60-15-col-wd-2.tif",1,"7a89bcf9-298d-4207-90d4-d7a7ab1e46c9",32.55764,10.62,1014,760,1020,792,56.99,-1,-1,-1,-1,-1,-1,15,2,0.11,1014,1537,1505,1020
"35",35,"60-15-col-wd-2.tif",1,"d552ce9d-0aa5-4fa5-9b69-bf3bc71ef86a",37.589893,61.39,1017,793,984,811,59.4,-1,-1,-1,-1,-1,-1,15,2,0.13,1017,1504,1486,984
"36",36,"60-15-col-wd-2.tif",1,"7ee27ede-1f81-4c1f-8cb1-68688ef7c582",28.301943,32.01,1018,793,1033,817,60.53,-1,-1,-1,-1,-1,-1,15,2,0.1,1018,1504,1480,1033
"37",37,"60-15-col-wd-2.tif",1,"4e89cde5-a937-43e6-b6f3-247863787438",61.09828,21.1,1033,817,1055,874,56.79,-1,-1,-1,-1,-1,-1,15,2,0.21,1033,1480,1423,1055
"38",38,"60-15-col-wd-2.tif",1,"80c6ff9f-83c4-4e71-8f65-77b3bd262e61",116.70904,12.37,1029,896,1004,1010,59.21,-1,-1,-1,-1,-1,-1,15,2,0.39,1029,1401,1287,1004
"39",39,"60-15-col-wd-2.tif",1,"e42a372b-3f68-4ac2-a474-329d91fe860c",107.37784,4.81,1007,1079,998,1186,54.89,-1,-1,-1,-1,-1,-1,15,2,0.36,1007,1218,1111,998
"40",40,"60-15-col-wd-2.tif",1,"495cf242-6349-404b-a67d-1589dc20a29e",36.345562,7.91,1006,1185,1001,1221,59.33,-1,-1,-1,-1,-1,-1,15,2,0.12,1006,1112,1076,1001
"41",41,"60-15-col-wd-2.tif",1,"690287f1-d51c-46bb-91da-74dccb8e805b",57.31492,6.01,1009,1277,1015,1334,51.96,-1,-1,-1,-1,-1,-1,15,2,0.19,1009,1020,963,1015
"42",42,"60-15-col-ww-2.tif",1,"ae0467bb-72e3-4913-87d9-73807636d840",32.449963,56.31,893,10,866,28,68.3,-1,-1,-1,-1,-1,-1,15,3,0.11,893,2287,2269,866
"43",43,"60-15-col-ww-2.tif",1,"405d7e6c-320b-4ea8-92ab-10d0a07391c8",59.3043,84.19,865,24,806,30,67.42,-1,-1,-1,-1,-1,-1,15,3,0.2,865,2273,2267,806
"44",44,"60-15-col-ww-2.tif",1,"305a52e6-8856-4f16-802e-4ae9ed36c513",83.761566,33.31,923,24,969,94,59.03,-1,-1,-1,-1,-1,-1,15,3,0.28,923,2273,2203,969
"45",45,"60-15-col-ww-2.tif",1,"d51437c6-12f1-46aa-b218-3fd9302749b8",35.341194,64.89,928,51,896,66,56.18,-1,-1,-1,-1,-1,-1,15,3,0.12,928,2246,2231,896
"46",46,"60-15-col-ww-2.tif",1,"05a598e0-7b91-4433-8bf4-c62ec652a15d",53.450912,17.42,926,68,942,119,57.19,-1,-1,-1,-1,-1,-1,15,3,0.18,926,2229,2178,942
"47",47,"60-15-col-ww-2.tif",1,"2b3b56df-5bec-4c3f-a4b4-9d33919fe894",20.248457,57.09,845,73,828,84,62.35,-1,-1,-1,-1,-1,-1,15,3,0.07,845,2224,2213,828
"48",48,"60-15-col-ww-2.tif",1,"efb02988-f081-4ade-9c7f-05edd245cdbe",30.870699,65.1,925,78,897,91,54.4,-1,-1,-1,-1,-1,-1,15,3,0.1,925,2219,2206,897
"49",49,"60-15-col-ww-2.tif",1,"4b0058a8-17a6-4faf-9785-357fb0be728b",79.30952,5.06,898,92,891,171,53.12,-1,-1,-1,-1,-1,-1,15,3,0.27,898,2205,2126,891
"50",50,"60-15-col-ww-2.tif",1,"d2d2d8f7-9b49-401f-858b-bc3c183aaad3",62.225395,45,966,95,1010,139,59.81,-1,-1,-1,-1,-1,-1,15,3,0.21,966,2202,2158,1010
"51",51,"60-15-col-ww-2.tif",1,"358c8bdf-71f0-4402-b7a7-9bab3140f4ab",43.081318,68.2,894,96,854,112,64.96,-1,-1,-1,-1,-1,-1,15,3,0.14,894,2201,2185,854
"52",52,"60-15-col-ww-2.tif",1,"fc218663-c77d-497c-9b6a-849b8c15fd44",58.5235,56.85,828,134,877,166,55.08,-1,-1,-1,-1,-1,-1,15,3,0.2,828,2163,2131,877
"53",53,"60-15-col-ww-2.tif",1,"05f7f4de-6071-4fc0-acad-a1e391a0278f",64.03124,14.47,1010,140,1026,202,59.78,-1,-1,-1,-1,-1,-1,15,3,0.22,1010,2157,2095,1026
