image,time_in_serie,rep_id,intensity,intensity_ratio,diameter,repx,repy
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,63cd21f4-3280-48af-a128-338d42248e08,7.010336,2.3321047,79.40403,1217,1019
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,53ab9f95-15d2-4f06-9aba-0e42320cc354,10.271394,2.6510355,53.712196,1619,1038
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,4b1e2a38-4c71-4640-928a-d364724fce38,6.7530365,2.203837,52.46904,725,1059
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,3c6ebba6-3d95-43b9-83f7-44b4669fa80e,6.818182,2.1888888,23.769728,653,1055
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,c04d60e4-980a-4bf5-87eb-1c8c575d3492,10.227758,2.697286,41.617306,1353,1077
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,7b60a577-90bf-4192-86e4-4e421d332408,7.168498,2.1635156,35.805027,566,1097
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,3022bd27-e16d-4a6d-94b1-6297e008d792,7.873016,2.3699596,26.076809,1300,1110
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,21698534-ed14-42e6-96f2-0f4b4fef7531,6.9797297,2.2536302,25.942244,770,1113
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,0e85c493-0813-4018-998b-48bf09cce2b0,8.666667,2.4015007,22.203604,1336,1126
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,8c9c6f4b-3d32-465f-9e0c-d0a4e9f733fd,10.752381,2.472985,25.632011,630,1172
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,c0bcede9-64a2-498a-ac20-31f185e5932c,5.8844767,1.7883435,42.520584,178,1181
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,47919d5d-9bad-4344-b9e7-bdcdfc15ba1a,7.6056337,2.497531,33.61547,747,1177
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,5bd6b480-92c2-4244-845b-8f5c23c3ad8b,7.5859375,2.4335737,23.345236,1215,1198
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,ec6cd047-d4bf-4dc2-93e4-f5b8d45c897e,11.084906,2.6595745,18.867962,742,1209
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,c4d89a40-88be-46e5-8fd5-743efbfa5b9c,10.301587,2.7028763,54.451813,1017,1236
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,6e3cf1d5-cd73-4180-b152-d81cf702665e,6.885246,2.2476192,41.976185,850,1242
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,4696d7b0-adfd-43b2-85b6-d8fb43da50c9,14.237288,2.610119,21.587032,1301,1245
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,0ae37972-1706-4d28-b759-fcd919fb0f33,7.0684934,1.8846898,32.572994,507,1259
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,d230f3b1-5165-4b25-9a2d-41fd64b9fe90,8.048696,2.2659895,86.127815,1693,1291
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,32b6ab63-0d55-4d30-a59a-5ea3e6fb7df9,7.536965,2.204956,32.24903,742,1271
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,66b8a741-b72f-4db5-b685-c4bb8d59f370,15.770492,2.8635654,32.202484,1309,1278
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,dadc047a-d578-462a-a3f0-72c87c94e8cd,10.265525,2.3347936,52.46904,1429,1292
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,41e455e0-9a14-4caa-adc8-4729513e9456,6.403415,1.8948333,119.85408,1500,1365
