image, area, convexhull, depth, width, circularity, ar, round, solidity, feret, feret_angle, massX, massY
51-22-low-1-3.tif,4.6078167,64.60419,13.795094,8.0230875,0.65269345,1.7902898,0.55856884,0.9956006,13.825015,86.22968,0.0,5.9947095
51-22-low-3-1.tif,4.4753876,64.850105,10.25974,8.802308,0.80281514,1.2284386,0.8140415,0.99611074,10.409682,80.26347,0.0,5.522252
51-22-low-4-4.tif,4.253627,59.355247,12.092352,7.5613275,0.765766,1.5426239,0.64824617,0.9959401,12.16659,83.66731,0.0,5.561248
51-22-low-5-5.tif,4.4603944,53.302135,12.366522,8.225108,0.6651731,1.4885445,0.67179716,0.99465144,12.36956,91.27006,0.0,5.711054
51-22-low-6-6.tif,5.208756,46.66891,10.38961,7.316017,0.70824754,1.5260606,0.65528196,0.9948223,10.392175,88.72697,0.0,5.1074924
