image, index, ax, ay, bx, by, efd
51-22-low-1-3.tif,1,994.4,1049.76,0.0,0.0,2.857278342400047
51-22-low-1-3.tif,2,17.077224314938167,-505.77706339008097,-193.1600168350759,-54.97869597024179,2.0
51-22-low-1-3.tif,3,7.808353176282731,6.919206255421632,-107.86933912151561,-31.108682674050716,0.5796181507280682
51-22-low-1-3.tif,4,-24.84865789904636,59.65829243725674,27.788433995101386,-5.939412314884837,0.2691954991734089
51-22-low-1-3.tif,5,-37.8247804501084,-67.98035953982493,6.946458417762788,-17.064271516829816,0.24546325338835762
51-22-low-3-1.tif,1,917.25,780.0833333333333,0.0,0.0,3.4470017317383865
51-22-low-3-1.tif,2,-88.20100860235137,-338.0021373417419,-288.9372511475511,38.98421619214285,2.0
51-22-low-3-1.tif,3,27.94572285802805,-31.213514818874234,-11.986430714506918,-22.63413182780045,0.20778109502934494
51-22-low-3-1.tif,4,-58.48862731289925,33.209015724621935,13.218828141796218,-1.116537409673778,0.23804247507086757
51-22-low-3-1.tif,5,25.499999999999904,-22.333333333333318,-21.50629752731348,52.105861794363875,0.2903791457159981
51-22-low-4-4.tif,1,835.4285714285713,951.7142857142857,0.0,0.0,3.0937390672744365
51-22-low-4-4.tif,2,-5.155172179335872,-409.3017214796784,-219.1268392459718,75.50794668072882,2.0
51-22-low-4-4.tif,3,-40.5584905669752,-13.585417609202452,-94.83704785549632,-19.3925850916884,0.5221452853695113
51-22-low-4-4.tif,4,30.453307023274345,23.774387816372244,0.6111006722535218,-5.578768761908793,0.1185978925439359
51-22-low-4-4.tif,5,-7.6579800268770715,-26.492618407656753,-8.536725248689487,39.5094755066466,0.2417720775369248
51-22-low-5-5.tif,1,1000.0,721.0,0.0,0.0,3.481353668760466
51-22-low-5-5.tif,2,-43.00000000000024,-351.5,-265.00377355803823,73.6121593216773,2.0
51-22-low-5-5.tif,3,-23.000000000000114,71.49999999999996,32.90896534380893,-6.062177826490995,0.3337638124130075
51-22-low-5-5.tif,4,68.0,-155.0,4.4087284769304716E-14,5.339460044282459E-14,0.4779734801646975
51-22-low-5-5.tif,5,-22.99999999999979,71.50000000000003,-32.90896534380806,6.062177826491222,0.33376381241300446
51-22-low-6-6.tif,1,969.0,587.0,0.0,0.0,3.230734118586255
51-22-low-6-6.tif,2,-11.000000000000227,-350.5,-230.3627574066607,-47.63139720814406,2.0
51-22-low-6-6.tif,3,-36.00000000000007,66.50000000000006,62.35382907247988,52.82754963085081,0.5630521269384121
51-22-low-6-6.tif,4,37.0,-19.0,4.531193156845207E-14,-8.572527594031523E-16,0.11860998684484644
51-22-low-6-6.tif,5,-35.99999999999979,66.49999999999989,-62.35382907247897,-52.8275496308506,0.5630521269384078
