 angle,col_dark,col_light,pht_dark,pht_light
-90,0.4558019638,0.5256248713,0.9197239876,1.4368468523
-88,0.3680855036,0.3974277675,0.3577725291,0.2797289789
-86,0.3996384144,0.4122877121,0.3799919486,0.3820205331
-84,0.3570967317,0.4007809162,0.3618873656,0.2863118947
-82,0.5067551136,0.617518127,0.4442726076,0.2930811644
-80,0.5141547322,0.4120183587,0.4362353086,0.4031111896
-78,0.5455307364,0.5052408576,0.4966054857,0.3165884018
-76,0.6591311693,0.550278306,0.4399707913,0.5012500286
-74,0.7217506766,0.5863333344,0.4902535677,0.3950591981
-72,0.7337508798,0.5327518582,0.6879807711,0.4027769268
-70,0.993350327,0.4994086921,0.5238727331,0.3610441089
-68,1.0799175501,0.6258458495,0.5857878327,0.6965245008
-66,1.2290093899,0.6590343118,0.6023846865,0.4747823477
-64,1.2872962952,0.6492994428,0.7235608697,0.6280686259
-62,1.0021719933,0.7414146066,0.8273063302,0.4514740705
-60,0.9654167295,0.8158889413,0.8807210922,1.1231076717
-58,1.224968195,0.7910326123,0.7792243361,0.9293285608
-56,1.2708494663,0.9383399487,0.8846438527,0.9149762392
-54,1.0266287327,0.8736591935,0.7968907356,0.9965307713
-52,0.9829341769,0.8842811584,0.9219896197,0.9422742128
-50,1.1397365332,0.8725684881,0.8613774776,0.9487048984
-48,1.2069066763,0.9309344888,0.9304616451,1.210755825
-46,2.0257925987,1.1013977528,1.3768547773,1.4287625551
-44,1.2841763496,1.0542205572,1.0526168346,1.1931190491
-42,1.0927382708,1.1486258507,0.9172616005,1.2750655413
-40,1.1375453472,0.94239223,1.0787268877,1.0908931494
-38,0.9869352579,0.983956039,1.1099431515,1.3125394583
-36,1.1668345928,0.9560080171,1.2290912867,1.4005643129
-34,1.4884607792,1.023470521,1.343490243,1.001691103
-32,1.3276542425,1.083286643,1.4231796265,1.334059
-30,1.1815891266,1.0885186195,1.4172590971,1.3633438349
-28,1.3522875309,1.0900001526,1.4673480988,1.4268132448
-26,1.3959417343,1.2552788258,1.773892045,1.3774251938
-24,1.3610824347,1.1592857838,1.7890841961,1.2828911543
-22,1.1400088072,1.1014590263,1.6286351681,1.5869531631
-20,1.2098675966,1.178670764,1.9224386215,1.767080307
-18,1.0574121475,1.1775832176,2.2043530941,1.6229636669
-16,0.8873265386,1.1368536949,2.4925677776,1.4828566313
-14,1.0739269257,1.2412582636,2.3693256378,1.2015376091
-12,0.8769318461,1.13263762,2.0567064285,1.2797544003
-10,0.8539991975,1.2395154238,2.061150074,2.170799017
-8,0.6847469211,1.2482151985,1.7073265314,1.4638447762
-6,0.7193567753,1.447119236,1.8686448336,1.3157379627
-4,0.6065914035,1.7164746523,1.7660367489,1.6794310808
-2,0.7725554109,1.8879163265,2.0636949539,1.6558815241
1.27222193825778E-013,1.1383742094,2.3638253212,3.3012301922,5.22026968
2,0.590305388,1.7313005924,1.9894142151,1.3568754196
4,0.6385796666,1.8783261776,2.1703615189,1.448730588
6,0.6550581455,1.7545650005,1.8236048222,1.3227105141
8,0.7242257595,1.948217392,1.8111432791,1.7605870962
10,0.8202027082,2.0177824497,1.5165679455,1.8575567007
12,0.9636741281,2.0124080181,2.0146577358,2.3945689201
14,1.0177041292,2.0405957699,1.861794591,1.9825797081
16,1.1736731529,1.9945085049,1.7976894379,2.130184412
18,1.2577741146,2.029676199,1.5159682035,2.153428793
20,1.1452279091,2.1257305145,1.2667111158,1.9626082182
22,1.2996103764,1.8846049309,1.1789238453,1.473520875
24,1.2377499342,1.7508211136,1.3205411434,1.94837749
26,1.5356001854,2.0171177387,1.2371879816,1.6507608891
28,1.700075984,1.832852602,1.234361887,1.7454692125
30,1.9695273638,1.7414041758,1.0277267694,1.3561460972
32,2.3856573105,1.5518144369,1.0952529907,1.6069967747
34,2.2633686066,1.5737518072,1.1866928339,1.574960947
36,1.7643402815,1.416764617,1.058242321,1.6154464483
38,1.8346345425,1.3595610857,0.993348062,1.5516425371
40,2.1489450932,1.2977076769,1.1308381557,1.0630927086
42,1.9383878708,1.1285010576,0.9534651637,1.1208720207
44,2.4092741013,1.3083817959,1.3137667179,1.4320816994
46,1.7107393742,1.0508499146,1.1642706394,0.8851837516
48,1.747606039,0.9457957745,0.8295572996,0.8925774097
50,1.6188423634,0.9817328453,0.7678281069,1.0241000652
52,1.4164297581,0.925059855,0.8271889091,0.4516136944
54,1.7579783201,1.0853096247,0.8898245692,0.7125817537
56,1.7581931353,1.1062102318,0.5886315703,0.5089161992
58,1.5439122915,1.0323351622,0.699663341,0.8819851875
