"","experiment","das","genotype","light","plant","aq","x","y","angle","count"
"98","32","20","col","dark","15","1",0,0,76,0.9459958076
"99","32","20","col","dark","15","1",0,0,74,1.121017098
"100","32","20","col","dark","15","1",0,0,72,1.172685385
"101","32","20","col","dark","15","1",0,0,70,1.371304631
"102","32","20","col","dark","15","1",0,0,68,1.231387854
"103","32","20","col","dark","15","1",0,0,66,1.246785998
"104","32","20","col","dark","15","1",0,0,64,1.129363298
"105","32","20","col","dark","15","1",0,0,62,1.364411235
"106","32","20","col","dark","15","1",0,0,60,1.294164896
"107","32","20","col","dark","15","1",0,0,58,1.415878892
"108","32","20","col","dark","15","1",0,0,56,1.399686933
"109","32","20","col","dark","15","1",0,0,54,1.353069425
"110","32","20","col","dark","15","1",0,0,52,1.461070657
"111","32","20","col","dark","15","1",0,0,50,1.494464278
"112","32","20","col","dark","15","1",0,0,48,1.510065913
"113","32","20","col","dark","15","1",0,0,46,2.426985264
"114","32","20","col","dark","15","1",0,0,44,1.824464679
"115","32","20","col","dark","15","1",0,0,42,1.76535809
"116","32","20","col","dark","15","1",0,0,40,1.580141187
"117","32","20","col","dark","15","1",0,0,38,1.357835054
"118","32","20","col","dark","15","1",0,0,36,1.716405153
"119","32","20","col","dark","15","1",0,0,34,1.709946632
"120","32","20","col","dark","15","1",0,0,32,1.428244591
"121","32","20","col","dark","15","1",0,0,30,1.292242408
"122","32","20","col","dark","15","1",0,0,28,1.37418294
"123","32","20","col","dark","15","1",0,0,26,1.303819895
"124","32","20","col","dark","15","1",0,0,24,1.136132479
"125","32","20","col","dark","15","1",0,0,22,1.331138372
"126","32","20","col","dark","15","1",0,0,20,1.136917233
"127","32","20","col","dark","15","1",0,0,18,1.035519719
"128","32","20","col","dark","15","1",0,0,16,0.8659806252
"129","32","20","col","dark","15","1",0,0,14,1.037204385
"130","32","20","col","dark","15","1",0,0,12,0.8009623885
"131","32","20","col","dark","15","1",0,0,10,0.9299581051
"132","32","20","col","dark","15","1",0,0,8,1.056247473
"133","32","20","col","dark","15","1",0,0,6,0.8168327808
"134","32","20","col","dark","15","1",0,0,4,1.034008265
"135","32","20","col","dark","15","1",0,0,2,0.7390280962
"136","32","20","col","dark","15","1",0,0,1.27e-13,1.068319798
"137","32","20","col","dark","15","1",0,0,2,0.8858977556
"138","32","20","col","dark","15","1",0,0,4,0.8099210858
"139","32","20","col","dark","15","1",0,0,6,0.7840803266
"140","32","20","col","dark","15","1",0,0,8,0.9733072519
"141","32","20","col","dark","15","1",0,0,10,1.005082369
"142","32","20","col","dark","15","1",0,0,12,1.293816566
"143","32","20","col","dark","15","1",0,0,14,1.452271104
"144","32","20","col","dark","15","1",0,0,16,1.696412802
"145","32","20","col","dark","15","1",0,0,18,1.335503459
"146","32","20","col","dark","15","1",0,0,20,1.479692101
"147","32","20","col","dark","15","1",0,0,22,1.610223889
"148","32","20","col","dark","15","1",0,0,24,1.659361005
"149","32","20","col","dark","15","1",0,0,26,1.584757686
"150","32","20","col","dark","15","1",0,0,28,1.394407272
"151","32","20","col","dark","15","1",0,0,30,1.506726861
"152","32","20","col","dark","15","1",0,0,32,1.384830832
"153","32","20","col","dark","15","1",0,0,34,1.590103984
"154","32","20","col","dark","15","1",0,0,36,1.117484093
"155","32","20","col","dark","15","1",0,0,38,1.379909158
"156","32","20","col","dark","15","1",0,0,40,1.237404943
"157","32","20","col","dark","15","1",0,0,42,1.185435057
"158","32","20","col","dark","15","1",0,0,44,1.639789343
"159","32","20","col","dark","15","1",0,0,46,0.9584482312
"160","32","20","col","dark","15","1",0,0,48,1.004029751
"161","32","20","col","dark","15","1",0,0,50,0.769829452
"162","32","20","col","dark","15","1",0,0,52,0.8388161063
"163","32","20","col","dark","15","1",0,0,54,0.7586334944
"164","32","20","col","dark","15","1",0,0,56,0.8235562444
"165","32","20","col","dark","15","1",0,0,58,0.6380730271
"166","32","20","col","dark","15","1",0,0,60,0.5946561098
"167","32","20","col","dark","15","1",0,0,62,0.6657583117
"168","32","20","col","dark","15","1",0,0,64,0.5661287308
"169","32","20","col","dark","15","1",0,0,66,0.6695538163
"170","32","20","col","dark","15","1",0,0,68,0.6307536364
"171","32","20","col","dark","15","1",0,0,70,0.6389172077
"172","32","20","col","dark","15","1",0,0,72,0.4637157321
"173","32","20","col","dark","15","1",0,0,74,0.4414124191
"174","32","20","col","dark","15","1",0,0,76,0.4984221756
"175","32","20","col","dark","15","1",0,0,78,0.526791811
"176","32","20","col","dark","15","1",0,0,80,0.5210867524
"177","32","20","col","dark","15","1",0,0,82,0.5817435384
"178","32","20","col","dark","15","1",0,0,84,0.5808131099
"179","32","20","col","dark","15","1",0,0,86,0.6152585745
"180","32","20","col","dark","15","1",0,0,88,0.7042551041
"181","32","20","col","dark","16","1",0,0,90,0.5202959776
"182","32","20","col","dark","16","1",0,0,88,0.4800089002
"183","32","20","col","dark","16","1",0,0,86,0.5252710581
"184","32","20","col","dark","16","1",0,0,84,0.5252612233
"185","32","20","col","dark","16","1",0,0,82,0.4718717337
"186","32","20","col","dark","16","1",0,0,80,0.4583338201
"187","32","20","col","dark","16","1",0,0,78,0.5037377477
"188","32","20","col","dark","16","1",0,0,76,0.5562403798
"189","32","20","col","dark","16","1",0,0,74,0.6504251957
"190","32","20","col","dark","16","1",0,0,72,0.6856043935
"191","32","20","col","dark","16","1",0,0,70,0.8366945982
"192","32","20","col","dark","16","1",0,0,68,0.9517813921
"193","32","20","col","dark","16","1",0,0,66,1.023177862
"194","32","20","col","dark","16","1",0,0,64,0.9266076088
"195","32","20","col","dark","16","1",0,0,62,1.117396355
"196","32","20","col","dark","16","1",0,0,60,1.102040291
"197","32","20","col","dark","16","1",0,0,58,1.221355081
"198","32","20","col","dark","16","1",0,0,56,1.044424176
"199","32","20","col","dark","16","1",0,0,54,0.8751266003
"200","32","20","col","dark","16","1",0,0,52,1.053698778
"201","32","20","col","dark","16","1",0,0,50,0.9923077226
"202","32","20","col","dark","16","1",0,0,48,1.044330955
"203","32","20","col","dark","16","1",0,0,46,1.411814451
"204","32","20","col","dark","16","1",0,0,44,0.9331355095
"205","32","20","col","dark","16","1",0,0,42,0.9305677414
"206","32","20","col","dark","16","1",0,0,40,0.9548624754
"207","32","20","col","dark","16","1",0,0,38,0.9134002924
"208","32","20","col","dark","16","1",0,0,36,0.9603691101
"209","32","20","col","dark","16","1",0,0,34,0.9737463593
"210","32","20","col","dark","16","1",0,0,32,0.8379042745
"211","32","20","col","dark","16","1",0,0,30,0.9668722153
"212","32","20","col","dark","16","1",0,0,28,0.8855825067
"213","32","20","col","dark","16","1",0,0,26,0.8843935728
"214","32","20","col","dark","16","1",0,0,24,0.9337090254
"215","32","20","col","dark","16","1",0,0,22,0.9281433225
"216","32","20","col","dark","16","1",0,0,20,0.9381837845
"217","32","20","col","dark","16","1",0,0,18,1.050625801
"218","32","20","col","dark","16","1",0,0,16,1.023551464
"219","32","20","col","dark","16","1",0,0,14,1.168727398
"220","32","20","col","dark","16","1",0,0,12,0.9123089314
"221","32","20","col","dark","16","1",0,0,10,1.024338961
"222","32","20","col","dark","16","1",0,0,8,0.9217174053
"223","32","20","col","dark","16","1",0,0,6,0.8887777925
"224","32","20","col","dark","16","1",0,0,4,1.098596931
"225","32","20","col","dark","16","1",0,0,2,1.31335175
"226","32","20","col","dark","16","1",0,0,1.27e-13,1.847779512
"227","32","20","col","dark","16","1",0,0,2,1.225380898
"228","32","20","col","dark","16","1",0,0,4,1.021708727
"229","32","20","col","dark","16","1",0,0,6,1.093831897
"230","32","20","col","dark","16","1",0,0,8,1.13254416
"231","32","20","col","dark","16","1",0,0,10,1.298083901
"232","32","20","col","dark","16","1",0,0,12,1.552557111
"233","32","20","col","dark","16","1",0,0,14,1.49332583
"234","32","20","col","dark","16","1",0,0,16,1.537338734
"235","32","20","col","dark","16","1",0,0,18,1.333891273
"236","32","20","col","dark","16","1",0,0,20,1.423934698
"237","32","20","col","dark","16","1",0,0,22,1.632618189
"238","32","20","col","dark","16","1",0,0,24,1.949375868
"239","32","20","col","dark","16","1",0,0,26,1.695681453
"240","32","20","col","dark","16","1",0,0,28,1.632609367
"241","32","20","col","dark","16","1",0,0,30,2.111152649
"242","32","20","col","dark","16","1",0,0,32,2.326009989
"243","32","20","col","dark","16","1",0,0,34,2.039541006
"244","32","20","col","dark","16","1",0,0,36,1.864364266
"245","32","20","col","dark","16","1",0,0,38,1.771704555
"246","32","20","col","dark","16","1",0,0,40,1.82013905
"247","32","20","col","dark","16","1",0,0,42,2.087496758
"248","32","20","col","dark","16","1",0,0,44,2.52202177
"249","32","20","col","dark","16","1",0,0,46,1.783524752
"250","32","20","col","dark","16","1",0,0,48,1.68915832
"251","32","20","col","dark","16","1",0,0,50,1.592419624
"252","32","20","col","dark","16","1",0,0,52,1.542228341
"253","32","20","col","dark","16","1",0,0,54,1.457979441
"254","32","20","col","dark","16","1",0,0,56,1.335936785
"255","32","20","col","dark","16","1",0,0,58,1.232053399
"256","32","20","col","dark","16","1",0,0,60,1.161852002
"257","32","20","col","dark","16","1",0,0,62,1.023261905
"258","32","20","col","dark","16","1",0,0,64,1.062187552
"259","32","20","col","dark","16","1",0,0,66,0.8681287169
"260","32","20","col","dark","16","1",0,0,68,0.9000530243
"261","32","20","col","dark","16","1",0,0,70,0.7644460201
"262","32","20","col","dark","16","1",0,0,72,0.7116898894
"263","32","20","col","dark","16","1",0,0,74,0.5776329041
"264","32","20","col","dark","16","1",0,0,76,0.5435457826
"265","32","20","col","dark","16","1",0,0,78,0.4956423342
"266","32","20","col","dark","16","1",0,0,80,0.5386939645
"267","32","20","col","dark","16","1",0,0,82,0.459374547
"268","32","20","col","dark","16","1",0,0,84,0.4329512417
"269","32","20","col","dark","16","1",0,0,86,0.4567087293
"270","32","20","col","dark","16","1",0,0,88,0.5367662907
"271","32","20","col","dark","17","1",0,0,90,0.7839041948
"272","32","20","col","dark","17","1",0,0,88,0.4711719453
"273","32","20","col","dark","17","1",0,0,86,0.5582489967
"274","32","20","col","dark","17","1",0,0,84,0.5439376235
"275","32","20","col","dark","17","1",0,0,82,0.5800369382
"276","32","20","col","dark","17","1",0,0,80,0.6049120426
"277","32","20","col","dark","17","1",0,0,78,0.6489973664
"278","32","20","col","dark","17","1",0,0,76,0.6904419065
"279","32","20","col","dark","17","1",0,0,74,0.6912149787
"280","32","20","col","dark","17","1",0,0,72,0.8389997482
"281","32","20","col","dark","17","1",0,0,70,0.765478909
"282","32","20","col","dark","17","1",0,0,68,1.052886367
"283","32","20","col","dark","17","1",0,0,66,1.219081521
"284","32","20","col","dark","17","1",0,0,64,1.154089212
"285","32","20","col","dark","17","1",0,0,62,1.270650744
"286","32","20","col","dark","17","1",0,0,60,1.262085199
"287","32","20","col","dark","17","1",0,0,58,1.338763237
"288","32","20","col","dark","17","1",0,0,56,1.465251207
"289","32","20","col","dark","17","1",0,0,54,1.416833997
"290","32","20","col","dark","17","1",0,0,52,1.415457249
"291","32","20","col","dark","17","1",0,0,50,1.53397274
"292","32","20","col","dark","17","1",0,0,48,1.540325761
"293","32","20","col","dark","17","1",0,0,46,2.604779243
"294","32","20","col","dark","17","1",0,0,44,1.97773838
"295","32","20","col","dark","17","1",0,0,42,1.683066964
"296","32","20","col","dark","17","1",0,0,40,1.72990787
"297","32","20","col","dark","17","1",0,0,38,1.631560326
"298","32","20","col","dark","17","1",0,0,36,1.787590504
"299","32","20","col","dark","17","1",0,0,34,1.492035747
"300","32","20","col","dark","17","1",0,0,32,1.296128154
"301","32","20","col","dark","17","1",0,0,30,1.241143942
"302","32","20","col","dark","17","1",0,0,28,1.163456321
"303","32","20","col","dark","17","1",0,0,26,1.147865415
"304","32","20","col","dark","17","1",0,0,24,0.999622643
"305","32","20","col","dark","17","1",0,0,22,0.8698191643
"306","32","20","col","dark","17","1",0,0,20,0.9965309501
"307","32","20","col","dark","17","1",0,0,18,0.9257016182
"308","32","20","col","dark","17","1",0,0,16,1.027925849
"309","32","20","col","dark","17","1",0,0,14,0.9073359966
"310","32","20","col","dark","17","1",0,0,12,0.7824738622
"311","32","20","col","dark","17","1",0,0,10,0.6661973
"312","32","20","col","dark","17","1",0,0,8,0.7024734616
"313","32","20","col","dark","17","1",0,0,6,0.6856455803
"314","32","20","col","dark","17","1",0,0,4,0.8205720186
"315","32","20","col","dark","17","1",0,0,2,0.7645308375
"316","32","20","col","dark","17","1",0,0,1.27e-13,1.151635647
"317","32","20","col","dark","17","1",0,0,2,0.8714768887
"318","32","20","col","dark","17","1",0,0,4,0.7275748253
"319","32","20","col","dark","17","1",0,0,6,0.6898801327
"320","32","20","col","dark","17","1",0,0,8,0.7570210099
"321","32","20","col","dark","17","1",0,0,10,0.8144171834
"322","32","20","col","dark","17","1",0,0,12,0.9305493236
"323","32","20","col","dark","17","1",0,0,14,0.9189699888
"324","32","20","col","dark","17","1",0,0,16,1.105004311
"325","32","20","col","dark","17","1",0,0,18,1.110357642
"326","32","20","col","dark","17","1",0,0,20,0.8870789409
"327","32","20","col","dark","17","1",0,0,22,0.9659433365
"328","32","20","col","dark","17","1",0,0,24,1.176651359
"329","32","20","col","dark","17","1",0,0,26,1.185628057
"330","32","20","col","dark","17","1",0,0,28,0.9733934402
"331","32","20","col","dark","17","1",0,0,30,1.196647167
"332","32","20","col","dark","17","1",0,0,32,1.386370659
"333","32","20","col","dark","17","1",0,0,34,1.204838991
"334","32","20","col","dark","17","1",0,0,36,1.301826239
"335","32","20","col","dark","17","1",0,0,38,1.265213013
"336","32","20","col","dark","17","1",0,0,40,1.191192389
"337","32","20","col","dark","17","1",0,0,42,1.459890127
"338","32","20","col","dark","17","1",0,0,44,1.992966652
"339","32","20","col","dark","17","1",0,0,46,1.407459378
"340","32","20","col","dark","17","1",0,0,48,1.482589126
"341","32","20","col","dark","17","1",0,0,50,1.483425856
"342","32","20","col","dark","17","1",0,0,52,1.441397548
"343","32","20","col","dark","17","1",0,0,54,1.800313115
"344","32","20","col","dark","17","1",0,0,56,1.620103717
"345","32","20","col","dark","17","1",0,0,58,1.632182956
"346","32","20","col","dark","17","1",0,0,60,1.625071168
"347","32","20","col","dark","17","1",0,0,62,1.477581978
"348","32","20","col","dark","17","1",0,0,64,1.430790186
"349","32","20","col","dark","17","1",0,0,66,1.415457129
