image, x, y, angle, count
50-22-bay-1-1.tif,0.0,0.0,-90.0,0.5945538878440857
50-22-bay-1-1.tif,0.0,0.0,-88.0,0.5230581164360046
50-22-bay-1-1.tif,0.0,0.0,-86.0,0.49418583512306213
50-22-bay-1-1.tif,0.0,0.0,-84.0,0.4656417667865753
50-22-bay-1-1.tif,0.0,0.0,-82.0,0.4672273099422455
50-22-bay-1-1.tif,0.0,0.0,-80.0,0.5059738755226135
50-22-bay-1-1.tif,0.0,0.0,-78.0,0.5461737513542175
50-22-bay-1-1.tif,0.0,0.0,-76.0,0.5946372747421265
50-22-bay-1-1.tif,0.0,0.0,-74.0,0.6555439829826355
50-22-bay-1-1.tif,0.0,0.0,-72.0,0.7180368304252625
50-22-bay-1-1.tif,0.0,0.0,-70.0,0.8038343787193298
50-22-bay-1-1.tif,0.0,0.0,-68.0,0.7877713441848755
50-22-bay-1-1.tif,0.0,0.0,-66.0,0.7543476223945618
50-22-bay-1-1.tif,0.0,0.0,-64.0,0.9421452283859253
50-22-bay-1-1.tif,0.0,0.0,-62.0,1.157030701637268
50-22-bay-1-1.tif,0.0,0.0,-60.0,1.2253708839416504
50-22-bay-1-1.tif,0.0,0.0,-58.0,1.4405065774917603
50-22-bay-1-1.tif,0.0,0.0,-56.0,1.4425396919250488
50-22-bay-1-1.tif,0.0,0.0,-54.0,1.2220975160598755
50-22-bay-1-1.tif,0.0,0.0,-52.0,1.0552427768707275
50-22-bay-1-1.tif,0.0,0.0,-50.0,1.125850796699524
50-22-bay-1-1.tif,0.0,0.0,-48.0,1.3480881452560425
50-22-bay-1-1.tif,0.0,0.0,-46.0,1.4282828569412231
50-22-bay-1-1.tif,0.0,0.0,-44.0,1.5212665796279907
50-22-bay-1-1.tif,0.0,0.0,-42.0,1.5800185203552246
50-22-bay-1-1.tif,0.0,0.0,-40.0,1.56222665309906
50-22-bay-1-1.tif,0.0,0.0,-38.0,1.2908200025558472
50-22-bay-1-1.tif,0.0,0.0,-36.0,1.192651391029358
50-22-bay-1-1.tif,0.0,0.0,-34.0,0.9299275875091553
50-22-bay-1-1.tif,0.0,0.0,-32.0,1.063381314277649
50-22-bay-1-1.tif,0.0,0.0,-30.0,1.3235697746276855
50-22-bay-1-1.tif,0.0,0.0,-28.0,1.1520799398422241
50-22-bay-1-1.tif,0.0,0.0,-26.0,1.001849889755249
50-22-bay-1-1.tif,0.0,0.0,-24.0,1.0266380310058594
50-22-bay-1-1.tif,0.0,0.0,-22.0,1.250206708908081
50-22-bay-1-1.tif,0.0,0.0,-20.0,1.0094109773635864
50-22-bay-1-1.tif,0.0,0.0,-18.0,0.9281908273696899
50-22-bay-1-1.tif,0.0,0.0,-16.0,0.9371936321258545
50-22-bay-1-1.tif,0.0,0.0,-14.0,0.9459642171859741
50-22-bay-1-1.tif,0.0,0.0,-12.0,1.065888524055481
50-22-bay-1-1.tif,0.0,0.0,-10.0,1.1342511177062988
50-22-bay-1-1.tif,0.0,0.0,-8.0,1.1041804552078247
50-22-bay-1-1.tif,0.0,0.0,-6.0,1.218034267425537
50-22-bay-1-1.tif,0.0,0.0,-4.0,1.1313694715499878
50-22-bay-1-1.tif,0.0,0.0,-2.0,1.0592292547225952
50-22-bay-1-1.tif,0.0,0.0,1.272221938257781E-13,1.1519041061401367
50-22-bay-1-1.tif,0.0,0.0,2.0,1.0843240022659302
50-22-bay-1-1.tif,0.0,0.0,4.0,1.0951632261276245
50-22-bay-1-1.tif,0.0,0.0,6.0,1.3817431926727295
50-22-bay-1-1.tif,0.0,0.0,8.0,1.5849049091339111
50-22-bay-1-1.tif,0.0,0.0,10.0,1.2717647552490234
50-22-bay-1-1.tif,0.0,0.0,12.0,1.4047722816467285
50-22-bay-1-1.tif,0.0,0.0,14.0,1.545192003250122
50-22-bay-1-1.tif,0.0,0.0,16.0,1.692024827003479
50-22-bay-1-1.tif,0.0,0.0,18.0,1.8051152229309082
50-22-bay-1-1.tif,0.0,0.0,20.0,1.805436611175537
50-22-bay-1-1.tif,0.0,0.0,22.0,1.7478749752044678
50-22-bay-1-1.tif,0.0,0.0,24.0,1.6910414695739746
50-22-bay-1-1.tif,0.0,0.0,26.0,1.678678035736084
50-22-bay-1-1.tif,0.0,0.0,28.0,1.505096435546875
50-22-bay-1-1.tif,0.0,0.0,30.0,1.696543574333191
50-22-bay-1-1.tif,0.0,0.0,32.0,1.673488736152649
50-22-bay-1-1.tif,0.0,0.0,34.0,1.4757694005966187
50-22-bay-1-1.tif,0.0,0.0,36.0,1.5409269332885742
50-22-bay-1-1.tif,0.0,0.0,38.0,1.3615760803222656
50-22-bay-1-1.tif,0.0,0.0,40.0,1.6102858781814575
