sample,accession,plant,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90
Bay1,bay,1,1.1519041061,1.0717766285,1.1132663488,1.29988873,1.3445426822,1.2030079365,1.2353304029,1.2455781102,1.3146092296,1.3666530252,1.4074237943,1.4990408421,1.3588397503,1.3402639627,1.3285881877,1.5100566745,1.3684350252,1.2028484941,1.3667891622,1.3261980414,1.5862562656,1.5069894195,1.4556993246,1.4373925924,1.4145004749,1.1621820927,1.0824902058,1.1592453718,1.2619440556,1.219296962,1.1075688601,1.0673669875,0.9393061101,0.8921500742,0.8800977468,0.7700394988,0.6931418478,0.6523606777,0.6450290978,0.6037374139,0.5455387831,0.5387612134,0.5401719958,0.5367106646,0.5256564021,0.5945538878
Bay2,bay,2,1.5177186131,1.2545084208,1.5108174384,1.3379286826,1.2295692563,1.3477985263,1.2341375351,1.1153611988,1.173427701,1.2080721557,1.1075295955,1.2980300486,1.3251582384,1.3130315095,1.3463201225,1.5362482667,1.5054391026,1.4888955653,1.483855933,1.3964370787,1.4253831208,1.3783220947,1.3649088144,1.4141104817,1.4061656892,1.452398628,1.3068221211,1.2241224647,1.2522705793,1.1527404189,1.0697160214,1.0003753155,0.9203811735,0.8415814787,0.7506003082,0.6964665502,0.6387832314,0.6022812352,0.590850614,0.6137977466,0.5545706451,0.5337967947,0.544857949,0.5178762749,0.4811809361,0.5884270966
Bay3,bay,3,1.6918782592,1.4685152471,1.5869884193,1.5109871924,1.5072071254,1.4416612685,1.3709285259,1.4315465093,1.428657949,1.5763334334,1.4723899364,1.5266717374,1.4596130252,1.5262927413,1.5197587311,1.4019301534,1.4729882181,1.5754371285,1.5580812097,1.4641826153,1.3053072542,1.2947994471,1.2450727224,1.3041065931,1.326558128,1.3753000647,1.2969243675,1.1151174158,0.972505331,0.9278170466,0.8439678699,0.805348739,0.69596605,0.6432583183,0.6137399301,0.588237673,0.5876490995,0.5189011693,0.4835190773,0.4808332548,0.4544175267,0.4797362387,0.4568765908,0.4174930528,0.390915297,0.4590429813
Bay4,bay,4,1.5555307269,1.3360773921,1.3453969508,1.3049250245,1.248627156,1.1652703732,1.2778269351,1.2300342172,1.4661743492,1.4398013949,1.2999892533,1.4392424524,1.3915115893,1.4572821259,1.4482982755,1.5227441788,1.5523976982,1.5783930719,1.6438172609,1.5920114964,1.5067569464,1.4258850366,1.3793816417,1.3493234068,1.3071261346,1.4871704578,1.4516272694,1.1021930128,1.0014301091,0.8853697628,0.9077085555,0.867642954,0.8547761589,0.8370715231,0.6955687106,0.6046824679,0.5599482581,0.5449378341,0.5340815783,0.5072867423,0.4973718151,0.486276336,0.4739706218,0.5045947507,0.4493823424,0.5216978788
Bay5,bay,5,2.0688026547,1.8922397196,2.0207136571,1.8868508041,1.7094524205,1.6295403391,1.5502444059,1.4231970608,1.2565636486,1.4195738435,1.4250995219,1.5225465596,1.5099238455,1.3254144192,1.2480957955,1.2860291004,1.2734342217,1.2118824273,1.2884231508,1.2175617963,1.1451909542,1.0462620109,1.1530359387,1.0920114517,1.1840259731,1.2188294381,1.1968450844,1.1811346561,1.0983636826,0.9935597032,0.9620133787,0.9385926425,0.7698338032,0.6509951651,0.7000896335,0.6655842513,0.6632928699,0.5845923424,0.5468196273,0.4938956276,0.4456926435,0.4767049253,0.514612712,0.4559465274,0.4328043982,0.5161646903
Bay6,bay,6,2.3755942583,1.9735670388,1.8839384615,1.852080673,1.9055963457,1.9897296131,1.9365102947,1.6458853781,1.5285713971,1.6013119817,1.6951786876,1.7974663377,1.6625166833,1.5257672071,1.4007158875,1.5474388897,1.3755443394,1.2632811666,1.2769286931,1.2374649942,1.2049092352,1.1816606671,1.1299201846,1.0733647048,1.0201699883,0.9501805604,0.8388818502,0.7858816534,0.7013031393,0.6474046856,0.6667461991,0.6563280076,0.6271430552,0.5597942621,0.5485245436,0.5130373389,0.546975486,0.5141924471,0.5197607875,0.4986285344,0.5046931356,0.5015429109,0.4493487626,0.4269537628,0.3993297592,0.4920663834
Bay7,bay,7,1.3747496605,1.2569234967,1.1671055555,1.2346639633,1.138941884,1.2423776984,1.2759221196,1.2751992941,1.3724416494,1.389626205,1.3385823369,1.2769639492,1.2393926382,1.3280342221,1.4058268666,1.2225673795,1.3496975899,1.1715420485,1.3642054796,1.5894620121,1.5029445589,1.5988828838,1.5136955678,1.5063280761,1.5700014234,1.4607658386,1.2733015418,1.2200599313,1.2116271257,1.2192464471,1.0815419257,0.9275812507,0.905802995,0.9162661433,0.7516081631,0.7150709629,0.7025093436,0.6440650821,0.5712603629,0.5694091022,0.5338461101,0.5064354092,0.5052978545,0.5006343871,0.4868828058,0.5561666489
col1,col,1,1.4650217295,1.2398551702,1.200587213,1.2191287279,1.2345658541,1.2616459131,1.2404933274,1.1832715869,1.2284772396,0.9771180749,0.931417197,1.1230890453,1.0058840513,1.0588392615,1.1594204307,1.1391459107,1.0102849901,1.0772595108,0.9756923616,1.129874289,1.3476842046,1.2759430408,1.4207837582,1.3370895386,1.2953211665,1.5550977588,1.6528325081,1.3373569846,1.4634615183,1.4448356628,1.2717778683,1.1960414052,1.3391253352,1.237003386,1.0797095001,0.9926865995,1.0025907755,0.8500736356,0.7705284655,0.6716253757,0.5991643667,0.6258302927,0.6496085525,0.5754826069,0.572647959,0.6142733097
col2,col,2,1.1813076735,1.2146293819,1.1183888912,1.1244396567,1.0159530044,1.2049326897,1.1669172645,1.0220777094,1.0988573134,1.1746976972,1.1682725549,1.345872581,1.176584363,1.22378847,1.1455289721,0.9724430442,1.0543138981,1.1975695491,1.3081040382,1.2844397426,1.2089564204,1.3041906953,1.3181096911,1.4120695591,1.5407910347,1.6403775811,1.6387162805,1.3786827922,1.4042257071,1.4359384179,1.4298206866,1.250284493,1.2355432808,1.2163632512,1.0750663579,0.9533631504,0.9131467044,0.8070528805,0.7107657194,0.6770485044,0.623024106,0.5565550774,0.4687514454,0.4469746202,0.4585537314,0.5743259192
col3,col,3,1.4867970347,1.3777899146,1.2602494359,1.1765456796,1.2517709434,1.2702433467,1.1855710596,1.0965861976,1.1763826609,1.3008604199,1.3334024251,1.2057977617,1.1016631722,1.1861117929,1.3427590281,1.4529137909,1.5235012472,1.5644051284,1.5464850664,1.5012242198,1.4784416258,1.456279695,1.5671732426,1.4967958033,1.4261830747,1.4071770608,1.4028305709,1.3836278915,1.3178908527,1.2874975801,1.2793292403,1.1308618486,0.9374862909,0.9200933278,0.7229042724,0.6264886037,0.5966301262,0.5150611773,0.520605199,0.5420541018,0.4739355445,0.4127897248,0.4114402011,0.4280048683,0.4259802178,0.4695523828
