sample,accession,plant,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90
col4,col,4,1.3140013218,1.2547904104,1.3438724577,1.2792286277,1.1696605086,1.1135138422,1.0980301499,1.0352336764,1.0243649632,1.0374481678,0.9535383582,1.1136642992,1.2107626349,1.336927563,1.4128460586,1.5173941851,1.5294644237,1.5343062431,1.6014417112,1.6441694498,1.7211308181,1.6776827574,1.4587786198,1.3867969513,1.4513837397,1.4264174402,1.5135008395,1.4053453505,1.2882543802,1.2139986008,1.0376723111,1.0031746477,1.0237950236,1.0323571563,0.9052242041,0.7508634031,0.7034040391,0.5886765197,0.5013026446,0.5004222468,0.5004545674,0.4575655833,0.4259142578,0.4464443401,0.454561159,0.5144399554
col5,col,5,1.3447204828,1.1776492894,1.059115544,0.9616041481,0.9255284965,0.9265055954,0.9831753075,0.997618407,1.0368726701,1.0430843681,1.1416021585,1.2046265751,1.2257386446,1.2437880039,1.1559399962,1.164332822,1.1907607764,1.262095198,1.3343869895,1.281236276,1.3229182214,1.425556004,1.4548549652,1.7548032403,1.8085193634,1.7931205928,1.579667896,1.4381726086,1.4136458337,1.3120099008,1.2686987519,1.0796762556,1.0285852998,1.026609242,0.9554671645,0.912319243,0.9358358085,0.8823353946,0.7192967087,0.6888223886,0.647860378,0.6309305876,0.5763698965,0.5596433133,0.4972451255,0.598028183
col6,col,6,1.8164618015,1.8287405968,1.78053087,1.6732217669,1.5153642893,1.3206362128,1.282518208,1.2653544545,1.3368275166,1.3026952147,1.6714661717,1.604811728,1.4569076896,1.5530490875,1.3440529704,1.2784651518,1.1946137547,1.1596940756,1.3039328456,1.2521774173,1.2874534726,1.2463725805,1.2455238998,1.2048776448,1.2334225774,1.2851638794,1.2491677999,1.3538199067,1.2163008451,0.9138403237,0.8622010052,0.8788300455,0.7834615111,0.7608319819,0.7245889008,0.6262343228,0.5894955695,0.5927135646,0.5763078034,0.5809049904,0.5395063758,0.5282263309,0.4662099034,0.4537191987,0.4855418056,0.563986063
sha1,sha,1,1.1859300137,0.7348496616,0.6603670716,0.7149600983,0.683101207,0.7897628844,0.833443284,0.7684624493,0.9179663062,1.1545876861,1.3477707803,1.5197714865,0.900386855,0.6649287045,0.5920758247,0.6340912282,0.7234795392,0.7183215022,0.8785400391,0.9072631896,1.1040706933,1.1921821237,1.3242132664,1.2665321827,1.2663608193,1.3623718023,1.4908738136,1.6175985932,1.6007162929,1.6391766667,1.9308065772,1.8294010162,1.6916472912,1.9189193249,2.0113689303,1.7863718867,1.5187065005,1.2769502997,1.030189693,0.8961699605,0.7561118603,0.6491734087,0.6024310589,0.6413367391,0.5429443121,0.6325603127
sha2,sha,2,1.0857982934,0.940019682,1.0472794026,0.9569941759,0.9067028016,0.7571258694,0.764183104,0.7642258108,0.7856378257,0.8074411303,0.8163082302,0.8559699953,0.8190482855,0.9927358925,0.9580743909,0.9144363999,0.9378189445,1.0466107875,1.1446240246,1.163864255,1.2764499933,1.2617914826,1.2773442715,1.327665627,1.2777685523,1.3872583508,1.42870377,1.3681221157,1.4455897808,1.5016428381,1.5539516956,1.5613619983,1.414236173,1.1988271624,1.2305342704,1.2392242998,1.2607566118,1.2999828458,1.261387527,1.1960812658,1.0919209421,1.020924747,0.9775499701,0.9119498283,0.8357228339,0.942501843
sha3,sha,3,0.8767016232,0.7416573539,0.7915385962,0.7861445099,0.8033053726,0.8682970107,0.8874700218,0.9099344164,0.8769211918,0.8709153682,0.8866282254,0.8527959287,0.7757603824,0.7947855741,0.8835305125,0.9596859068,1.0854550898,1.2764739096,1.4048151821,1.3357833475,1.3409704715,1.3781458139,1.2740438432,1.3601289093,1.5468510091,1.3572173417,1.2923571616,1.3058651686,1.4220530689,1.4432749152,1.3895064592,1.3491181433,1.4016314149,1.3863558471,1.5741885304,1.3932566643,1.2192007899,1.1907674223,1.138498798,0.9606294781,0.9415981323,0.9501723796,0.8760997206,0.8931572884,0.9067978114,0.9557290673
sha4,sha,4,1.3097815812,0.9325393587,0.9695883393,0.9428049177,1.0505865663,0.896361962,0.872850433,0.8084759116,0.7668958455,0.7983890325,0.8161971122,0.8472418487,0.919256404,0.9760774225,0.9490879029,1.081810534,1.3254381269,1.3163150251,1.2969297022,1.318000108,1.2963903546,1.2614468634,1.4523997158,1.4996022731,1.5378484875,1.5957913995,1.7485212386,1.8769702315,1.7549032867,1.614522934,1.5542810559,1.4585207403,1.2905243933,1.2449910343,1.2729788125,1.0896529555,1.0269706398,0.9091857225,0.8095979542,0.7816161364,0.7215241194,0.6865758151,0.6064598709,0.5743348077,0.4990887046,0.5911260545
sha5,sha,5,0.8576647341,0.7214004397,0.7278385609,0.723933056,0.7690263689,0.8175187558,0.8889102638,0.8965643644,0.8322351724,0.8583217412,1.0922462791,1.2319012433,1.1482632011,1.0448945314,0.9628249407,1.1395883113,1.1569851786,1.2343075871,1.225187853,1.3695960939,1.4180317223,1.5420668423,1.4745054543,1.4494791925,1.4835656881,1.4968679249,1.47758165,1.3758351505,1.389138937,1.5423926711,1.502872467,1.3089216948,1.2154640853,1.2430880666,1.1353110373,1.1289935112,1.0748296082,0.9913987219,0.9607594758,0.9113268405,0.8822423816,0.8212789893,0.8012652397,0.819521755,0.8280545771,0.9096599817
sha6,sha,6,0.8979747295,0.7883782685,0.7842346132,0.7849521637,0.7982833534,0.7742662132,0.8268472999,0.7633686215,0.7926866263,0.9419099092,0.8854166567,0.9448214173,0.9046650678,0.9431901723,0.9928098917,1.1949385405,1.3632385731,1.3221585602,1.3329936862,1.432983309,1.4134502113,1.5420797765,1.696262449,1.7768168747,1.5324855447,1.6324486732,1.6613784134,1.5023438931,1.4763747156,1.5505661368,1.5045242608,1.3577787578,1.2695885003,1.2357310653,1.0977598876,1.004775092,0.9874344617,0.8653101325,0.8562210649,0.8873403966,0.7755303085,0.7941619754,0.7800865173,0.7328611314,0.676078409,0.7389619946
sha7,sha,7,0.8310264349,0.7794213891,0.6586326063,0.6772063673,0.7958384156,0.8363522589,0.8255600929,0.7519841492,0.7065573037,0.7468451858,0.69107759,0.6836096048,0.7962521017,0.9162261486,1.0523798764,1.1829889417,1.1463468075,1.2120669484,1.1497429609,1.0354500413,1.2092164755,1.3631460667,1.3239792585,1.3696047068,1.5718511939,1.5350466371,1.6555862129,1.7771609426,1.5146777034,1.6024415493,1.5653989315,1.518460393,1.5385979414,1.5148112178,1.3831885457,1.3425557613,1.1761843562,1.102886498,0.9359387159,0.9307924807,0.9225277901,0.8122349977,0.9727548659,0.9752214551,0.8530798256,0.9452065825
