"","accession","plant","angle","count"
"1","bay","1",1.27222193825778e-13,1.15190410614014
"2","bay","1",2,1.07177662849426
"3","bay","1",4,1.11326634883881
"4","bay","1",6,1.29988873004913
"5","bay","1",8,1.34454268217087
"6","bay","1",10,1.20300793647766
"7","bay","1",12,1.2353304028511
"8","bay","1",14,1.24557811021805
"9","bay","1",16,1.31460922956467
"10","bay","1",18,1.3666530251503
"11","bay","1",20,1.40742379426956
"12","bay","1",22,1.49904084205627
"13","bay","1",24,1.35883975028992
"14","bay","1",26,1.34026396274567
"15","bay","1",28,1.32858818769455
"16","bay","1",30,1.51005667448044
"17","bay","1",32,1.36843502521515
"18","bay","1",34,1.20284849405289
"19","bay","1",36,1.36678916215897
"20","bay","1",38,1.32619804143906
"21","bay","1",40,1.58625626564026
"22","bay","1",42,1.5069894194603
"23","bay","1",44,1.45569932460785
"24","bay","1",46,1.43739259243011
"25","bay","1",48,1.41450047492981
"26","bay","1",50,1.16218209266663
"27","bay","1",52,1.08249020576477
"28","bay","1",54,1.15924537181854
"29","bay","1",56,1.26194405555725
"30","bay","1",58,1.21929696202278
"31","bay","1",60,1.10756886005402
"32","bay","1",62,1.06736698746681
"33","bay","1",64,0.939306110143661
"34","bay","1",66,0.892150074243546
"35","bay","1",68,0.88009774684906
"36","bay","1",70,0.770039498806
"37","bay","1",72,0.693141847848892
"38","bay","1",74,0.652360677719116
"39","bay","1",76,0.645029097795486
"40","bay","1",78,0.603737413883209
"41","bay","1",80,0.545538783073425
"42","bay","1",82,0.538761213421822
"43","bay","1",84,0.54017199575901
"44","bay","1",86,0.536710664629936
"45","bay","1",88,0.525656402111053
"46","bay","1",90,0.594553887844086
"47","bay","2",1.27222193825778e-13,1.51771861314774
"48","bay","2",2,1.254508420825
"49","bay","2",4,1.51081743836403
"50","bay","2",6,1.33792868256569
"51","bay","2",8,1.22956925630569
"52","bay","2",10,1.34779852628708
"53","bay","2",12,1.23413753509521
"54","bay","2",14,1.11536119878292
"55","bay","2",16,1.1734277009964
"56","bay","2",18,1.20807215571404
"57","bay","2",20,1.10752959549427
"58","bay","2",22,1.29803004860878
"59","bay","2",24,1.32515823841095
"60","bay","2",26,1.31303150951862
"61","bay","2",28,1.34632012248039
"62","bay","2",30,1.53624826669693
"63","bay","2",32,1.50543910264969
"64","bay","2",34,1.48889556527138
"65","bay","2",36,1.48385593295097
"66","bay","2",38,1.39643707871437
"67","bay","2",40,1.42538312077522
"68","bay","2",42,1.37832209467888
"69","bay","2",44,1.36490881443024
"70","bay","2",46,1.41411048173904
"71","bay","2",48,1.40616568922997
"72","bay","2",50,1.45239862799644
"73","bay","2",52,1.30682212114334
"74","bay","2",54,1.22412246465683
"75","bay","2",56,1.25227057933807
"76","bay","2",58,1.15274041891098
"77","bay","2",60,1.06971602141857
"78","bay","2",62,1.00037531554699
"79","bay","2",64,0.920381173491478
"80","bay","2",66,0.841581478714943
"81","bay","2",68,0.750600308179855
"82","bay","2",70,0.69646655023098
"83","bay","2",72,0.638783231377602
"84","bay","2",74,0.602281235158443
"85","bay","2",76,0.590850614011288
"86","bay","2",78,0.613797746598721
"87","bay","2",80,0.554570645093918
"88","bay","2",82,0.533796794712543
"89","bay","2",84,0.544857949018478
"90","bay","2",86,0.517876274883747
"91","bay","2",88,0.481180936098099
"92","bay","2",90,0.588427096605301
"93","bay","3",1.27222193825778e-13,1.69187825918198
"94","bay","3",2,1.46851524710655
"95","bay","3",4,1.58698841929436
"96","bay","3",6,1.51098719239235
"97","bay","3",8,1.50720712542534
"98","bay","3",10,1.44166126847267
"99","bay","3",12,1.37092852592468
"100","bay","3",14,1.4315465092659
"101","bay","3",16,1.42865794897079
"102","bay","3",18,1.57633343338966
"103","bay","3",20,1.47238993644714
"104","bay","3",22,1.52667173743248
"105","bay","3",24,1.45961302518845
"106","bay","3",26,1.52629274129868
"107","bay","3",28,1.51975873112679
"108","bay","3",30,1.4019301533699
"109","bay","3",32,1.47298821806908
"110","bay","3",34,1.57543712854385
"111","bay","3",36,1.55808120965958
"112","bay","3",38,1.46418261528015
"113","bay","3",40,1.30530725419521
"114","bay","3",42,1.29479944705963
"115","bay","3",44,1.245072722435
"116","bay","3",46,1.30410659313202
"117","bay","3",48,1.32655812799931
"118","bay","3",50,1.37530006468296
"119","bay","3",52,1.29692436754704
"120","bay","3",54,1.11511741578579
"121","bay","3",56,0.972505331039429
"122","bay","3",58,0.927817046642303
"123","bay","3",60,0.843967869877815
"124","bay","3",62,0.805348739027977
"125","bay","3",64,0.695966050028801
"126","bay","3",66,0.643258318305016
"127","bay","3",68,0.613739930093288
"128","bay","3",70,0.588237673044205
"129","bay","3",72,0.58764909952879
"130","bay","3",74,0.518901169300079
"131","bay","3",76,0.483519077301025
"132","bay","3",78,0.480833254754543
"133","bay","3",80,0.454417526721954
"134","bay","3",82,0.479736238718033
"135","bay","3",84,0.456876590847969
"136","bay","3",86,0.417493052780628
"137","bay","3",88,0.390915296971798
"138","bay","3",90,0.459042981266975
"139","bay","4",1.27222193825778e-13,1.55553072690964
"140","bay","4",2,1.33607739210129
"141","bay","4",4,1.34539695084095
"142","bay","4",6,1.30492502450943
"143","bay","4",8,1.24862715601921
"144","bay","4",10,1.16527037322521
"145","bay","4",12,1.27782693505287
"146","bay","4",14,1.23003421723843
"147","bay","4",16,1.4661743491888
"148","bay","4",18,1.43980139493942
"149","bay","4",20,1.29998925328255
"150","bay","4",22,1.43924245238304
"151","bay","4",24,1.39151158928871
"152","bay","4",26,1.45728212594986
"153","bay","4",28,1.44829827547073
"154","bay","4",30,1.52274417877197
"155","bay","4",32,1.55239769816399
"156","bay","4",34,1.57839307188988
"157","bay","4",36,1.6438172608614
"158","bay","4",38,1.59201149642467
"159","bay","4",40,1.50675694644451
"160","bay","4",42,1.42588503658772
"161","bay","4",44,1.37938164174557
"162","bay","4",46,1.34932340681553
"163","bay","4",48,1.30712613463402
"164","bay","4",50,1.48717045783997
"165","bay","4",52,1.45162726938725
"166","bay","4",54,1.1021930128336
"167","bay","4",56,1.00143010914326
"168","bay","4",58,0.885369762778282
"169","bay","4",60,0.907708555459976
"170","bay","4",62,0.86764295399189
"171","bay","4",64,0.854776158928871
"172","bay","4",66,0.837071523070335
"173","bay","4",68,0.695568710565567
"174","bay","4",70,0.604682467877865
"175","bay","4",72,0.55994825810194
"176","bay","4",74,0.544937834143639
"177","bay","4",76,0.5340815782547
"178","bay","4",78,0.507286742329597
"179","bay","4",80,0.497371815145016
"180","bay","4",82,0.486276336014271
"181","bay","4",84,0.473970621824265
"182","bay","4",86,0.504594750702381
"183","bay","4",88,0.449382342398167
"184","bay","4",90,0.521697878837585
"185","bay","5",1.27222193825778e-13,2.06880265474319
"186","bay","5",2,1.89223971962929
"187","bay","5",4,2.02071365714073
"188","bay","5",6,1.8868508040905
"189","bay","5",8,1.7094524204731
"190","bay","5",10,1.62954033911228
"191","bay","5",12,1.55024440586567
"192","bay","5",14,1.42319706082344
"193","bay","5",16,1.2565636485815
"194","bay","5",18,1.41957384347916
"195","bay","5",20,1.42509952187538
"196","bay","5",22,1.52254655957222
"197","bay","5",24,1.50992384552956
"198","bay","5",26,1.32541441917419
"199","bay","5",28,1.2480957955122
"200","bay","5",30,1.28602910041809
