image, length, angle, x, y
50-22-bay-1-1.tif,9.899495,-45.0,5.5411253,0.0144300135
50-22-bay-1-1.tif,4.1231055,14.036247,5.396825,0.04329004
50-22-bay-1-1.tif,4.472136,-26.565052,5.454545,0.04329004
50-22-bay-1-1.tif,7.615773,-23.198593,5.3823953,0.14430013
50-22-bay-1-1.tif,3.6055512,56.309937,5.440115,0.14430013
50-22-bay-1-1.tif,6.0827627,80.537674,5.440115,0.24531023
50-22-bay-1-1.tif,9.433981,-32.005383,5.151515,0.28860027
50-22-bay-1-1.tif,1.4142135,45.0,5.339105,0.28860027
50-22-bay-1-1.tif,4.1231055,14.036247,5.411255,0.28860027
50-22-bay-1-1.tif,3.6055512,56.309937,5.613275,0.3174603
50-22-bay-1-1.tif,5.0990195,11.309929,5.8441553,0.3318903
50-22-bay-1-1.tif,2.236068,63.43495,5.353535,0.34632033
50-22-bay-1-1.tif,3.1622777,18.434952,5.7431455,0.34632033
50-22-bay-1-1.tif,2.236068,63.43495,5.670995,0.36075035
50-22-bay-1-1.tif,2.236068,26.565048,5.396825,0.38961035
50-22-bay-1-1.tif,5.656854,-45.0,5.5699854,0.38961035
50-22-bay-1-1.tif,2.236068,26.565048,5.310245,0.40404037
50-22-bay-1-1.tif,2.236068,26.565048,5.7287154,0.40404037
50-22-bay-1-1.tif,5.0,-53.130104,5.1803746,0.41847038
50-22-bay-1-1.tif,2.828427,45.0,5.411255,0.4329004
50-22-bay-1-1.tif,2.236068,63.43495,5.7864356,0.4329004
50-22-bay-1-1.tif,1.4142135,45.0,5.353535,0.44733042
50-22-bay-1-1.tif,1.4142135,45.0,5.8585854,0.44733042
50-22-bay-1-1.tif,3.6055512,56.309937,5.468975,0.47619045
50-22-bay-1-1.tif,42.201897,13.706963,5.7720056,0.47619045
50-22-bay-1-1.tif,13.601471,-53.972626,4.9927845,0.49062046
50-22-bay-1-1.tif,2.236068,26.565048,5.339105,0.49062046
50-22-bay-1-1.tif,3.1622777,18.434952,5.411255,0.5050505
50-22-bay-1-1.tif,1.4142135,45.0,5.324675,0.56277055
50-22-bay-1-1.tif,1.4142135,45.0,5.353535,0.60606056
50-22-bay-1-1.tif,28.160255,-6.1155014,5.295815,0.62049055
50-22-bay-1-1.tif,6.4031243,38.659805,5.411255,0.62049055
50-22-bay-1-1.tif,22.627417,-45.0,4.7186146,0.6349206
50-22-bay-1-1.tif,2.236068,26.565048,4.9927845,0.6493506
50-22-bay-1-1.tif,1.4142135,45.0,5.2092347,0.6637806
50-22-bay-1-1.tif,17.464249,-76.75948,4.8051944,0.83694077
50-22-bay-1-1.tif,3.1622777,71.56505,4.7330446,0.88023084
50-22-bay-1-1.tif,18.35756,29.35775,5.425685,0.88023084
50-22-bay-1-1.tif,7.2111025,33.69007,4.7041845,0.9090909
50-22-bay-1-1.tif,7.81025,-39.805573,5.0505047,0.93795085
50-22-bay-1-1.tif,35.22783,6.5197983,5.0072145,1.024531
50-22-bay-1-1.tif,9.433981,32.005386,5.310245,1.0389609
50-22-bay-1-1.tif,4.1231055,14.036247,5.266955,1.067821
50-22-bay-1-1.tif,10.770329,-68.19859,4.271284,1.082251
50-22-bay-1-1.tif,23.194826,-7.4314117,5.252525,1.139971
50-22-bay-1-1.tif,3.6055512,56.309937,5.425685,1.1544011
50-22-bay-1-1.tif,2.828427,45.0,5.5699854,1.1544011
50-22-bay-1-1.tif,4.2426405,45.0,6.0894656,1.1544011
50-22-bay-1-1.tif,21.84033,-15.945396,5.1803746,1.1688311
50-22-bay-1-1.tif,3.1622777,18.434952,5.411255,1.1832612
50-22-bay-1-1.tif,7.2111025,56.309937,5.642135,1.1832612
50-22-bay-1-1.tif,3.6055512,33.69007,5.483405,1.1976911
50-22-bay-1-1.tif,7.81025,-39.805573,5.5555553,1.2409811
50-22-bay-1-1.tif,31.95309,69.86369,6.406926,1.2409811
50-22-bay-1-1.tif,9.219544,-40.601295,5.440115,1.2554111
50-22-bay-1-1.tif,7.071068,45.0,5.8585854,1.3275613
50-22-bay-1-1.tif,6.708204,26.565048,6.002886,1.3852813
50-22-bay-1-1.tif,5.3851647,-21.801407,5.411255,1.3997113
50-22-bay-1-1.tif,5.0990195,11.309929,5.468975,1.3997113
50-22-bay-1-1.tif,1.4142135,45.0,5.1948047,1.4862914
50-22-bay-1-1.tif,1.4142135,45.0,5.483405,1.4862914
50-22-bay-1-1.tif,7.615773,-23.198593,5.5699854,1.4862914
50-22-bay-1-1.tif,4.472136,-26.565052,5.137085,1.5151514
50-22-bay-1-1.tif,1.4142135,45.0,5.238095,1.5151514
50-22-bay-1-1.tif,9.848858,-23.962486,5.353535,1.5151514
50-22-bay-1-1.tif,5.656854,45.0,5.468975,1.5151514
50-22-bay-1-1.tif,7.2111025,-56.309933,4.949495,1.5295814
50-22-bay-1-1.tif,1.4142135,45.0,5.079365,1.5584414
50-22-bay-1-1.tif,6.4031243,38.659805,5.266955,1.5584414
50-22-bay-1-1.tif,9.486833,-18.434952,5.1948047,1.5728714
50-22-bay-1-1.tif,27.784887,-59.74356,4.588744,1.5873015
