angle,early_high,early_low,late_high,late_low
4,1.2879470587,1.5949367285,1.4446541071,1.3315813541
6,1.1417598724,1.6098189354,1.2872732878,1.2661572695
8,1.3709586859,1.2881197929,1.4977418184,1.190479517
10,1.3799059391,1.1019567251,1.4764453173,1.2298586369
12,1.312015295,1.0888332129,1.3679426908,1.1637760401
14,1.2269057035,0.8627476096,1.0646349192,0.843740046
16,1.2482360601,1.010168314,1.0954660177,1.0405640602
18,1.4347081184,0.7768313289,1.2044886351,0.9767120481
20,1.4383759499,0.7717515826,1.2939244509,1.0659424067
22,1.406961441,0.7495610118,1.487380743,1.2698150873
24,1.3257882595,0.6910532713,1.2328807116,1.3013161421
26,1.3298619986,0.693849206,1.1544108391,1.461586237
28,1.1961593628,0.9052260518,1.0073335171,1.2320944071
30,1.2280012369,0.9699323773,1.0424158573,0.9831275344
32,1.1727595329,1.0148988962,1.096088171,0.9761442542
34,1.4767700434,0.8287162185,1.2293629646,0.8927301168
36,1.5359321833,0.8712800741,1.2215322256,0.9219331741
38,1.4611865282,0.8045017123,1.1425608397,1.0507282019
40,1.6865350008,0.9370840788,1.2075009346,1.1852362156
42,1.3935521841,0.9832605124,1.1701654196,1.3420401812
44,1.3921554089,0.8425346613,1.1152808666,1.2103168964
46,1.147359848,0.8588406444,1.0712445974,1.3388671875
48,0.963937223,0.8639095426,1.1816209555,1.1796836853
50,1.3278045654,0.8417730927,1.1039693356,0.9710734487
52,1.5540207624,0.7014475465,1.1005982161,0.9224073291
54,1.8560920954,0.7147107124,1.1036375761,0.9115616083
56,1.2265053988,0.7136827707,1.0701807737,0.7841399908
58,0.9510325789,0.5636817217,1.0191346407,0.7034286857
60,0.8845274448,0.4743585587,1.0774614811,0.7193895578
62,0.8446325064,0.4928096831,0.8239605427,0.5975651741
64,0.6269308925,0.4523191452,0.658829689,0.5441439152
66,0.5528686643,0.3231818378,0.6582353711,0.7574499846
68,0.5247447491,0.3559406996,0.6205079556,0.7293482423
70,0.591067791,0.3968844712,0.6315570474,0.7182353139
72,0.4893049598,0.386403501,0.5610502958,0.6144173741
74,0.4044678509,0.3767867684,0.5291083455,0.5783872008
76,0.4205221832,0.3280051053,0.5675044656,0.6532281041
78,0.4779760838,0.337487042,0.5476337075,0.5960051417
80,0.4180170298,0.3455147147,0.5407493711,0.6411079168
82,0.3366575837,0.322578162,0.5819321871,0.4423370063
84,0.3262934685,0.2929104865,0.5584226251,0.3898037672
86,0.3693723977,0.3139541745,0.5791259408,0.4868116379
88,0.3328739703,0.2956550419,0.6033107042,0.5115484595
-90,0.4556939006,0.7070081234,0.8077164292,0.9465036392
-88,0.2101558596,0.5790267587,0.5691606402,0.6147760153
-86,0.2641469538,0.6717583537,0.6553925276,0.5853568316
-84,0.2507086396,0.7419744134,0.7809918523,0.6041080356
-82,0.2622444928,0.6892849207,0.8033363819,0.6119942665
-80,0.2987220585,0.6943594813,0.755935967,0.6902908683
-78,0.3515653312,0.7697057128,0.6226305366,0.774992764
-76,0.2856394649,0.7523434758,0.8225657344,0.7024898529
-74,0.3262162507,0.6440212727,0.8097785711,0.7924486995
-72,0.3868382871,0.8440474272,0.6931154132,0.8867927194
-70,0.436249584,0.8982943296,0.7746585608,1.0101567507
-68,0.4636265337,1.0826673508,0.6474112868,1.198243618
-66,0.4526850879,1.2384091616,0.6444138885,1.2227520943
-64,0.4855397046,1.1069538593,0.8325068355,1.136656642
-62,0.5024713278,1.0072544813,0.9964420795,1.4796169996
-60,0.6196987033,1.0406424999,0.8855122328,1.4331918955
-58,0.8031160235,0.9742343426,0.9019259214,1.1920051575
-56,0.8944688439,1.0435899496,1.0418026447,1.1243623495
-54,0.9769995809,0.9179883003,1.4760776758,1.4430309534
-52,1.4168229103,0.8528904319,1.3774293661,1.2604717016
-50,1.5902004242,1.085909605,1.3578770161,1.0526652336
-48,1.4333173037,1.561122179,1.3261011839,1.0079222918
-46,1.3253725767,1.5510926247,1.3528207541,1.284072876
-44,1.2278145552,1.673214674,1.2348790169,1.5598790646
-42,1.342266798,2.2773113251,1.1638847589,1.3794440031
-40,1.236179471,1.8896840811,1.1784172058,1.1340788603
-38,1.2495058775,1.2735105753,1.2967784405,1.1963580847
-36,1.3174064159,1.6906837225,1.3917518854,1.0534386635
-34,1.4127800465,1.6038042307,1.0576146841,1.2080669403
-32,1.5315080881,1.5564409494,1.0181239843,1.1419326067
-30,1.7058200836,2.0650925636,1.3206166029,0.9118428826
-28,1.7352930307,1.5244489908,1.3259536028,0.7636554241
-26,1.5514205694,1.4501223564,1.2255346775,0.8579102159
-24,1.3316082954,1.2541983128,1.1359298229,0.8712974191
-22,1.5131108761,1.2077931166,1.4306650162,0.9617112279
-20,1.5303702354,1.3485475779,1.094504118,1.1464179754
-18,1.4030038118,1.8312300444,1.0305082798,1.259200573
-16,1.2511137724,1.5292211771,1.1370196342,1.3897043467
-14,1.7551878691,1.2608420849,1.3971340656,1.3339437246
-12,1.6524208784,1.1705590487,1.3852953911,1.5708116293
-10,1.9643996954,1.2738972902,2.0175688267,1.6681475639
-8,3.0977857113,1.1777223349,2.1895706654,1.2836453915
-6,2.7995820045,1.3527957201,1.7610601187,0.9880714417
-4,2.0950241089,1.2637480497,1.6910053492,1.0357334614
-2,2.7865874767,1.1753172874,2.0717513561,1.3000006676
1.27222193825778E-013,2.211735487,1.2838689089,2.2381372452,1.3595579863
2,1.5918713808,1.1473838091,1.8177944422,1.1347812414
4,2.0798766613,1.0006246567,1.707139492,1.2106336355
6,1.7228255272,0.963378191,1.7799499035,1.2298408747
8,1.5968211889,0.8865297437,2.020273447,0.9490727782
10,2.0169579983,0.9100536108,1.8207135201,1.1760129929
12,2.13651824,1.1232700348,1.9062559605,1.4174304008
14,2.1132109165,1.1422067881,1.666503787,1.816660285
16,1.578435421,1.1213260889,1.5150467157,1.6141207218
18,1.5482507944,1.1271733046,1.8262547255,1.5957382917
20,1.6646947861,0.8429005146,1.3876909018,1.5428397655
22,1.4202721119,0.8300677538,1.616237998,1.1736792326
24,1.0696254969,0.7204365134,1.3888430595,1.108897686
26,1.0760272741,0.6508538723,1.0898094177,1.1874457598
28,0.9716135859,0.665058434,1.0521510839,1.2008342743
30,1.243593812,1.2935495377,0.8616076708,0.9575224519
32,1.3861898184,1.4630842209,0.8236864209,1.1288232803
34,1.2607313395,1.5918607712,0.9354391694,1.0764251947
36,1.1124269962,1.2858458757,0.9446462989,1.1721667051
38,1.1564290524,1.070712924,0.9946628213,1.303298831
40,1.1524362564,1.3300421238,0.9043630958,1.4347292185
42,1.2220253944,1.464430213,0.9128158092,1.3810533285
44,1.4629514217,1.3628759384,0.8657534719,1.0606966019
46,1.6128422022,1.243940115,0.961933136,1.0774639845
48,1.1339938641,1.4073621035,0.8889291286,0.9938795567
50,1.12616539,1.4373347759,1.064971447,1.2061998844
52,1.0593630075,1.1580103636,1.3506603241,1.2291394472
54,0.8997790217,1.2619529963,1.0032843351,1.1825573444
56,0.8454554081,1.0355564356,0.8990119696,1.0923885107
58,0.8828092217,0.883954525,0.7383905053,1.2036954165
60,0.6987423897,1.0056265593,0.7417234182,1.326150775
62,0.6203978062,0.8633736372,0.7744951248,1.5788872242
64,0.4768660963,0.8211507201,0.7257951498,1.2126746178
66,0.5086802244,0.7968151569,0.7170467377,0.9713116884
68,0.4399891496,0.7864192724,0.7076392174,0.7953768969
70,0.3938461542,0.8233883381,0.6194967628,0.6937280297
72,0.3324991763,0.7784664035,0.5727757812,0.7549769282
74,0.3160378337,0.7484868765,0.5728239417,0.7380769849
76,0.3090161085,0.8170320392,0.6583680511,0.7112628818
78,0.3426798284,0.955753088,0.6122398376,0.862395227
80,0.3071160018,0.8705514073,0.5150743127,0.8771060109
82,0.2552387416,0.7461332083,0.544033289,0.8452376723
84,0.2052050382,0.6750938892,0.6650926471,0.8936308026
86,0.2047956437,0.6586310863,0.5503130555,0.7236856222
88,0.2502712011,0.6426682472,0.5489546061,0.7277188897
-90,0.489341557,0.5342450738,0.6574970484,0.8755728602
-88,0.4206387103,0.4222897887,0.492836386,0.6224468946
-86,0.4820883274,0.5361827016,0.6731134057,0.6680291891
-84,0.4712203145,0.5157576203,0.7124373913,0.6805765629
-82,0.4821356535,0.5379958153,0.7519147992,0.7925161123
-80,0.6578804851,0.5646953583,0.8332748413,0.9097962976
-78,0.5881655216,0.6603850722,0.9024427533,1.075289607
-76,0.5785908103,0.6500399113,0.9381194115,0.9601743221
-74,0.5689473152,0.7273025513,0.8439605236,1.3157078028
-72,0.5686574578,0.7810899019,1.0689810514,1.4326667786
-70,0.76260674,0.8264486194,1.1429775953,1.6610969305
-68,0.738920927,0.8415178657,1.1357181072,1.8001681566
-66,0.7441769838,0.9486341476,1.0992292166,1.7195743322
-64,0.8390952349,1.181787014,1.0993472338,1.6077287197
-62,0.7775950432,1.2470827103,1.1753286123,1.7678967714
-60,0.7708746195,1.3458957672,1.2359868288,1.6530532837
-58,0.9022652507,1.3067935705,1.2199773788,1.3976371288
-56,1.0297601223,1.1618605852,1.2357720137,1.578556776
-54,1.2704826593,1.7566103935,1.3275301456,1.6420398951
-52,1.3652966022,1.8134285212,1.2864066362,1.6719059944
-50,1.2980344296,1.3951702118,1.128477335,1.5891176462
-48,1.4842079878,1.6049909592,1.31470716,1.5409055948
-46,1.7913218737,1.318074584,1.5294020176,1.6945111752
-44,1.4712092876,1.4882996082,1.3843747377,1.5621353388
-42,1.2789775133,1.4586291313,1.2164722681,1.5083844662
-40,1.1754989624,1.3376036882,1.0570622683,1.5201280117
-38,1.1223906279,1.1249946356,1.2157298326,1.4287018776
-36,1.170437932,1.1274886131,1.2839850187,1.5142884254
-34,1.0206847191,1.2611129284,1.0985435247,1.645629406
-32,1.050976634,2.0685553551,1.0808769464,1.787255168
-30,1.4724066257,1.7814576626,1.1986474991,1.7392017841
-28,1.6710891724,1.8279923201,1.181391716,1.3941763639
-26,1.7629848719,1.4995318651,1.3186855316,1.3432435989
-24,1.5502234697,1.6261074543,1.303683877,1.588383913
-22,1.5048816204,1.6942985058,1.4005203247,1.7215769291
-20,1.4845967293,2.0579662323,1.3813478947,1.2871685028
-18,1.4254513979,1.7929316759,1.1659396887,1.0689973831
-16,1.558139205,2.0110254288,1.1045393944,1.3473436832
-14,1.8725503683,2.0788428783,1.1582070589,1.280164957
-12,1.834936738,2.445909977,1.1829851866,1.3077412844
-10,1.7861685753,2.7312464714,1.2114869356,1.2518610954
-8,1.6749830246,2.4701321125,1.3046921492,1.0120426416
-6,1.4201651812,2.1446075439,1.09984231,0.9970874786
-4,1.0037872791,2.2846088409,1.0630977154,1.0441403389
-2,1.4946608543,2.2354421616,1.5074868202,0.9808770418
1.27222193825778E-013,2.1445174217,2.3149712086,1.7775497437,1.2541589737
2,1.6880859137,1.3979337215,1.3533118963,0.8226901293
4,1.5069177151,1.0237252712,1.382443428,1.0539515018
6,1.7096220255,0.9880605936,1.4360280037,0.9512777925
8,1.5842756033,1.0330789089,1.6163104773,0.8083806634
10,1.6722369194,1.0524903536,1.5196547508,0.8038282394
12,1.6455863714,1.0473002195,1.3371542692,0.8291162848
14,1.468132019,0.8154065013,1.5673547983,0.6917088032
16,1.4436473846,0.8036786914,1.4879844189,0.6930576563
18,1.4235198498,0.738040328,1.355751276,0.6862074137
20,1.4978318214,0.8275473118,1.3081803322,0.7112438679
22,1.4961748123,0.8004726768,1.2158833742,0.8343142867
24,1.5361987352,0.9541674256,1.1329920292,0.7772284746
26,1.3536988497,0.7797852159,1.1304943562,0.7645270824
28,1.0457702875,0.7430983782,0.8790670037,0.8511513472
30,1.3488805294,0.7901713252,0.9844282269,0.7244147062
32,1.1362620592,1.0059444904,1.1130402088,0.8908410072
34,0.9942820072,1.1193686724,1.0811460018,0.9435074925
36,1.1126315594,1.0289055109,1.0889931917,1.0032558441
38,1.2037085295,0.984336555,1.0518285036,0.9624820948
40,1.2420200109,0.8970004916,1.2145313025,0.8507683277
42,1.1800928116,0.8541237712,1.2514127493,1.0863293409
44,1.1828385592,0.8119474649,1.3402338028,1.319016099
46,1.1542160511,0.7287377119,1.228158474,1.0800044537
48,1.1233872175,0.8016313314,1.2756377459,0.9261065125
50,1.4106659889,0.711619556,1.5001876354,0.9045817852
52,1.4350759983,0.7999458909,1.2270724773,1.017124176
54,1.1396150589,0.826059401,1.2853909731,0.9120314717
56,0.9051781297,0.6762647629,1.0190606117,0.8733041286
58,0.8210831881,0.7564489245,0.8211536407,0.9559645653
60,0.9051647782,0.7078842521,0.8876641393,0.9374022484
62,0.7314847112,0.7557787299,0.7881652713,1.0565085411
64,0.6810147166,0.8182339668,0.8196656704,1.0505996943
66,0.7420693636,0.7489822507,0.8131589293,0.9460050464
68,0.6776405573,0.6724019647,0.8975325823,0.9968482852
70,0.6843594909,0.6583312154,0.8122537732,0.8042458892
72,0.5875099897,0.6299227476,0.68061167,0.6784160733
74,0.5135529041,0.6096909642,0.5956565738,0.7292672992
76,0.5183265805,0.5408815145,0.6238379478,0.6206333041
78,0.508831799,0.5672434568,0.7630913854,0.8172869682
80,0.3640707135,0.4116000235,0.7362843156,0.8108314276
82,0.3835346401,0.3654612303,0.7690816522,0.6871291995
84,0.4218412638,0.3598062694,0.6995270252,0.6828328967
86,0.4013796151,0.3977290392,0.7459023595,0.6309348345
88,0.3835597038,0.4167252481,0.660094142,0.5809856057
-90,0.6303080916,0.5908797979,0.5991717577,0.7153309584
-88,0.3816582263,0.3600369394,0.3393157125,0.658023715
-86,0.4339942634,0.3380369544,0.3745391965,0.7363256812
-84,0.5123557448,0.3591307104,0.4457965493,0.7325789332
-82,0.5808508992,0.4374476671,0.3937565684,0.7178995013
-80,0.7663867474,0.5259148479,0.420062691,0.8196855187
-78,0.9713172913,0.506359756,0.5514461994,0.9042093158
-76,0.9680824876,0.4343959093,0.5617867112,1.0617023706
-74,1.0295363665,0.6304439902,0.6214727759,1.3349742889
-72,1.0780894756,0.5829978585,0.5198351145,1.5416163206
-70,1.0930876732,0.6154868007,0.464163512,1.5134222507
-68,1.1272332668,0.7184182405,0.4863215685,1.1540650129
-66,1.0186811686,0.7538486719,0.5484232903,1.3131192923
-64,1.0011043549,0.6661785841,0.5216060281,1.4809803963
-62,1.1555278301,0.7335690856,0.5800108314,1.6530058384
-60,1.0565519333,0.83670789,0.611952424,1.6020907164
-58,0.8555182815,0.7754988074,0.7629528642,1.5525472164
-56,0.9096679688,0.8181092739,1.0188390017,1.9549218416
-54,0.9625515342,0.9051278234,1.0743204355,2.1990199089
-52,0.9610033035,1.193116188,0.9704856873,1.9185447693
-50,1.3236504793,1.2777559757,0.9661138654,1.6175079346
-48,1.4256615639,1.2858548164,1.2278176546,1.5955995321
-46,1.5552639961,1.3426042795,1.5317386389,1.8552600145
-44,1.6856079102,1.4273896217,1.5000010729,1.9534242153
-42,1.7451324463,1.4935050011,1.4419282675,1.6795192957
-40,2.2365291119,1.5332829952,1.7569855452,2.0741057396
-38,1.8080170155,1.5140887499,1.6210560799,2.1324858665
-36,1.7293059826,1.5886269808,1.6332868338,1.352232933
-34,1.333995223,1.7865952253,1.4612915516,1.3609968424
-32,1.3729183674,1.8287296295,1.3983231783,1.4668617249
-30,1.2552422285,1.6979417801,1.4757857323,1.335552454
-28,1.2595368624,1.7665560246,1.3186039925,1.2198165655
-26,1.3054767847,1.5624688864,1.3062875271,1.2327107191
-24,1.2886925936,1.7570238113,1.4246860743,1.285756588
-22,1.4387241602,1.8536485434,1.6470156908,1.0929540396
-20,1.4336271286,1.787561059,1.4126523733,1.1837986708
-18,1.5248794556,1.8301873207,1.3903015852,0.997828424
-16,2.5074400902,1.682669878,1.9204035997,0.7390001416
-14,2.7339246273,1.7052505016,1.5681887865,0.8475534916
-12,2.3309113979,1.8216229677,1.8261922598,0.9100186825
-10,1.4957011938,1.6170985699,1.4205553532,0.9340193868
-8,1.4569884539,1.8468111753,1.8434180021,1.0415376425
-6,1.4598852396,1.7465639114,1.831791997,1.0655931234
-4,1.2296391726,1.8662446737,1.862098217,0.9929849505
-2,1.6347510815,1.8699496984,1.9761896133,0.9992022514
1.27222193825778E-013,2.0254015923,1.8333491087,2.2134687901,0.8744872212
2,1.0950146914,1.5988684893,1.6969450712,0.7308478355
4,1.3789534569,1.1802188158,1.7292739153,0.7964228392
6,1.1825782061,1.1458843946,1.7870658636,0.7392470837
8,1.123552084,1.023748517,1.6627018452,0.7598116994
10,1.1156448126,0.9044882059,1.7684597969,0.8561140895
12,1.1044251919,1.1414673328,1.5791772604,1.0093322992
14,1.0763907433,1.266746521,1.8867222071,0.8596996069
16,0.7531421185,1.3433527946,1.739462018,0.8937902451
18,1.0620086193,1.1226108074,1.6284826994,1.0013661385
20,0.886028707,1.1600794792,1.8096424341,0.9781749845
22,0.906631887,1.0530724525,1.4789828062,0.9937624931
24,0.7217740417,0.9743128419,1.4620764256,0.9407124519
26,0.744209826,1.171790719,1.6612068415,0.9297683239
28,0.7943714857,1.497137785,1.5207580328,0.8844955564
30,1.0198247433,1.9002252817,1.3690365553,1.0317167044
32,1.1923683882,2.0841157436,1.5525518656,1.2721885443
34,1.4397829771,1.5037462711,1.5138456821,1.0575906038
36,1.587695837,1.2971094847,1.237944603,0.9767144918
38,1.7514643669,1.2677055597,1.1552194357,1.0863420963
40,1.7213582993,1.2637070417,1.1402453184,1.1876354218
42,1.2442981005,1.242005229,1.0538157225,1.220715642
44,1.2434670925,1.1954826117,1.0252434015,1.0795931816
46,1.4433324337,1.0797790289,1.0350738764,1.2782418728
48,1.2694690228,1.0532693863,0.9273223877,1.2268387079
50,1.2895826101,1.066557765,0.9066259861,1.4401483536
52,1.1383321285,1.0488607883,0.9146151543,1.3115458488
54,0.9765739441,1.084179759,0.6698828936,0.9873173833
56,0.8720349669,1.0051187277,0.6150106192,0.8669506907
58,0.8499369025,0.9567162991,0.7479178905,0.962308526
60,0.6016350389,0.8496658206,0.7673534155,0.7405895591
62,0.5434889793,0.7174472809,0.5969808102,0.9644103646
64,0.6182825565,0.7123928666,0.5490605831,0.9924337268
66,0.5823780894,0.6889583468,0.6303134561,0.8018270135
68,0.5108471513,0.5998324752,0.7355552912,0.8274594545
70,0.3753557503,0.5961287022,0.5950911045,0.8559430242
72,0.3735521734,0.5984950066,0.4783341587,0.622189045
74,0.4030162692,0.548247695,0.4515628815,0.6298642755
76,0.3665943444,0.4537113607,0.4469974637,0.7611799836
78,0.5115199089,0.5045751929,0.5426200032,0.7378111482
80,0.5041847229,0.4570301771,0.546307981,0.5815169811
82,0.4633930027,0.4401941001,0.4640401304,0.6902493834
84,0.3884397745,0.3662443459,0.3876789212,0.6734351516
86,0.3440503478,0.3639087677,0.3684731126,0.6730331779
88,0.3386032879,0.3657229245,0.3218809962,0.683791697
-90,0.4963237941,0.6886096597,0.6555121541,1.1429201365
-88,0.3668487668,0.4771955013,0.583253324,0.7304294705
-86,0.3795145452,0.448425591,0.5882066488,0.6814907193
-84,0.4150825143,0.4440241456,0.6172038913,0.7144150734
-82,0.4507144988,0.4336312711,0.6393496394,0.8028606772
-80,0.4950171709,0.4897251427,0.6557065248,1.0275223255
-78,0.5620904565,0.6146886349,0.6620641351,1.2478466034
-76,0.5596222878,0.4925171733,0.7013207674,1.0195871592
-74,0.6498644948,0.5947707891,0.7262324691,1.224375844
-72,0.6778302789,0.5999411345,0.8167024851,1.5496052504
-70,0.6395666003,0.6526432633,0.8713684082,1.5900061131
-68,0.6168452501,0.7223622203,1.0101574659,1.7594435215
-66,0.7604992986,0.7461157441,0.9565159082,1.9349912405
-64,0.5843061209,0.8328062296,0.9377539754,1.554582715
-62,0.5791361928,0.877559185,0.8421170115,1.4059343338
-60,0.6869546771,0.9650517106,1.11366117,1.2305220366
-58,0.9049111009,1.0050317049,1.1062247753,1.3257980347
-56,0.9813745618,0.9709910154,1.0043574572,1.4640635252
-54,0.898499012,0.9786739349,1.2954226732,1.3707016706
-52,1.1054420471,1.1243622303,1.435182929,1.3701869249
-50,1.4324265718,1.2265443802,1.4400064945,1.2803164721
-48,1.7393671274,1.3975994587,1.49251616,1.1010477543
-46,2.1365642548,1.1144653559,1.9504320621,1.0739655495
-44,2.3985204697,1.1437706947,2.213821888,0.917560637
-42,2.5406441689,1.3653453588,1.9617891312,0.9170513153
-40,2.6311855316,1.129783988,1.9299052954,1.0510137081
-38,2.2296030521,1.12799716,1.7016634941,1.180254221
-36,1.6915137768,1.3308628798,1.8323903084,1.1467716694
-34,1.4005366564,1.3400626183,1.7749569416,1.0319561958
-32,1.3787864447,1.1615914106,1.8063873053,0.9428352118
-30,1.1801396608,1.077216506,1.4866364002,0.8730773926
-28,0.9690812826,1.3201502562,1.2297526598,0.9402256012
-26,1.1699075699,1.6163730621,1.2889463902,1.0115318298
-24,1.4470226765,1.8963583708,1.0469470024,1.0198272467
-22,1.1962893009,1.996203661,1.1780790091,1.267321825
-20,1.1587121487,2.0540642738,1.3531033993,1.0788217783
-18,1.0168626308,1.7841937542,1.3487241268,0.9804914594
-16,1.2165541649,1.599366188,1.5595293045,0.894859612
-14,1.3520094156,1.4150472879,1.7151831388,0.9098874927
-12,1.7051639557,1.4442510605,1.8559187651,1.0048353672
-10,1.8687335253,1.3676085472,2.1025435925,1.0152956247
-8,1.7977674007,1.1392849684,1.8957843781,1.0007236004
-6,1.8181544542,1.1065275669,1.6189879179,0.9554552436
-4,1.5929956436,1.3550801277,1.2296197414,0.9025805593
-2,1.8530590534,1.8688179255,1.4936424494,1.02541399
1.27222193825778E-013,2.4367022514,2.9608995914,1.7411049604,1.4446971416
2,1.7109577656,2.8825829029,1.6467696428,1.3049340248
4,1.5893284082,2.6397283077,1.2954069376,1.4086674452
6,1.7921391726,1.6023616791,1.0421105623,1.1742774248
8,1.5440484285,1.3219519854,0.9268531799,1.0585530996
10,0.9516979456,1.2798779011,0.8331501484,1.2197172642
12,0.7076027989,1.1694071293,0.8823654652,1.3830699921
14,0.7856922746,0.9743826389,0.8320007324,1.3525766134
16,0.8366212845,0.8059954643,0.8792734146,1.1182988882
18,0.7172963619,0.9259647727,0.9825000167,0.9513716698
20,0.6733903289,1.0509088039,0.8551940918,0.896766305
22,0.7574938536,1.0382584333,0.9376398921,0.9307909012
24,0.7897809148,0.9890106916,0.8620337248,0.8225750327
26,0.9226003289,1.1750153303,0.8855118155,0.8915228248
28,0.7763094902,1.2806829214,0.9657382965,0.9295580983
30,0.9994341135,1.37362957,1.1493148804,0.7073257565
32,1.1697523594,1.3016463518,1.0262029171,0.7301306725
34,1.1698721647,1.904935956,1.1802186966,0.8265938759
36,1.1420501471,1.9896125793,1.3240469694,1.0090978146
38,1.0502901077,1.5233660936,1.1879451275,0.9070641994
40,1.1618115902,1.2419390678,1.1518660784,1.069295764
42,1.3705388308,1.0407332182,1.3931729794,1.0535572767
44,1.4238084555,0.9209798574,1.2877885103,1.0337842703
46,1.5892022848,0.9314486384,1.3145278692,1.3609461784
48,1.9046450853,1.125228405,1.1775519848,1.1230683327
50,1.9770530462,1.1300837994,1.1303895712,1.1402257681
52,1.6541553736,0.9706879258,1.0206916332,1.2196244001
54,1.5257664919,1.0786218643,1.0965160131,1.2770527601
56,1.5537140369,1.2156386375,0.9446659684,1.2043662071
58,1.2017520666,1.3032915592,0.8676291108,1.4048880339
60,1.1734052896,1.117808342,0.8916519284,1.6034370661
62,0.9123618007,0.9416936636,0.7945936322,1.1620641947
64,0.7210377455,0.8511983752,0.6434180737,0.9549692273
66,0.5838416219,0.7865583301,0.6222403049,1.198777914
68,0.5469668508,0.6490772963,0.700084269,1.0396294594
70,0.5629459023,0.5851657987,0.6218249798,1.24264431
72,0.5611077547,0.5521733165,0.6230453253,1.3807206154
74,0.4684111774,0.4406321943,0.6023022532,1.0626302958
76,0.4403803945,0.5187823772,0.5691928864,1.1067488194
78,0.4686376154,0.6005942822,0.6061636209,1.0846543312
80,0.4170567095,0.509898603,0.5606544614,1.0089509487
82,0.3683993518,0.4543220401,0.4970091879,0.9268855453
84,0.3861066103,0.4203006923,0.5508872867,0.9151106477
86,0.3690424562,0.4771486223,0.6031338573,0.8613753915
88,0.4027461112,0.4080808461,0.5680354238,0.826598227
