angle,early_high,early_low,late_high,late_low
-90,0.4848177135,0.4937830567,0.7131693959,0.7818667293
-88,0.3530322611,0.3024621606,0.5672892332,0.4183869064
-86,0.3979480863,0.3333286047,0.6049493551,0.5861273408
-84,0.4411303103,0.354480952,0.5632061958,0.6045787334
-82,0.3978040516,0.435639143,0.5149087906,0.5656542778
-80,0.4851623178,0.4757325053,0.5870023966,0.5331308246
-78,0.4948776364,0.535243988,0.5655757189,0.6204211116
-76,0.5330209732,0.5372252464,0.6453877687,0.6003672481
-74,0.5490151644,0.718439579,0.6770046949,0.5598185658
-72,0.6118423939,0.7055848241,0.7616525292,0.6177033782
-70,0.5977331996,0.7196856141,0.7231220603,0.6634169817
-68,0.6150563359,0.8303641677,0.7782637477,0.7342631221
-66,0.5513871908,0.9624087811,0.7172825336,1.0606350899
-64,0.6016423106,1.0089277029,0.787648201,0.9124704599
-62,0.6836719513,0.8508992195,0.8118981719,0.8564551473
-60,0.8321623802,1.1445233822,0.8482194543,0.9333042502
-58,1.0383410454,1.3092479706,0.9090169668,1.1653015614
-56,1.2099198103,1.164249897,1.0226783752,0.9829840064
-54,1.2711526155,1.0688066483,1.0130296946,1.0654398203
-52,1.4122568369,1.2904089689,1.1406475306,1.1580402851
-50,1.6246993542,1.3492088318,1.3583372831,1.3360430002
-48,1.8834753036,1.3932129145,1.294985652,1.2773884535
-46,1.9000825882,1.3922613859,1.3066693544,1.4308681488
-44,1.9581643343,1.7690410614,1.4240599871,1.3690500259
-42,1.8754068613,1.9052041769,1.4521104097,1.5087754726
-40,1.8398905993,2.6871407032,1.3135173321,1.8928445578
-38,1.7801537514,2.7572505474,1.2404119968,2.0617873669
-36,1.698243022,2.421602726,1.3523859978,1.8105483055
-34,2.2403333187,2.544074297,1.6328004599,1.4378817081
-32,1.9616088867,2.6114971638,1.6427462101,1.81536448
-30,1.8086700439,2.4168925285,1.759296298,1.9421393871
-28,1.7227859497,2.5092768669,1.646178484,2.0404760838
-26,1.7964259386,2.2302041054,1.6880155802,1.6792441607
-24,1.4835749865,2.0822658539,1.6894632578,1.3784518242
-22,1.1792453527,2.1573777199,1.6606757641,1.6054903269
-20,1.2115539312,2.2320153713,1.9726155996,1.4870092869
-18,1.2639969587,2.6840503216,2.2809960842,1.7655780315
-16,1.3627051115,2.1600370407,2.0899350643,1.6879532337
-14,1.3317842484,1.6065311432,1.7839781046,1.3323386908
-12,1.5876002312,1.6037862301,1.6466983557,1.3557692766
-10,1.1820049286,1.6012547016,1.3619365692,1.3641076088
-8,1.1162116528,1.3738974333,1.2246176004,1.5629600286
-6,1.2546362877,1.6227382421,1.2152192593,1.9526455402
-4,0.9380092025,1.5901169777,1.3136804104,1.8769370317
-2,1.006324172,1.4460783005,1.3295545578,1.7736070156
1.27222193825778E-013,1.212200284,1.8929629326,1.7492656708,2.416046381
2,1.1447525024,1.5686802864,1.5886358023,1.6915081739
