time_in_serie,intensity,intensity_ratio,diameter,rep_x,rep_y,growth
3,9.31,2.42,17.2,525,754,1.41
3,8.13,2.35,17.46,547,906,3.61
3,9.81,1.96,33.12,1623,1043,5.66
3,6.18,2.07,34.06,1353,1077,1
3,5.6,1.74,40.22,177,1179,2.24
3,6.42,2.45,32.7,754,1178,6
3,7.98,2.56,22.56,1016,1249,15
3,7.22,2.11,38.9,508,1261,3
3,6.69,2.08,25.55,746,1271,4
3,10.79,2.48,29.53,1308,1280,1.41
3,11.19,2.29,47.52,1429,1294,2.24
3,6.77,1.95,15.62,572,1285,0
3,10.11,2.03,41.77,1697,1309,9.49
3,8.13,1.92,45.88,1484,1361,19.7
3,8.49,2.43,33.3,579,1362,2.24
3,7.93,2.18,80.28,1523,1385,0
3,9.84,2.05,45.62,1395,1388,4
3,5.24,1.62,42.05,513,1403,0
3,8.83,2.91,39.85,797,1479,7.28
3,6.93,1.69,40.31,653,1493,9.22
3,7.26,2.4,23.02,754,1508,4.12
3,6.81,2.01,90.27,705,1589,1
3,9.31,2.62,33.06,980,1636,1
3,8.37,2.24,38.28,743,1690,2
3,11.04,2.96,40.31,812,1713,0
3,5.72,1.59,28.43,1337,1717,1.41
3,10.74,3.18,18.03,979,1745,2.83
3,8.15,2.7,31.3,1093,1813,2.24
3,5.97,2.03,25.3,817,1902,0
3,9.08,2.45,62.43,791,1931,1
3,6.33,1.82,25.06,1193,1909,13.89
3,7.1,2.27,17.49,796,1959,2.83
3,5.76,1.87,13.6,906,2246,3.16
3,5.74,1.97,77.28,877,2590,3.61
4,5.94,1.98,22.67,853,528,0
4,5.76,1.81,34.21,932,1075,0
4,8.28,2.32,32.39,1018,1247,2.83
4,6.08,1.59,23.09,1428,1290,4.12
4,6.95,2.16,21.63,576,1365,4.24
4,6.11,1.54,23.02,1396,1391,3.16
4,5.39,1.62,29.07,1536,1395,16.4
4,5.15,1.57,31.91,647,1496,6.71
4,5.62,1.75,44.28,692,1602,18.38
4,5.41,3.14,23.09,982,1644,8.25
4,6.4,1.87,42.19,744,1684,6.08
4,7.74,2.52,26.93,810,1719,6.32
4,8.81,2.56,35.47,1094,1810,3.16
4,6.06,1.72,23.26,1199,1912,6.71
4,5.33,1.69,16.16,1114,1932,0
4,6.72,2.23,24.21,784,1945,15.65
4,5.92,1.73,17.69,870,2040,0
4,6.91,1.97,13.45,846,2072,0
4,5.67,1.94,17.72,903,2253,7.62
4,5.38,1.95,14.42,956,2308,0
4,6.49,2.07,15.26,892,2335,0
4,5,1.81,14.76,877,2603,13
5,6.72,2.49,11.18,411,623,0
5,6.47,1.93,14.56,577,855,0
5,5.72,1.92,17.09,616,863,0
5,6.68,2.12,17.2,731,1066,0
5,6.41,2.38,17.49,726,1219,0
5,5.81,1.92,18.44,1017,1250,3.16
5,5.58,1.8,34.99,743,1676,8.06
5,10.95,2.81,16.64,804,1725,8.49
5,6.21,1.96,15.52,1096,1811,2.24
5,7.62,2.78,15.65,776,1954,12.04
5,7.05,2.33,10.77,785,1963,0
5,8.13,2.07,20.62,855,2054,20.52
5,6.66,1.81,14.76,834,2163,0
5,7.03,2.04,12.81,1046,2163,0
5,7.4,1.77,11.4,877,2165,0
5,6.72,1.97,13.04,891,2256,12.37
5,6.58,1.93,13.93,958,2316,8.25
5,7.09,2.04,17.2,880,2339,12.65
5,6.12,1.95,11.7,872,2417,0
5,6.22,1.93,12.53,935,2424,0
