image,time_in_serie,segment_id,length,direction,startx,starty,endx,endy,apex_id,intensity,intensity_ratio,diameter,repx,repy
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,b6842662-45f4-4950-9e07-6c9805aa283b,31.257,7.352370109193259,996,4,992,35,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,0a4bb75c-d86b-47b2-a0b7-6204dbc1fe54,91.197586,3.772286841086668,1022,31,1028,122,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,b60371ca-28f3-4605-a009-b0fa1db0f1db,24.351591,70.82100275305692,978,66,1001,74,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,43048f18-e9f3-441b-a405-705339369adf,73.00685,53.91491715295072,1022,67,963,110,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,e664914c-c745-49d5-a1c8-83a59b399ba2,18.384777,67.61986930749973,960,103,943,110,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,d3111f46-6d64-4561-ba88-be551ec14fd4,20.59126,60.9453961566756,1027,123,1045,133,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,f3344153-84ac-4348-a008-fce7285f7515,76.1643,3.7640359725693315,1026,125,1031,201,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,ddc8b76e-7983-4df9-8276-4c722dd6cc33,132.96616,43.78112940594289,1025,146,933,242,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,c3068f54-d02f-4b86-9c61-ef10d9715550,27.784887,59.74356836420782,969,166,945,180,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,805f8aa8-9a32-49da-a2a3-7ed48915d786,29.410883,54.688791246291515,1090,183,1066,200,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,83cd9f30-e06f-4b85-b4ab-bc471c32ed59,49.819675,38.480193636829995,1031,201,1062,240,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1,594d255c-d3d0-4c7d-96ea-68f1c471c20e,16.124516,60.2551222122851,1184,203,1170,211,-1,-1,-1,-1,-1,-1
