id,label,envi,x,y,group,time_in_serie,hum
74,60-16-col-wd-1.tif,41.22,378.97,2939.38,2,1,56.4786
75,60-16-col-wd-1.tif,40.29,388.41,3075.90,2,1,60.0777
76,60-16-col-wd-1.tif,40.54,391.75,3253.32,2,1,59.1102
77,60-16-col-wd-1.tif,42.5,401.81,3383.41,2,1,51.525
78,60-16-col-wd-1.tif,44.1,397.05,3555.16,2,1,45.333
79,60-16-col-wd-1.tif,44.04,396.59,3674.00,2,1,45.5652
80,60-16-col-wd-1.tif,44.34,397.30,3841.43,2,1,44.4042
81,60-16-col-wd-1.tif,50.09,399.57,3991.20,2,1,22.1517
82,60-16-col-wd-1.tif,42.07,531.23,91.75,2,1,53.1891
83,60-16-col-wd-1.tif,39.56,544.84,250.26,2,1,62.9028
84,60-16-col-wd-1.tif,39.91,527.94,375.35,2,1,61.5483
85,60-16-col-wd-1.tif,40.77,547.06,550.15,2,1,58.2201
86,60-16-col-wd-1.tif,40.04,525.82,678.19,2,1,61.0452
87,60-16-col-wd-1.tif,39.28,549.00,853.10,2,1,63.9864
88,60-16-col-wd-1.tif,41.13,540.18,1001.76,2,1,56.8269
89,60-16-col-wd-1.tif,40.34,551.64,1133.26,2,1,59.8842
90,60-16-col-wd-1.tif,41.88,531.91,1301.31,2,1,53.9244
91,60-16-col-wd-1.tif,40.85,538.98,1425.95,2,1,57.9105
92,60-16-col-wd-1.tif,41,530.53,1595.82,2,1,57.33
93,60-16-col-wd-1.tif,40.03,530.61,1725.88,2,1,61.0839
94,60-16-col-wd-1.tif,42.4,526.31,1888.04,2,1,51.912
95,60-16-col-wd-1.tif,41,553.15,2031.28,2,1,57.33
96,60-16-col-wd-1.tif,41.98,539.53,2184.48,2,1,53.5374
97,60-16-col-wd-1.tif,41.03,537.23,2351.25,2,1,57.2139
98,60-16-col-wd-1.tif,41.02,548.43,2482.03,2,1,57.2526
99,60-16-col-wd-1.tif,40.91,551.23,2654.12,2,1,57.6783
100,60-16-col-wd-1.tif,41.94,527.39,2804.33,2,1,53.6922
101,60-16-col-wd-1.tif,40.71,535.79,2932.69,2,1,58.4523
102,60-16-col-wd-1.tif,40.65,547.83,3103.48,2,1,58.6845
103,60-16-col-wd-1.tif,40.69,530.11,3241.97,2,1,58.5297
104,60-16-col-wd-1.tif,43.53,525.14,3392.19,2,1,47.5389
105,60-16-col-wd-1.tif,42.75,544.89,3547.07,2,1,50.5575
106,60-16-col-wd-1.tif,43.81,539.89,3676.96,2,1,46.4553
107,60-16-col-wd-1.tif,45.04,535.45,3830.37,2,1,41.6952
108,60-16-col-wd-1.tif,49.44,535.23,3996.21,2,1,24.6672
109,60-16-col-wd-1.tif,41.35,684.21,86.65,2,1,55.9755
110,60-16-col-wd-1.tif,40.12,680.17,235.94,2,1,60.7356
111,60-16-col-wd-1.tif,40.01,675.63,395.71,2,1,61.1613
112,60-16-col-wd-1.tif,40.31,682.55,542.58,2,1,60.0003
113,60-16-col-wd-1.tif,40.7,682.71,678.63,2,1,58.491
114,60-16-col-wd-1.tif,39.86,697.97,830.36,2,1,61.7418
115,60-16-col-wd-1.tif,40.88,680.31,995.76,2,1,57.7944
116,60-16-col-wd-1.tif,40.09,684.11,1146.13,2,1,60.8517
117,60-16-col-wd-1.tif,41.75,696.42,1285.88,2,1,54.4275
118,60-16-col-wd-1.tif,41.77,686.03,1448.54,2,1,54.3501
119,60-16-col-wd-1.tif,40.86,690.71,1579.43,2,1,57.8718
120,60-16-col-wd-1.tif,40.33,696.79,1728.03,2,1,59.9229
121,60-16-col-wd-1.tif,41.38,693.30,1881.91,2,1,55.8594
122,60-16-col-wd-1.tif,41.49,678.81,2031.79,2,1,55.4337
123,60-16-col-wd-1.tif,41.01,678.67,2195.26,2,1,57.2913
124,60-16-col-wd-1.tif,41.21,695.50,2351.89,2,1,56.5173
125,60-16-col-wd-1.tif,40.27,692.68,2486.39,2,1,60.1551
126,60-16-col-wd-1.tif,41.54,690.43,2637.27,2,1,55.2402
127,60-16-col-wd-1.tif,40.89,704.44,2799.37,2,1,57.7557
128,60-16-col-wd-1.tif,40.21,700.83,2934.80,2,1,60.3873
129,60-16-col-wd-1.tif,41.9,688.14,3092.14,2,1,53.847
130,60-16-col-wd-1.tif,42.92,680.66,3247.85,2,1,49.8996
131,60-16-col-wd-1.tif,41.53,694.02,3391.04,2,1,55.2789
132,60-16-col-wd-1.tif,44.99,701.08,3547.23,2,1,41.8887
133,60-16-col-wd-1.tif,42.91,703.53,3698.44,2,1,49.9383
134,60-16-col-wd-1.tif,44.44,699.42,3828.14,2,1,44.0172
135,60-16-col-wd-1.tif,49.66,698.04,3989.07,2,1,23.8158
136,60-16-col-wd-1.tif,44.06,838.60,90.55,2,1,45.4878
137,60-16-col-wd-1.tif,40.12,834.57,250.26,2,1,60.7356
138,60-16-col-wd-1.tif,39.51,827.49,392.41,2,1,63.0963
139,60-16-col-wd-1.tif,40.03,838.71,540.38,2,1,61.0839
140,60-16-col-wd-1.tif,39.71,848.01,691.22,2,1,62.3223
141,60-16-col-wd-1.tif,40.01,836.50,839.25,2,1,61.1613
142,60-16-col-wd-1.tif,41.32,847.21,991.42,2,1,56.0916
143,60-16-col-wd-1.tif,40.54,852.19,1130.27,2,1,59.1102
144,60-16-col-wd-1.tif,40.07,847.11,1275.29,2,1,60.9291
145,60-16-col-wd-1.tif,40.5,839.94,1427.22,2,1,59.265
146,60-16-col-wd-1.tif,39.82,846.96,1590.84,2,1,61.8966
147,60-16-col-wd-1.tif,40.17,846.48,1750.54,2,1,60.5421
148,60-16-col-wd-1.tif,39.53,848.69,1881.33,2,1,63.0189
149,60-16-col-wd-1.tif,40.41,837.85,2025.76,2,1,59.6133
150,60-16-col-wd-1.tif,42.22,841.28,2200.53,2,1,52.6086
151,60-16-col-wd-1.tif,40.59,842.43,2352.64,2,1,58.9167
152,60-16-col-wd-1.tif,40.07,851.81,2485.72,2,1,60.9291
153,60-16-col-wd-1.tif,39.61,833.32,2640.14,2,1,62.7093
154,60-16-col-wd-1.tif,40.52,853.05,2797.03,2,1,59.1876
155,60-16-col-wd-1.tif,41.5,839.71,2934.80,2,1,55.395
156,60-16-col-wd-1.tif,41.87,827.50,3104.24,2,1,53.9631
157,60-16-col-wd-1.tif,42.94,833.13,3253.42,2,1,49.8222
158,60-16-col-wd-1.tif,43.97,849.53,3398.42,2,1,45.8361
159,60-16-col-wd-1.tif,43.57,836.53,3547.63,2,1,47.3841
160,60-16-col-wd-1.tif,43.19,836.51,3698.38,2,1,48.8547
161,60-16-col-wd-1.tif,42.35,836.03,3829.51,2,1,52.1055
