"","experiment","das","genotype","light","plant","aq","x","y","angle","count"
"96","32","20","col","dark","14","1.tif",0,4.78355,80,0.365283221006393
"97","32","20","col","dark","14","1.tif",0,4.78355,78,0.59509938955307
"98","32","20","col","dark","14","1.tif",0,4.78355,76,0.667029976844788
"99","32","20","col","dark","14","1.tif",0,4.78355,74,0.777586281299591
"100","32","20","col","dark","14","1.tif",0,4.78355,72,0.860584735870361
"101","32","20","col","dark","14","1.tif",0,4.78355,70,0.911297678947449
"102","32","20","col","dark","14","1.tif",0,4.78355,68,1.03512108325958
"103","32","20","col","dark","14","1.tif",0,4.78355,66,1.24513268470764
"104","32","20","col","dark","14","1.tif",0,4.78355,64,1.33761322498322
"105","32","20","col","dark","14","1.tif",0,4.78355,62,1.24484920501709
"106","32","20","col","dark","14","1.tif",0,4.78355,60,1.40351486206055
"107","32","20","col","dark","14","1.tif",0,4.78355,58,1.34304869174957
"108","32","20","col","dark","14","1.tif",0,4.78355,56,1.46650373935699
"109","32","20","col","dark","14","1.tif",0,4.78355,54,1.42807388305664
"110","32","20","col","dark","14","1.tif",0,4.78355,52,1.10800969600677
"111","32","20","col","dark","14","1.tif",0,4.78355,50,1.3088093996048
"112","32","20","col","dark","14","1.tif",0,4.78355,48,1.04198586940765
"113","32","20","col","dark","14","1.tif",0,4.78355,46,2.18570518493652
"114","32","20","col","dark","14","1.tif",0,4.78355,44,1.56639873981476
"115","32","20","col","dark","14","1.tif",0,4.78355,42,1.3727639913559
"116","32","20","col","dark","14","1.tif",0,4.78355,40,1.56757271289825
"117","32","20","col","dark","14","1.tif",0,4.78355,38,1.66742146015167
"118","32","20","col","dark","14","1.tif",0,4.78355,36,1.58615946769714
"119","32","20","col","dark","14","1.tif",0,4.78355,34,1.38868176937103
"120","32","20","col","dark","14","1.tif",0,4.78355,32,1.30635559558868
"121","32","20","col","dark","14","1.tif",0,4.78355,30,1.41332721710205
"122","32","20","col","dark","14","1.tif",0,4.78355,28,1.37225842475891
"123","32","20","col","dark","14","1.tif",0,4.78355,26,1.50720310211182
"124","32","20","col","dark","14","1.tif",0,4.78355,24,1.4020870923996
"125","32","20","col","dark","14","1.tif",0,4.78355,22,1.20326399803162
"126","32","20","col","dark","14","1.tif",0,4.78355,20,1.21365714073181
"127","32","20","col","dark","14","1.tif",0,4.78355,18,1.27843677997589
"128","32","20","col","dark","14","1.tif",0,4.78355,16,0.843376338481903
"129","32","20","col","dark","14","1.tif",0,4.78355,14,1.15562641620636
"130","32","20","col","dark","14","1.tif",0,4.78355,12,0.871801674365997
"131","32","20","col","dark","14","1.tif",0,4.78355,10,0.820656657218933
"132","32","20","col","dark","14","1.tif",0,4.78355,8,0.690699994564056
"133","32","20","col","dark","14","1.tif",0,4.78355,6,0.774145781993866
"134","32","20","col","dark","14","1.tif",0,4.78355,4,0.623380601406097
"135","32","20","col","dark","14","1.tif",0,4.78355,2,0.854491293430328
"136","32","20","col","dark","14","1.tif",0,4.78355,1.27222193825778e-13,1.05039119720459
"137","32","20","col","dark","14","1.tif",0,4.78355,2,0.591869473457336
"138","32","20","col","dark","14","1.tif",0,4.78355,4,0.716403424739838
"139","32","20","col","dark","14","1.tif",0,4.78355,6,0.582498252391815
"140","32","20","col","dark","14","1.tif",0,4.78355,8,0.63759183883667
"141","32","20","col","dark","14","1.tif",0,4.78355,10,0.649447441101074
"142","32","20","col","dark","14","1.tif",0,4.78355,12,0.619946777820587
"143","32","20","col","dark","14","1.tif",0,4.78355,14,0.803607881069183
"144","32","20","col","dark","14","1.tif",0,4.78355,16,1.0053346157074
"145","32","20","col","dark","14","1.tif",0,4.78355,18,0.892076015472412
"146","32","20","col","dark","14","1.tif",0,4.78355,20,1.01642310619354
"147","32","20","col","dark","14","1.tif",0,4.78355,22,0.885696709156036
"148","32","20","col","dark","14","1.tif",0,4.78355,24,1.09041285514832
"149","32","20","col","dark","14","1.tif",0,4.78355,26,1.41561150550842
"150","32","20","col","dark","14","1.tif",0,4.78355,28,1.46449267864227
"151","32","20","col","dark","14","1.tif",0,4.78355,30,1.49221420288086
"152","32","20","col","dark","14","1.tif",0,4.78355,32,2.2339346408844
"153","32","20","col","dark","14","1.tif",0,4.78355,34,2.11760950088501
