image,experiment,plant,das,AreaManual,PrPathLength,PrVectorLength,PrStraightness,PrGrowthRate,LrNumber,BranchedZone,ApicalZone,LRDensityPrPath,LrDensityBz, area, convexhull, depth, width, circularity, ar, round, solidity, feret, feret_angle, massX, massY
9_R10_D11.tif,9,10,11,2.75,5.58,5.43,0.97,0,3,2.36,3.22,0.54,1.27,98.264,2.2076046,5.468975,0.64935064,0.20849296,8.218329,0.121679224,0.9652661,5.476585,86.97928,0,3.0895011
9_R10_D12.tif,9,10,12,4.02,6.8,6.75,0.99,1.42,5,3.09,3.71,0.74,1.62,170.77458,3.201464,6.349206,0.8658008,0.2235291,6.923113,0.14444369,0.97119576,6.378066,84.54738,0,3.611903
9_R10_D13.tif,9,10,13,10.29,9,7.79,0.87,1.22,8,5.38,3.62,0.89,1.49,165.73924,9.263319,8.831168,1.9047618,0.3144511,4.487938,0.22281949,0.9845197,8.855009,85.79464,0,4.0331726
9_R10_D14.tif,9,10,14,16.64,10.09,9.11,0.9,1.31,12,6.2,3.9,1.19,1.94,118.42814,15.034075,9.711399,2.8138528,0.3992211,3.3096979,0.30214238,0.9889938,9.751209,84.82092,0,4.41696
9_R10_D15.tif,9,10,15,26.28,11.46,10.18,0.89,1.2,17,8.18,3.28,1.48,2.08,160.98575,23.741848,10.70707,4.112554,0.4842645,2.5655715,0.3897767,0.99173695,10.767585,83.92267,0,4.8425026
9_R10_D16.tif,9,10,16,35.35,12.16,11.2,0.92,1.18,21,9.08,3.08,1.73,2.31,91.94128,35.061184,11.630591,5.497835,0.5691036,2.0766652,0.48154128,0.9934129,11.680836,84.683815,0,5.1487293
9_R10_D17.tif,9,10,17,52.56,13.68,12.09,0.88,0.98,24,10.9,2.78,1.75,2.2,84.381294,51.82186,13.217893,7.402597,0.61394966,1.7896786,0.55875957,0.9948533,13.282959,84.32657,0,5.8876195
9_R10_D18.tif,9,10,18,75.39,15.31,13.74,0.9,1.53,27,11.93,3.37,1.76,2.26,29.631489,73.84335,14.963924,9.610389,0.63583803,1.5960664,0.62654036,0.99532276,14.997977,86.13825,0,6.6488404
9_R10_D19.tif,9,10,19,101.34,17.06,15.33,0.9,1.72,30,12.69,4.38,1.76,2.36,21.969828,103.02446,16.652235,11.991342,0.6723575,1.4112577,0.70858777,0.9964193,16.70393,85.4912,0,7.4780064
9_R10_D20.tif,9,10,20,119.78,18.89,17.21,0.91,1.78,32,13.84,5.05,1.69,2.31,15.091545,125.61275,18.268398,12.323232,0.6986743,1.435701,0.69652385,0.99662894,18.29958,86.65476,0,8.152108
9_R10_D21.tif,9,10,21,144.84,20.57,18.96,0.92,1.87,35,15.81,4.76,1.7,2.21,19.181295,143.21758,19.16306,12.467532,0.73803586,1.4130576,0.70768523,0.9969951,19.209991,85.99411,0,8.807903
9_R6_D11.tif,9,6,11,3.378,6.66,6.56,0.99,0,6,3.11,3.55,0.9,1.93,143.87785,3.5119278,6.349206,1.1255411,0.23752545,6.1585426,0.16237609,0.9716277,6.351977,91.69234,0,2.8167171
9_R6_D12.tif,9,6,12,4.979,7.38,7.44,1.01,0.73,10,4.02,3.36,1.35,2.49,157.2438,5.406153,7.1717167,1.3852813,0.28309825,5.2703013,0.18974248,0.9802537,7.1769557,92.189316,0,2.9213803
9_R6_D13.tif,9,6,13,10.875,8.96,8.47,0.95,1.57,12,5.22,3.73,1.34,2.3,107.119995,10.874774,8.542568,2.207792,0.3786031,3.8125167,0.26229393,0.9874083,8.545688,88.45184,0,3.47083
9_R6_D14.tif,9,6,14,15.578,10.15,9.67,0.95,1.19,17,6.58,3.56,1.68,2.58,76.81261,15.496335,9.653679,2.9870129,0.4104385,3.2056854,0.31194577,0.9890688,9.670919,86.578316,0,3.9713163
9_R6_D15.tif,9,6,15,21.968,11.74,11.25,0.96,1.6,20,7.7,4.05,1.7,2.6,163.0692,22.482294,10.793651,3.6796534,0.46550387,2.8550358,0.35025832,0.9911234,10.82605,85.566154,0,4.577117
9_R6_D16.tif,9,6,16,32.905,13.17,12.38,0.94,1.43,24,9.07,4.1,1.82,2.65,134.43704,32.227448,12.308802,4.7186146,0.4976623,2.5204663,0.39675197,0.9929111,12.334362,86.31077,0,5.1828046
9_R6_D17.tif,9,6,17,46.765,14.93,14.41,0.97,1.76,29,10.56,4.37,1.94,2.75,12.922694,47.224873,13.665223,6.580086,0.5502434,2.0772803,0.4813987,0.9940152,13.685809,86.85703,0,5.805784
9_R6_D18.tif,9,6,18,68.406,16.63,16.14,0.97,1.7,34,12.27,4.36,2.04,2.77,13.811394,67.84418,15.396825,8.225108,0.592104,1.8600435,0.5376218,0.9952562,15.4491005,85.28525,0,6.6615295
9_R6_D19.tif,9,6,19,85.379,18.86,18.43,0.98,2.24,37,13.58,5.28,1.96,2.72,27.800753,83.94332,16.002886,9.653679,0.64899796,1.6100996,0.6210796,0.9959115,16.079996,84.38661,0,7.1303167
9_R6_D20.tif,9,6,20,99.224,21.21,20.61,0.97,2.34,40,14.77,6.44,1.89,2.71,23.798885,92.6488,16.479076,9.696969,0.6757822,1.597854,0.6258394,0.99620837,16.534805,85.294495,0,7.388224
9_R6_D21.tif,9,6,21,118.255,23.2,22.78,0.98,1.99,43,16.85,6.35,1.85,2.55,28.691545,120.33694,18.556997,11.255411,0.6785578,1.6547198,0.6043319,0.996638,18.681139,83.391,0,8.460232
9_R9_D11.tif,9,9,11,2.727,4.6,4.31,0.94,0,3,1.61,2.99,0.65,1.87,119.57843,3.2220783,5.295815,0.995671,0.31065774,5.443657,0.18370005,0.9740039,5.313479,94.67319,0,2.4988954
9_R9_D12.tif,9,9,12,5.209,5.93,5.3,0.89,1.16,6,2.38,3.54,1.01,2.52,146.49309,5.427184,6.190476,1.6883116,0.35917947,3.7309022,0.2680317,0.98067915,6.208764,94.398705,0,2.612383
9_R9_D13.tif,9,9,13,9.37,7,6.81,0.97,1.14,8,3.64,3.36,1.14,2.2,176.5821,8.928285,7.8354974,2.207792,0.36635512,3.6039586,0.27747267,0.9845129,7.8785496,95.99253,0,3.3586075
9_R9_D14.tif,9,9,14,15.047,8.6,8.04,0.94,1.41,11,4.96,3.64,1.28,2.22,78.2554,14.5409975,8.845598,3.203463,0.44145584,2.8218713,0.35437477,0.98864585,8.934241,98.07775,0,3.8386917
9_R9_D15.tif,9,9,15,25.387,9.97,9.53,0.96,1.5,13,6.53,3.44,1.3,1.99,105.82817,23.853249,10.15873,4.5454545,0.50680435,2.2742648,0.43970254,0.99191695,10.271099,98.483,0,4.396204
9_R9_D16.tif,9,9,16,36.615,11.69,11.19,0.96,1.53,16,7.81,3.87,1.37,2.05,125.92298,38.920433,12.020202,6.060606,0.55244327,1.9627205,0.50949687,0.99393004,12.138189,97.99525,0,5.1694374
9_R9_D17.tif,9,9,17,54.129,12.88,12.36,0.96,1.29,20,9.1,3.78,1.55,2.2,14.417971,52.64602,12.669552,7.7489176,0.6043614,1.621469,0.61672467,0.9946517,12.756434,96.6909,0,5.381081
9_R9_D18.tif,9,9,18,70.991,15.01,14.28,0.95,1.94,23,10.59,4.43,1.53,2.17,21.906744,70.05803,14.617604,8.701299,0.61462444,1.6332359,0.61228144,0.9954997,14.697413,95.97367,0,6.2647295
9_R9_D19.tif,9,9,19,89.612,17.11,16.22,0.95,2.23,27,12.12,4.99,1.58,2.23,29.813274,86.68627,16.522366,9.523809,0.6128514,1.6979468,0.58894664,0.9958152,16.564682,94.09628,0,7.136701
9_R9_D20.tif,9,9,20,103.983,18.73,17.87,0.95,2.14,33,14.04,4.69,1.76,2.35,23.108406,105.5215,18.210678,10.30303,0.6210438,1.7131884,0.583707,0.9962285,18.22277,92.08751,0,7.8798294
9_R9_D21.tif,9,9,21,122.311,20.65,19.77,0.96,1.43,38,15.62,5.03,1.84,2.43,16.281973,125.23003,19.668108,11.2987,0.62591916,1.7371532,0.57565445,0.9967045,19.684702,92.35272,0,8.447333
