"","experiment","das","accession","plant","aq","x","y","angle","count"
"1","50","22","bay","1","1.tif",0,0,90,0.594553887844086
"2","50","22","bay","1","1.tif",0,0,88,0.523058116436005
"3","50","22","bay","1","1.tif",0,0,86,0.494185835123062
"4","50","22","bay","1","1.tif",0,0,84,0.465641766786575
"5","50","22","bay","1","1.tif",0,0,82,0.467227309942245
"6","50","22","bay","1","1.tif",0,0,80,0.505973875522614
"7","50","22","bay","1","1.tif",0,0,78,0.546173751354218
"8","50","22","bay","1","1.tif",0,0,76,0.594637274742126
"9","50","22","bay","1","1.tif",0,0,74,0.655543982982635
"10","50","22","bay","1","1.tif",0,0,72,0.718036830425262
"11","50","22","bay","1","1.tif",0,0,70,0.80383437871933
"12","50","22","bay","1","1.tif",0,0,68,0.787771344184875
"13","50","22","bay","1","1.tif",0,0,66,0.754347622394562
"14","50","22","bay","1","1.tif",0,0,64,0.942145228385925
"15","50","22","bay","1","1.tif",0,0,62,1.15703070163727
"16","50","22","bay","1","1.tif",0,0,60,1.22537088394165
"17","50","22","bay","1","1.tif",0,0,58,1.44050657749176
"18","50","22","bay","1","1.tif",0,0,56,1.44253969192505
"19","50","22","bay","1","1.tif",0,0,54,1.22209751605988
"20","50","22","bay","1","1.tif",0,0,52,1.05524277687073
"21","50","22","bay","1","1.tif",0,0,50,1.12585079669952
"22","50","22","bay","1","1.tif",0,0,48,1.34808814525604
"23","50","22","bay","1","1.tif",0,0,46,1.42828285694122
"24","50","22","bay","1","1.tif",0,0,44,1.52126657962799
"25","50","22","bay","1","1.tif",0,0,42,1.58001852035522
"26","50","22","bay","1","1.tif",0,0,40,1.56222665309906
"27","50","22","bay","1","1.tif",0,0,38,1.29082000255585
"28","50","22","bay","1","1.tif",0,0,36,1.19265139102936
"29","50","22","bay","1","1.tif",0,0,34,0.929927587509155
"30","50","22","bay","1","1.tif",0,0,32,1.06338131427765
"31","50","22","bay","1","1.tif",0,0,30,1.32356977462769
"32","50","22","bay","1","1.tif",0,0,28,1.15207993984222
"33","50","22","bay","1","1.tif",0,0,26,1.00184988975525
"34","50","22","bay","1","1.tif",0,0,24,1.02663803100586
"35","50","22","bay","1","1.tif",0,0,22,1.25020670890808
"36","50","22","bay","1","1.tif",0,0,20,1.00941097736359
"37","50","22","bay","1","1.tif",0,0,18,0.92819082736969
"38","50","22","bay","1","1.tif",0,0,16,0.937193632125854
"39","50","22","bay","1","1.tif",0,0,14,0.945964217185974
"40","50","22","bay","1","1.tif",0,0,12,1.06588852405548
"41","50","22","bay","1","1.tif",0,0,10,1.1342511177063
"42","50","22","bay","1","1.tif",0,0,8,1.10418045520782
"43","50","22","bay","1","1.tif",0,0,6,1.21803426742554
"44","50","22","bay","1","1.tif",0,0,4,1.13136947154999
"45","50","22","bay","1","1.tif",0,0,2,1.0592292547226
"46","50","22","bay","1","1.tif",0,0,1.27222193825778e-13,1.15190410614014
"47","50","22","bay","1","1.tif",0,0,2,1.08432400226593
"48","50","22","bay","1","1.tif",0,0,4,1.09516322612762
"49","50","22","bay","1","1.tif",0,0,6,1.38174319267273
"50","50","22","bay","1","1.tif",0,0,8,1.58490490913391
"51","50","22","bay","1","1.tif",0,0,10,1.27176475524902
"52","50","22","bay","1","1.tif",0,0,12,1.40477228164673
"53","50","22","bay","1","1.tif",0,0,14,1.54519200325012
"54","50","22","bay","1","1.tif",0,0,16,1.69202482700348
"55","50","22","bay","1","1.tif",0,0,18,1.80511522293091
"56","50","22","bay","1","1.tif",0,0,20,1.80543661117554
"57","50","22","bay","1","1.tif",0,0,22,1.74787497520447
"58","50","22","bay","1","1.tif",0,0,24,1.69104146957397
"59","50","22","bay","1","1.tif",0,0,26,1.67867803573608
"60","50","22","bay","1","1.tif",0,0,28,1.50509643554688
"61","50","22","bay","1","1.tif",0,0,30,1.69654357433319
"62","50","22","bay","1","1.tif",0,0,32,1.67348873615265
"63","50","22","bay","1","1.tif",0,0,34,1.47576940059662
"64","50","22","bay","1","1.tif",0,0,36,1.54092693328857
"65","50","22","bay","1","1.tif",0,0,38,1.36157608032227
"66","50","22","bay","1","1.tif",0,0,40,1.61028587818146
"67","50","22","bay","1","1.tif",0,0,42,1.43396031856537
"68","50","22","bay","1","1.tif",0,0,44,1.39013206958771
"69","50","22","bay","1","1.tif",0,0,46,1.44650232791901
"70","50","22","bay","1","1.tif",0,0,48,1.48091280460358
"71","50","22","bay","1","1.tif",0,0,50,1.19851338863373
"72","50","22","bay","1","1.tif",0,0,52,1.10973763465881
"73","50","22","bay","1","1.tif",0,0,54,1.09639322757721
"74","50","22","bay","1","1.tif",0,0,56,1.08134841918945
"75","50","22","bay","1","1.tif",0,0,58,0.998087346553802
"76","50","22","bay","1","1.tif",0,0,60,0.989766836166382
"77","50","22","bay","1","1.tif",0,0,62,0.977703273296356
"78","50","22","bay","1","1.tif",0,0,64,0.936466991901398
"79","50","22","bay","1","1.tif",0,0,66,1.02995252609253
"80","50","22","bay","1","1.tif",0,0,68,0.972424149513245
"81","50","22","bay","1","1.tif",0,0,70,0.73624461889267
"82","50","22","bay","1","1.tif",0,0,72,0.668246865272522
"83","50","22","bay","1","1.tif",0,0,74,0.649177372455597
"84","50","22","bay","1","1.tif",0,0,76,0.695420920848846
"85","50","22","bay","1","1.tif",0,0,78,0.661301076412201
"86","50","22","bay","1","1.tif",0,0,80,0.585103690624237
"87","50","22","bay","1","1.tif",0,0,82,0.610295116901398
"88","50","22","bay","1","1.tif",0,0,84,0.614702224731445
"89","50","22","bay","1","1.tif",0,0,86,0.57923549413681
"90","50","22","bay","1","1.tif",0,0,88,0.528254687786102
"91","50","22","bay","2","2.tif",0,0,90,0.609555840492249
"92","50","22","bay","2","2.tif",0,0,88,0.537082016468048
"93","50","22","bay","2","2.tif",0,0,86,0.555698573589325
"94","50","22","bay","2","2.tif",0,0,84,0.61365407705307
"95","50","22","bay","2","2.tif",0,0,82,0.630590617656708
"96","50","22","bay","2","2.tif",0,0,80,0.746141672134399
"97","50","22","bay","2","2.tif",0,0,78,0.903704106807709
"98","50","22","bay","2","2.tif",0,0,76,0.815745711326599
"99","50","22","bay","2","2.tif",0,0,74,0.833839416503906
"100","50","22","bay","2","2.tif",0,0,72,0.888351738452911
"101","50","22","bay","2","2.tif",0,0,70,0.903171956539154
"102","50","22","bay","2","2.tif",0,0,68,0.872054934501648
"103","50","22","bay","2","2.tif",0,0,66,0.910574615001678
"104","50","22","bay","2","2.tif",0,0,64,1.03463780879974
"105","50","22","bay","2","2.tif",0,0,62,1.12662196159363
"106","50","22","bay","2","2.tif",0,0,60,1.08529341220856
"107","50","22","bay","2","2.tif",0,0,58,1.29713428020477
"108","50","22","bay","2","2.tif",0,0,56,1.5380038022995
"109","50","22","bay","2","2.tif",0,0,54,1.36370992660522
"110","50","22","bay","2","2.tif",0,0,52,1.55642545223236
"111","50","22","bay","2","2.tif",0,0,50,1.66274642944336
"112","50","22","bay","2","2.tif",0,0,48,1.74741291999817
"113","50","22","bay","2","2.tif",0,0,46,1.62270045280457
"114","50","22","bay","2","2.tif",0,0,44,1.24233019351959
"115","50","22","bay","2","2.tif",0,0,42,0.992863893508911
"116","50","22","bay","2","2.tif",0,0,40,1.0273243188858
"117","50","22","bay","2","2.tif",0,0,38,0.991812705993652
"118","50","22","bay","2","2.tif",0,0,36,1.00786578655243
"119","50","22","bay","2","2.tif",0,0,34,1.04569315910339
"120","50","22","bay","2","2.tif",0,0,32,0.901494383811951
"121","50","22","bay","2","2.tif",0,0,30,0.815691828727722
"122","50","22","bay","2","2.tif",0,0,28,0.75042462348938
"123","50","22","bay","2","2.tif",0,0,26,0.863082468509674
"124","50","22","bay","2","2.tif",0,0,24,1.0383403301239
"125","50","22","bay","2","2.tif",0,0,22,1.2399867773056
"126","50","22","bay","2","2.tif",0,0,20,0.966202914714813
"127","50","22","bay","2","2.tif",0,0,18,1.20041859149933
"128","50","22","bay","2","2.tif",0,0,16,0.979890942573547
"129","50","22","bay","2","2.tif",0,0,14,0.877453982830048
"130","50","22","bay","2","2.tif",0,0,12,1.15911996364594
"131","50","22","bay","2","2.tif",0,0,10,1.33615815639496
"132","50","22","bay","2","2.tif",0,0,8,1.11724638938904
"133","50","22","bay","2","2.tif",0,0,6,1.73419630527496
"134","50","22","bay","2","2.tif",0,0,4,2.33251881599426
"135","50","22","bay","2","2.tif",0,0,2,1.37900590896606
"136","50","22","bay","2","2.tif",0,0,1.27222193825778e-13,1.3407986164093
"137","50","22","bay","2","2.tif",0,0,2,0.993777215480804
"138","50","22","bay","2","2.tif",0,0,4,1.08943939208984
"139","50","22","bay","2","2.tif",0,0,6,0.990387678146362
"140","50","22","bay","2","2.tif",0,0,8,1.02852928638458
"141","50","22","bay","2","2.tif",0,0,10,1.12910497188568
"142","50","22","bay","2","2.tif",0,0,12,1.2121490240097
"143","50","22","bay","2","2.tif",0,0,14,1.16710913181305
"144","50","22","bay","2","2.tif",0,0,16,1.19997537136078
"145","50","22","bay","2","2.tif",0,0,18,1.11039853096008
"146","50","22","bay","2","2.tif",0,0,20,1.07974541187286
"147","50","22","bay","2","2.tif",0,0,22,1.31647992134094
"148","50","22","bay","2","2.tif",0,0,24,1.70065677165985
"149","50","22","bay","2","2.tif",0,0,26,1.80023300647736
"150","50","22","bay","2","2.tif",0,0,28,1.72289729118347
"151","50","22","bay","2","2.tif",0,0,30,1.69502055644989
"152","50","22","bay","2","2.tif",0,0,32,1.58097720146179
"153","50","22","bay","2","2.tif",0,0,34,1.69354248046875
"154","50","22","bay","2","2.tif",0,0,36,1.7078949213028
"155","50","22","bay","2","2.tif",0,0,38,1.54451620578766
"156","50","22","bay","2","2.tif",0,0,40,1.55188858509064
"157","50","22","bay","2","2.tif",0,0,42,1.71712565422058
"158","50","22","bay","2","2.tif",0,0,44,1.58952105045319
"159","50","22","bay","2","2.tif",0,0,46,1.49810540676117
"160","50","22","bay","2","2.tif",0,0,48,1.37222731113434
"161","50","22","bay","2","2.tif",0,0,50,1.32548463344574
"162","50","22","bay","2","2.tif",0,0,52,1.17563235759735
"163","50","22","bay","2","2.tif",0,0,54,1.26961493492126
"164","50","22","bay","2","2.tif",0,0,56,1.2280547618866
"165","50","22","bay","2","2.tif",0,0,58,1.04915332794189
"166","50","22","bay","2","2.tif",0,0,60,1.01015973091125
"167","50","22","bay","2","2.tif",0,0,62,1.06610178947449
"168","50","22","bay","2","2.tif",0,0,64,1.03342878818512
"169","50","22","bay","2","2.tif",0,0,66,0.890852689743042
"170","50","22","bay","2","2.tif",0,0,68,0.740970969200134
"171","50","22","bay","2","2.tif",0,0,70,0.668230354785919
"172","50","22","bay","2","2.tif",0,0,72,0.589987874031067
"173","50","22","bay","2","2.tif",0,0,74,0.593114197254181
"174","50","22","bay","2","2.tif",0,0,76,0.559415876865387
"175","50","22","bay","2","2.tif",0,0,78,0.568566679954529
"176","50","22","bay","2","2.tif",0,0,80,0.487206250429153
"177","50","22","bay","2","2.tif",0,0,82,0.498652666807175
"178","50","22","bay","2","2.tif",0,0,84,0.50767856836319
"179","50","22","bay","2","2.tif",0,0,86,0.537415862083435
"180","50","22","bay","2","2.tif",0,0,88,0.513802587985992
"181","50","22","bay","3","3.tif",0,0,90,0.437161266803741
"182","50","22","bay","3","3.tif",0,0,88,0.410380870103836
"183","50","22","bay","3","3.tif",0,0,86,0.384226232767105
"184","50","22","bay","3","3.tif",0,0,84,0.456979215145111
"185","50","22","bay","3","3.tif",0,0,82,0.479884654283524
"186","50","22","bay","3","3.tif",0,0,80,0.423118114471436
"187","50","22","bay","3","3.tif",0,0,78,0.454999774694443
"188","50","22","bay","3","3.tif",0,0,76,0.44943842291832
"189","50","22","bay","3","3.tif",0,0,74,0.417042881250381
"190","50","22","bay","3","3.tif",0,0,72,0.472461551427841
"191","50","22","bay","3","3.tif",0,0,70,0.431010067462921
"192","50","22","bay","3","3.tif",0,0,68,0.458755165338516
"193","50","22","bay","3","3.tif",0,0,66,0.479009747505188
"194","50","22","bay","3","3.tif",0,0,64,0.519134521484375
"195","50","22","bay","3","3.tif",0,0,62,0.580281674861908
"196","50","22","bay","3","3.tif",0,0,60,0.613337516784668
"197","50","22","bay","3","3.tif",0,0,58,0.624147236347198
"198","50","22","bay","3","3.tif",0,0,56,0.737821042537689
"199","50","22","bay","3","3.tif",0,0,54,0.856062412261963
"200","50","22","bay","3","3.tif",0,0,52,1.00788450241089
"201","50","22","bay","3","3.tif",0,0,50,0.899131298065186
"202","50","22","bay","3","3.tif",0,0,48,0.867444217205048
"203","50","22","bay","3","3.tif",0,0,46,0.959991097450256
"204","50","22","bay","3","3.tif",0,0,44,0.9935582280159
"205","50","22","bay","3","3.tif",0,0,42,0.957320153713226
"206","50","22","bay","3","3.tif",0,0,40,0.863926351070404
"207","50","22","bay","3","3.tif",0,0,38,1.04382455348969
"208","50","22","bay","3","3.tif",0,0,36,1.19229340553284
"209","50","22","bay","3","3.tif",0,0,34,1.3363082408905
"210","50","22","bay","3","3.tif",0,0,32,1.14175963401794
"211","50","22","bay","3","3.tif",0,0,30,1.23190343379974
"212","50","22","bay","3","3.tif",0,0,28,1.24865829944611
"213","50","22","bay","3","3.tif",0,0,26,1.16920721530914
"214","50","22","bay","3","3.tif",0,0,24,1.02685832977295
"215","50","22","bay","3","3.tif",0,0,22,1.2934023141861
"216","50","22","bay","3","3.tif",0,0,20,1.16211318969727
"217","50","22","bay","3","3.tif",0,0,18,1.40824854373932
"218","50","22","bay","3","3.tif",0,0,16,1.20197486877441
"219","50","22","bay","3","3.tif",0,0,14,1.35768330097198
"220","50","22","bay","3","3.tif",0,0,12,1.21220934391022
"221","50","22","bay","3","3.tif",0,0,10,1.29308116436005
"222","50","22","bay","3","3.tif",0,0,8,1.43157351016998
"223","50","22","bay","3","3.tif",0,0,6,1.2244588136673
"224","50","22","bay","3","3.tif",0,0,4,1.3237212896347
"225","50","22","bay","3","3.tif",0,0,2,1.40136778354645
"226","50","22","bay","3","3.tif",0,0,1.27222193825778e-13,1.65999412536621
"227","50","22","bay","3","3.tif",0,0,2,1.36777937412262
"228","50","22","bay","3","3.tif",0,0,4,1.73265361785889
"229","50","22","bay","3","3.tif",0,0,6,1.79496395587921
"230","50","22","bay","3","3.tif",0,0,8,1.82247173786163
"231","50","22","bay","3","3.tif",0,0,10,1.68579292297363
"232","50","22","bay","3","3.tif",0,0,12,1.54946386814117
"233","50","22","bay","3","3.tif",0,0,14,1.5619056224823
"234","50","22","bay","3","3.tif",0,0,16,1.5884176492691
"235","50","22","bay","3","3.tif",0,0,18,1.59476017951965
"236","50","22","bay","3","3.tif",0,0,20,1.48307836055756
"237","50","22","bay","3","3.tif",0,0,22,1.63863146305084
"238","50","22","bay","3","3.tif",0,0,24,2.1688539981842
"239","50","22","bay","3","3.tif",0,0,26,2.25214743614197
"240","50","22","bay","3","3.tif",0,0,28,2.01914477348328
"241","50","22","bay","3","3.tif",0,0,30,1.76187229156494
"242","50","22","bay","3","3.tif",0,0,32,1.90345931053162
"243","50","22","bay","3","3.tif",0,0,34,1.77868223190308
"244","50","22","bay","3","3.tif",0,0,36,1.91462421417236
"245","50","22","bay","3","3.tif",0,0,38,1.85960221290588
"246","50","22","bay","3","3.tif",0,0,40,1.45441329479218
"247","50","22","bay","3","3.tif",0,0,42,1.52591264247894
"248","50","22","bay","3","3.tif",0,0,44,1.56637036800385
"249","50","22","bay","3","3.tif",0,0,46,1.75842750072479
"250","50","22","bay","3","3.tif",0,0,48,1.7806134223938
"251","50","22","bay","3","3.tif",0,0,50,1.99636197090149
"252","50","22","bay","3","3.tif",0,0,52,1.82602941989899
"253","50","22","bay","3","3.tif",0,0,54,1.52006387710571
"254","50","22","bay","3","3.tif",0,0,56,1.26668858528137
"255","50","22","bay","3","3.tif",0,0,58,1.3087774515152
"256","50","22","bay","3","3.tif",0,0,60,1.13362407684326
"257","50","22","bay","3","3.tif",0,0,62,1.03771567344666
"258","50","22","bay","3","3.tif",0,0,64,0.862869679927826
"259","50","22","bay","3","3.tif",0,0,66,0.753335893154144
"260","50","22","bay","3","3.tif",0,0,68,0.760850310325623
"261","50","22","bay","3","3.tif",0,0,70,0.659810781478882
"262","50","22","bay","3","3.tif",0,0,72,0.540267407894135
"263","50","22","bay","3","3.tif",0,0,74,0.455490440130234
"264","50","22","bay","3","3.tif",0,0,76,0.417153745889664
"265","50","22","bay","3","3.tif",0,0,78,0.450380027294159
"266","50","22","bay","3","3.tif",0,0,80,0.363661915063858
"267","50","22","bay","3","3.tif",0,0,82,0.384071618318558
"268","50","22","bay","3","3.tif",0,0,84,0.372768700122833
"269","50","22","bay","3","3.tif",0,0,86,0.381462037563324
"270","50","22","bay","3","3.tif",0,0,88,0.34942427277565
"271","50","22","bay","4","1.tif",0,0,90,0.551292598247528
"272","50","22","bay","4","1.tif",0,0,88,0.428133368492126
"273","50","22","bay","4","1.tif",0,0,86,0.536694824695587
"274","50","22","bay","4","1.tif",0,0,84,0.555086076259613
"275","50","22","bay","4","1.tif",0,0,82,0.586574733257294
"276","50","22","bay","4","1.tif",0,0,80,0.605273425579071
"277","50","22","bay","4","1.tif",0,0,78,0.590580642223358
"278","50","22","bay","4","1.tif",0,0,76,0.696190774440765
"279","50","22","bay","4","1.tif",0,0,74,0.665140509605408
"280","50","22","bay","4","1.tif",0,0,72,0.713310301303864
