image,segment_id,length,direction,start_x,start_y,end_x,end_y,apex_id,intensity,intensity_ratio,diameter,rep_x,rep_y
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,2c7fff6a-1c1d-4a97-87b7-a3a2d38260fa,49.648766,9.2726108589,889,1695,897,1744,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1e6ea263-02ac-42b4-a4bc-0a7d66d5740f,32.55764,47.4895683219,1321,1703,1345,1725,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,79f36ddc-be41-48b6-9cb1-a3e546113a94,22.847319,23.1986002289,813,1714,804,1735,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,c42f8e86-e81c-4642-a674-578e60334fac,143.12582,55.5327171263,1028,1716,1146,1797,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,c2823a0c-9242-4c74-b7b5-8c5e1de0a65d,35,36.8699068716,991,1731,970,1759,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,619501f2-71c5-40e3-85ef-241df7848cde,50.24938,47.4195179018,1200,1747,1237,1781,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,35ec638f-3901-4fd4-a461-6b7322b459d5,24.41311,34.9920160277,1147,1750,1161,1770,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,eca7ecf9-d9c0-4dc3-8402-c8afa54505bf,68.942,23.9624899522,1073,1771,1101,1834,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,64f43f77-75be-4ee1-b642-a8ffb098bcb2,61,10.3888536481,885,1772,874,1832,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,387e46e9-43b0-4bd8-b749-51ff8f301bd3,77.62087,21.9384863351,916,1782,945,1854,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,f611cb32-fb3c-469b-b9db-15a4cd0290be,20.615528,67.1663597735,1157,1805,1176,1813,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,b7b1cb11-e171-43cb-b81e-11e04b58c830,42.201897,53.6731844643,1156,1807,1190,1832,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,7304e078-3559-4d4f-bf66-f0ec743199bf,57.45433,58.5231651902,1027,1817,1076,1847,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,4558eae0-f794-4792-80ea-d24b0dc537d8,20.808653,35.2176035156,1185,1819,1197,1836,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,989e7215-8ee0-4ecc-bc39-3d7bc61384d8,48.60041,53.3658805932,973,1830,1012,1859,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1c0f4a50-2df9-432d-ad0c-78b5ced45316,42.426407,44.9999916902,1203,1836,1233,1866,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,07aa9764-eb16-4bfe-a66f-cc1abe4c7fa9,85.42248,27.1649730422,849,1845,810,1921,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,4998893b-6ff0-40a6-a420-8aa4cca13c50,152.20053,60.9088136635,1082,1848,1215,1922,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,af8cae0e-f715-4f80-945d-b8e10a16bdb7,29.529646,28.3007529054,1294,1885,1308,1911,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,60becaea-59bb-4fdc-99f6-f356708595b0,36.23534,39.4006558836,816,1901,793,1929,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,f528777f-7022-4fe9-a6ec-e53aed019280,59.405388,53.901722594,1062,1901,1110,1936,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,691532e4-e953-4dc6-968e-8d5881fafbb6,49.648766,55.6697853625,1111,1930,1152,1958,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,bcd8afbd-a212-4aac-9c92-43c9785d7a97,32.984844,75.9637650014,822,1955,790,1963,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,7e189ddd-26ee-451d-b7ad-22eb1a3b2dac,33.526108,72.6459746578,962,1970,994,1980,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,53f47164-0b4f-4e77-a807-7d234882dc6f,49.40648,54.0578866727,890,1982,850,2011,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,f50d7e6f-c886-46e4-8635-25a1b792e8bc,70.66116,63.0723156977,886,2014,823,2046,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,6c8a0f95-43dc-476a-86df-a52aadf88fc7,33.970577,47.3859393253,895,2022,870,2045,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,a2e74165-42ce-4996-98c0-f9c3466c44ef,57.45433,58.5231638237,894,2051,845,2081,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,656e31a0-aa6e-41b1-ab37-7fde8cd1d3f0,99.80982,37.6736015709,911,2063,850,2142,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,a6412f48-1b25-461c-91f7-c3eb3ebdfd64,73.97973,9.3350101007,962,2123,950,2196,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,02752d23-757e-4b40-b261-9d70889dd263,20.248457,57.0947527022,900,2161,883,2172,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,07ab2d4d-907e-4ffa-a2bd-ef855a43333d,18.35756,60.6422436741,888,2189,872,2198,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,9f5fbbb1-18dd-45a3-ad81-42691ce84cd5,35,53.1301010966,943,2229,915,2250,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,f0b420db-436d-4f54-b80e-fc7ce73756db,31.622776,71.5650562405,954,2264,984,2274,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,25da2f26-2117-46e2-9b3a-a79fb5d50bd0,31.112698,44.9999916902,937,2295,959,2317,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,43d3cf37-23fc-4d9f-9472-022f9b7034ee,26.41969,60.5241087222,912,2326,889,2339,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,c787ebe8-4b7d-47b0-b778-6f18ecae035e,21.023796,64.6538337062,889,2412,908,2421,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,bc4b80d1-7e3e-4e07-96f3-9548530d7c0e,23.537205,77.7352305706,906,2422,929,2427,-1,-1,-1,-1,-1,-1
57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,03c83766-9688-4587-8112-7053a4302e30,85,8.7974195715,886,2540,873,2624,-1,-1,-1,-1,-1,-1
