"","experiment","das","phosphorus","plant","aq","x","y","angle","count"
"110","53","22","high","2","2.tif",0,0,52,1.4168229103
"111","53","22","high","2","2.tif",0,0,50,1.5902004242
"112","53","22","high","2","2.tif",0,0,48,1.4333173037
"113","53","22","high","2","2.tif",0,0,46,1.3253725767
"114","53","22","high","2","2.tif",0,0,44,1.2278145552
"115","53","22","high","2","2.tif",0,0,42,1.342266798
"116","53","22","high","2","2.tif",0,0,40,1.236179471
"117","53","22","high","2","2.tif",0,0,38,1.2495058775
"118","53","22","high","2","2.tif",0,0,36,1.3174064159
"119","53","22","high","2","2.tif",0,0,34,1.4127800465
"120","53","22","high","2","2.tif",0,0,32,1.5315080881
"121","53","22","high","2","2.tif",0,0,30,1.7058200836
"122","53","22","high","2","2.tif",0,0,28,1.7352930307
"123","53","22","high","2","2.tif",0,0,26,1.5514205694
"124","53","22","high","2","2.tif",0,0,24,1.3316082954
"125","53","22","high","2","2.tif",0,0,22,1.5131108761
"126","53","22","high","2","2.tif",0,0,20,1.5303702354
"127","53","22","high","2","2.tif",0,0,18,1.4030038118
"128","53","22","high","2","2.tif",0,0,16,1.2511137724
"129","53","22","high","2","2.tif",0,0,14,1.7551878691
"130","53","22","high","2","2.tif",0,0,12,1.6524208784
"131","53","22","high","2","2.tif",0,0,10,1.9643996954
"132","53","22","high","2","2.tif",0,0,8,3.0977857113
"133","53","22","high","2","2.tif",0,0,6,2.7995820045
"134","53","22","high","2","2.tif",0,0,4,2.0950241089
"135","53","22","high","2","2.tif",0,0,2,2.7865874767
"136","53","22","high","2","2.tif",0,0,1.27222193825778e-13,2.211735487
"137","53","22","high","2","2.tif",0,0,2,1.5918713808
"138","53","22","high","2","2.tif",0,0,4,2.0798766613
"139","53","22","high","2","2.tif",0,0,6,1.7228255272
"140","53","22","high","2","2.tif",0,0,8,1.5968211889
"141","53","22","high","2","2.tif",0,0,10,2.0169579983
"142","53","22","high","2","2.tif",0,0,12,2.13651824
"143","53","22","high","2","2.tif",0,0,14,2.1132109165
"144","53","22","high","2","2.tif",0,0,16,1.578435421
"145","53","22","high","2","2.tif",0,0,18,1.5482507944
"146","53","22","high","2","2.tif",0,0,20,1.6646947861
"147","53","22","high","2","2.tif",0,0,22,1.4202721119
"148","53","22","high","2","2.tif",0,0,24,1.0696254969
"149","53","22","high","2","2.tif",0,0,26,1.0760272741
"150","53","22","high","2","2.tif",0,0,28,0.9716135859
"151","53","22","high","2","2.tif",0,0,30,1.243593812
"152","53","22","high","2","2.tif",0,0,32,1.3861898184
"153","53","22","high","2","2.tif",0,0,34,1.2607313395
"154","53","22","high","2","2.tif",0,0,36,1.1124269962
"155","53","22","high","2","2.tif",0,0,38,1.1564290524
"156","53","22","high","2","2.tif",0,0,40,1.1524362564
"157","53","22","high","2","2.tif",0,0,42,1.2220253944
"158","53","22","high","2","2.tif",0,0,44,1.4629514217
"159","53","22","high","2","2.tif",0,0,46,1.6128422022
"160","53","22","high","2","2.tif",0,0,48,1.1339938641
"161","53","22","high","2","2.tif",0,0,50,1.12616539
"162","53","22","high","2","2.tif",0,0,52,1.0593630075
"163","53","22","high","2","2.tif",0,0,54,0.8997790217
"164","53","22","high","2","2.tif",0,0,56,0.8454554081
"165","53","22","high","2","2.tif",0,0,58,0.8828092217
"166","53","22","high","2","2.tif",0,0,60,0.6987423897
"167","53","22","high","2","2.tif",0,0,62,0.6203978062
"168","53","22","high","2","2.tif",0,0,64,0.4768660963
"169","53","22","high","2","2.tif",0,0,66,0.5086802244
"170","53","22","high","2","2.tif",0,0,68,0.4399891496
"171","53","22","high","2","2.tif",0,0,70,0.3938461542
"172","53","22","high","2","2.tif",0,0,72,0.3324991763
"173","53","22","high","2","2.tif",0,0,74,0.3160378337
"174","53","22","high","2","2.tif",0,0,76,0.3090161085
"175","53","22","high","2","2.tif",0,0,78,0.3426798284
"176","53","22","high","2","2.tif",0,0,80,0.3071160018
"177","53","22","high","2","2.tif",0,0,82,0.2552387416
"178","53","22","high","2","2.tif",0,0,84,0.2052050382
"179","53","22","high","2","2.tif",0,0,86,0.2047956437
"180","53","22","high","2","2.tif",0,0,88,0.2502712011
"181","53","22","high","3","1.tif",0,0,90,0.489341557
"182","53","22","high","3","1.tif",0,0,88,0.4206387103
"183","53","22","high","3","1.tif",0,0,86,0.4820883274
"184","53","22","high","3","1.tif",0,0,84,0.4712203145
"185","53","22","high","3","1.tif",0,0,82,0.4821356535
"186","53","22","high","3","1.tif",0,0,80,0.6578804851
"187","53","22","high","3","1.tif",0,0,78,0.5881655216
"188","53","22","high","3","1.tif",0,0,76,0.5785908103
"189","53","22","high","3","1.tif",0,0,74,0.5689473152
"190","53","22","high","3","1.tif",0,0,72,0.5686574578
"191","53","22","high","3","1.tif",0,0,70,0.76260674
"192","53","22","high","3","1.tif",0,0,68,0.738920927
"193","53","22","high","3","1.tif",0,0,66,0.7441769838
"194","53","22","high","3","1.tif",0,0,64,0.8390952349
"195","53","22","high","3","1.tif",0,0,62,0.7775950432
"196","53","22","high","3","1.tif",0,0,60,0.7708746195
"197","53","22","high","3","1.tif",0,0,58,0.9022652507
"198","53","22","high","3","1.tif",0,0,56,1.0297601223
"199","53","22","high","3","1.tif",0,0,54,1.2704826593
"200","53","22","high","3","1.tif",0,0,52,1.3652966022
"201","53","22","high","3","1.tif",0,0,50,1.2980344296
"202","53","22","high","3","1.tif",0,0,48,1.4842079878
"203","53","22","high","3","1.tif",0,0,46,1.7913218737
"204","53","22","high","3","1.tif",0,0,44,1.4712092876
"205","53","22","high","3","1.tif",0,0,42,1.2789775133
"206","53","22","high","3","1.tif",0,0,40,1.1754989624
"207","53","22","high","3","1.tif",0,0,38,1.1223906279
"208","53","22","high","3","1.tif",0,0,36,1.170437932
"209","53","22","high","3","1.tif",0,0,34,1.0206847191
"210","53","22","high","3","1.tif",0,0,32,1.050976634
"211","53","22","high","3","1.tif",0,0,30,1.4724066257
"212","53","22","high","3","1.tif",0,0,28,1.6710891724
"213","53","22","high","3","1.tif",0,0,26,1.7629848719
"214","53","22","high","3","1.tif",0,0,24,1.5502234697
"215","53","22","high","3","1.tif",0,0,22,1.5048816204
"216","53","22","high","3","1.tif",0,0,20,1.4845967293
"217","53","22","high","3","1.tif",0,0,18,1.4254513979
"218","53","22","high","3","1.tif",0,0,16,1.558139205
"219","53","22","high","3","1.tif",0,0,14,1.8725503683
"220","53","22","high","3","1.tif",0,0,12,1.834936738
"221","53","22","high","3","1.tif",0,0,10,1.7861685753
"222","53","22","high","3","1.tif",0,0,8,1.6749830246
"223","53","22","high","3","1.tif",0,0,6,1.4201651812
"224","53","22","high","3","1.tif",0,0,4,1.0037872791
"225","53","22","high","3","1.tif",0,0,2,1.4946608543
"226","53","22","high","3","1.tif",0,0,1.27222193825778e-13,2.1445174217
"227","53","22","high","3","1.tif",0,0,2,1.6880859137
"228","53","22","high","3","1.tif",0,0,4,1.5069177151
"229","53","22","high","3","1.tif",0,0,6,1.7096220255
"230","53","22","high","3","1.tif",0,0,8,1.5842756033
"231","53","22","high","3","1.tif",0,0,10,1.6722369194
"232","53","22","high","3","1.tif",0,0,12,1.6455863714
"233","53","22","high","3","1.tif",0,0,14,1.468132019
