landa,luciferase,area,mean,stdv,min,max
500,LUC2,6307,1007.26,7.134,981,1034
520,LUC2,6307,1018.401,20.276,984,1235
540,LUC2,6307,1034.698,46.778,992,1755
560,LUC2,6307,1068.749,94.968,999,2178
580,LUC2,6307,1072.401,107.392,996,2491
600,LUC2,6307,1052.101,84.744,987,2034
620,LUC2,6307,1054.376,92.031,995,2355
640,LUC2,6307,1028.657,36.849,988,1451
660,LUC2,6307,1020.63,25.201,989,1267
680,LUC2,6307,1015.374,16.316,984,1184
700,LUC2,6307,1010.99,8.682,981,1056
500,vLUC2,6650,1008.087,7.052,983,1032
520,vLUC2,6650,1028.803,31.851,991,1371
540,vLUC2,6650,1061.958,74.524,998,1678
560,vLUC2,6650,1142.179,197.685,1020,3123
580,vLUC2,6650,1152.52,224.956,1024,3658
600,vLUC2,6650,1111.138,171.877,1012,2791
620,vLUC2,6650,1118.982,196.256,1012,3152
640,vLUC2,6650,1059.649,90.409,996,2118
660,vLUC2,6650,1039.222,60.409,990,1749
680,vLUC2,6650,1027.557,39.873,984,1463
700,vLUC2,6650,1016.814,15.143,985,1157
500,vLUC2,7310,1008.215,7.207,981,1041
520,vLUC2,7310,1030.56,34.124,988,1428
540,vLUC2,7310,1065.557,80.856,997,2034
560,vLUC2,7310,1140.88,178.134,1023,2902
580,vLUC2,7310,1148.833,212.548,1025,4221
600,vLUC2,7310,1107.856,163.491,1012,3407
620,vLUC2,7310,1114.514,183.846,1007,3544
640,vLUC2,7310,1056.406,81.767,995,2134
660,vLUC2,7310,1036.988,53.291,992,1669
680,vLUC2,7310,1025.853,34.314,987,1483
700,vLUC2,7310,1015.981,14.053,982,1186
500,vLUC2,8840,1008.323,7.269,980,1055
520,vLUC2,8840,1034.75,47.725,991,1825
540,vLUC2,8840,1074.949,123.384,1003,3297
560,vLUC2,8840,1154.908,237.027,1018,5219
580,vLUC2,8840,1161.205,276.363,1011,6654
600,vLUC2,8840,1115.895,228.76,1013,5659
620,vLUC2,8840,1121.106,234.118,1010,4806
640,vLUC2,8840,1058.255,92.91,999,2516
660,vLUC2,8840,1037.949,61.69,991,2004
680,vLUC2,8840,1026.561,36.908,986,1567
700,vLUC2,8840,1016.505,14.306,985,1202
