,image,rep_id,intensity,intensity_ratio,diameter,rep_x,rep_y,growth,growth.x,growth.y,depth,width,6
31,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,d681401f-cbe1-45fd-bcff-ad7fff3a5060,6.672727,2.2207086,20.396078,462,852,0,0,0,6.1471861472,3.347826087,6
32,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,c4ddcf26-78d3-49a6-b53e-cf352afda6dc,8.789474,2.3443115,25.019993,591,862,0,0,0,6.2193362193,4.2826086957,6
33,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,8604364a-b658-4f8e-bacc-2fe02cc4c265,8.84375,2.4322731,17.117243,627,871,0,0,0,6.2842712843,4.5434782609,6
34,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,e0f101f2-3636-4a68-892d-e849067b2aa4,6.5772357,2.1742892,26.57066,545,902,0,0,0,6.5079365079,3.9492753623,6
35,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,f8ff8d76-832f-4650-ac03-b7b01faa4692,12.036697,2.6661584,18.788294,1454,903,0,0,0,6.5151515152,10.5362318841,6
36,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,cd7fa143-5d2e-4e6a-8ae6-12f32f2e310d,6.696552,2.0195673,26.925823,577,925,0,0,0,6.6738816739,4.1811594203,6
37,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,b1f2c9a0-87be-4a9f-8d72-3c453ad1e51e,8.044642,2.945616,30.083218,651,936,0,0,0,6.7532467532,4.7173913043,6
38,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,4d7d58b4-91ec-422e-993d-5ba1d54d687b,6.1055555,2.0090992,43.011627,1309,950,0,0,0,6.8542568543,9.4855072464,6
39,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,63cd21f4-3280-48af-a128-338d42248e08,7.010336,2.3321047,79.40403,1217,1019,0,0,0,7.3520923521,8.8188405797,6
40,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,53ab9f95-15d2-4f06-9aba-0e42320cc354,10.271394,2.6510355,53.712196,1619,1038,0,0,0,7.4891774892,11.731884058,6
41,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,4b1e2a38-4c71-4640-928a-d364724fce38,6.7530365,2.203837,52.46904,725,1059,0,0,0,7.6406926407,5.2536231884,6
42,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,3c6ebba6-3d95-43b9-83f7-44b4669fa80e,6.818182,2.1888888,23.769728,653,1055,0,0,0,7.6118326118,4.731884058,6
43,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,c04d60e4-980a-4bf5-87eb-1c8c575d3492,10.227758,2.697286,41.617306,1353,1077,0,0,0,7.7705627706,9.8043478261,6
44,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,7b60a577-90bf-4192-86e4-4e421d332408,7.168498,2.1635156,35.805027,566,1097,0,0,0,7.9148629149,4.1014492754,6
45,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,3022bd27-e16d-4a6d-94b1-6297e008d792,7.873016,2.3699596,26.076809,1300,1110,0,0,0,8.0086580087,9.4202898551,6
46,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,21698534-ed14-42e6-96f2-0f4b4fef7531,6.9797297,2.2536302,25.942244,770,1113,0,0,0,8.0303030303,5.5797101449,6
47,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,0e85c493-0813-4018-998b-48bf09cce2b0,8.666667,2.4015007,22.203604,1336,1126,0,0,0,8.1240981241,9.6811594203,6
48,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,8c9c6f4b-3d32-465f-9e0c-d0a4e9f733fd,10.752381,2.472985,25.632011,630,1172,0,0,0,8.455988456,4.5652173913,6
49,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,c0bcede9-64a2-498a-ac20-31f185e5932c,5.8844767,1.7883435,42.520584,178,1181,0,0,0,8.5209235209,1.2898550725,6
50,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,47919d5d-9bad-4344-b9e7-bdcdfc15ba1a,7.6056337,2.497531,33.61547,747,1177,0,0,0,8.4920634921,5.4130434783,6
51,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,5bd6b480-92c2-4244-845b-8f5c23c3ad8b,7.5859375,2.4335737,23.345236,1215,1198,0,0,0,8.6435786436,8.8043478261,6
52,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,ec6cd047-d4bf-4dc2-93e4-f5b8d45c897e,11.084906,2.6595745,18.867962,742,1209,0,0,0,8.7229437229,5.3768115942,6
53,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,c4d89a40-88be-46e5-8fd5-743efbfa5b9c,10.301587,2.7028763,54.451813,1017,1236,0,0,0,8.9177489177,7.3695652174,6
54,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,6e3cf1d5-cd73-4180-b152-d81cf702665e,6.885246,2.2476192,41.976185,850,1242,0,0,0,8.961038961,6.1594202899,6
55,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,4696d7b0-adfd-43b2-85b6-d8fb43da50c9,14.237288,2.610119,21.587032,1301,1245,0,0,0,8.9826839827,9.4275362319,6
56,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,0ae37972-1706-4d28-b759-fcd919fb0f33,7.0684934,1.8846898,32.572994,507,1259,0,0,0,9.0836940837,3.6739130435,6
57,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,d230f3b1-5165-4b25-9a2d-41fd64b9fe90,8.048696,2.2659895,86.127815,1693,1291,0,0,0,9.3145743146,12.268115942,6
58,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,32b6ab63-0d55-4d30-a59a-5ea3e6fb7df9,7.536965,2.204956,32.24903,742,1271,0,0,0,9.1702741703,5.3768115942,6
59,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,66b8a741-b72f-4db5-b685-c4bb8d59f370,15.770492,2.8635654,32.202484,1309,1278,0,0,0,9.2207792208,9.4855072464,6
60,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,dadc047a-d578-462a-a3f0-72c87c94e8cd,10.265525,2.3347936,52.46904,1429,1292,0,0,0,9.3217893218,10.3550724638,6
61,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,41e455e0-9a14-4caa-adc8-4729513e9456,6.403415,1.8948333,119.85408,1500,1365,0,0,0,9.8484848485,10.8695652174,6
62,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,5477efe3-9eab-4e34-a9e4-e2082f119831,7.443439,2.1781154,35.608986,582,1360,0,0,0,9.8124098124,4.2173913043,6
63,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,9e3b4d23-1113-4abd-8a0a-47e4ebc0db70,8.081579,2.0618691,60.74537,1397,1384,0,0,0,9.9855699856,10.1231884058,6
64,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,567e37e0-c114-4cc0-addf-e88ddc8339b7,5.136752,2.3627288,30.805843,802,1407,0,0,0,10.1515151515,5.8115942029,6
65,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,4c2a7a9d-ac94-49b6-849f-e3d87ed3389f,11.06701,2.5687006,53.75872,801,1470,0,0,0,10.6060606061,5.8043478261,6
66,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,215a6957-7af1-408e-9b3d-d44ffc10360b,5.581081,1.5569007,41.4367,663,1491,0,0,0,10.7575757576,4.8043478261,6
67,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,cad56bb3-e5c4-4ba0-b888-57bd63455185,8.782609,2.2779348,24.083189,753,1509,0,0,0,10.8874458874,5.4565217391,6
68,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,85d42497-9a1c-47fd-b609-235c31d86934,9.315789,2.368039,21.260292,1121,1569,0,0,0,11.3203463203,8.1231884058,6
69,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,0f126333-791a-445a-b7f8-04a61cabf8c4,5.5545025,1.6143345,56.400356,697,1598,0,0,0,11.5295815296,5.0507246377,6
70,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,e1586f67-d2a7-4285-a518-f51dd6e7ed15,12.831169,3.200607,47.042534,980,1636,0,0,0,11.8037518038,7.1014492754,6
71,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,3a3ef47a-a305-445e-aaa8-81fa53a9a095,12.079365,2.8830488,24.083189,890,1679,0,0,0,12.113997114,6.4492753623,6
72,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,1055a0c4-a0e5-41a2-899b-aaa412c674a7,10.59396,2.5764966,42.544094,813,1713,0,0,0,12.3593073593,5.8913043478,6
73,57-ZAT12-5-R24-SR1-FLT542-C-AQ1.tif,597cabc7-0e97-41c2-ad73-a86183990662,12.646826,2.6557891,27.45906,982,1742,0,0,0,12.5685425685,7.115942029,6
