"","experiment","das","phosphorus","plant","aq","area","convexhull","depth","width","circularity","ar","round","solidity","feret","feret_angle","massX","massY","shoot_area"
"1","53","22","high","1","1.tif",3.5987585,63.023968,13.636363,6.4357862,0.70391905,1.9948723,0.5012852,0.99585104,13.700832,84.43952,0,6.2603593,2.672
"2","53","22","high","2","2.tif",2.203648,51.618633,11.197691,8.138528,0.719122,1.6206166,0.6170491,0.99500287,11.271097,83.45729,0,5.217075,2.037
"3","53","22","high","3","1.tif",4.423122,43.09556,12.092352,4.8917747,0.6577655,2.3921294,0.4180376,0.99511737,12.096148,88.56448,0,5.866831,2.223
"4","53","22","high","4","2.tif",1.5933402,22.300304,8.903318,3.4199133,0.62765276,2.5059464,0.39905086,0.99333584,8.915285,92.96892,0,4.3351874,1.023
"5","53","22","high","5","3.tif",3.8575811,57.05019,13.7806635,6.7821064,0.61710495,2.072573,0.48249206,0.99517995,13.783685,91.19974,0,5.921385,1.946
"6","53","22","low","1","1.tif",2.269863,75.03232,12.597402,10.34632,0.7700687,1.2751664,0.7842114,0.9961367,12.859483,78.41267,0,5.7395625,0.677
"7","53","22","low","2","2.tif",2.4224927,59.267376,9.682539,8.903318,0.7877814,1.2398834,0.80652744,0.99590623,10.297491,142.7447,0,5.061545,0.79
"8","53","22","low","3","3.tif",3.474239,88.74167,15.598845,10.1442995,0.67825603,1.6638229,0.60102546,0.9962528,15.669494,84.55717,0,7.2209754,1.134
"9","53","22","low","4","4.tif",2.414164,52.57418,13.001442,6.363636,0.620939,2.1007676,0.4760165,0.995309,13.067587,84.23275,0,5.444345,0.65
"10","53","22","low","5","5.tif",1.8184315,36.646194,10.4329,5.656565,0.6600378,1.8822308,0.5312845,0.9944821,10.506448,83.216606,0,4.8000083,0.592
"11","53","22","low","6","6.tif",2.372727,42.290142,9.509379,6.9264064,0.78823197,1.4232463,0.7026191,0.9951004,9.7462435,77.34238,0,4.350571,0.673
"12","53","27","high","1","1.tif",5.3222365,102.39875,15.2958145,8.585858,0.76324254,1.7762611,0.5629803,0.9971208,15.579237,79.054344,0,7.1489854,4.754
"13","53","27","high","2","3.tif",4.938064,72.175674,12.626262,7.8499274,0.7958344,1.6443079,0.60815865,0.9961576,12.786857,80.90972,0,6.1824207,4.342
"14","53","27","high","3","4.tif",9.240833,74.03034,13.809524,7.359307,0.75429,1.7932028,0.5576614,0.9961014,13.811453,89.04217,0,6.564033,3.669
"15","53","27","high","4","5.tif",1.8913101,32.59392,9.89899,4.6897545,0.6897861,2.0988214,0.4764579,0.99432117,9.9040785,88.163155,0,4.946255,2.222
"16","53","27","high","5","6.tif",4.6305146,90.41371,16.262625,8.268398,0.6973578,1.9752214,0.5062724,0.99655277,16.33851,95.52429,0,7.3696303,3.895
"17","53","27","low","1","1.tif",2.0676768,94.82684,14.9927845,10.18759,0.7236046,1.5141841,0.66042167,0.99666035,15.10613,82.976814,0,6.3719296,1.328
"18","53","27","low","2","2.tif",2.2800674,87.20684,11.702742,10.057719,0.868784,1.1271307,0.8872085,0.9968569,11.914561,79.17999,0,5.5946016,1.432
"19","53","27","low","3","3.tif",3.061952,112.5364,17.431458,10.70707,0.69702053,1.6403474,0.60962695,0.99682665,17.583693,82.45507,0,7.8888497,1.943
"20","53","27","low","4","4.tif",6.455818,100.27173,14.906204,9.826839,0.7435755,1.6735313,0.5975389,0.996773,15.109058,80.60065,0,7.0792685,1.221
"21","53","27","low","5","5.tif",1.702242,67.256355,13.131312,7.965368,0.7166831,1.637785,0.6105808,0.99594986,13.191188,95.46113,0,5.7961283,0.933
"22","53","27","low","6","6.tif",1.7863648,67.58035,11.03896,10.15873,0.8037429,1.1471206,0.8717479,0.9958699,11.1717205,81.15819,0,5.099727,0.979
