image,time_in_serie,segment_id,length,direction,start_x,start_y,end_x,end_y,environment,reporter_id,intensity,intensity_ratio,diameter,rep_x,rep_y
60-15-col-wd-2.tif,1,7ee27ede-1f81-4c1f-8cb1-68688ef7c582,28.301943,32.00539286971133,1018,793,1033,817,40.5227,-1,-1,-1,-1,-1,-1
60-15-col-wd-2.tif,1,4e89cde5-a937-43e6-b6f3-247863787438,61.09828,21.10484808647783,1033,817,1055,874,41.4675,-1,-1,-1,-1,-1,-1
60-15-col-wd-2.tif,1,80c6ff9f-83c4-4e71-8f65-77b3bd262e61,116.70904,12.369062092297554,1029,896,1004,1010,40.8556,-1,-1,-1,-1,-1,-1
60-15-col-wd-2.tif,1,e42a372b-3f68-4ac2-a474-329d91fe860c,107.37784,4.807960718823381,1007,1079,998,1186,41.9473,-1,-1,-1,-1,-1,-1
60-15-col-wd-2.tif,1,495cf242-6349-404b-a67d-1589dc20a29e,36.345562,7.907172715095044,1006,1185,1001,1221,40.8261,-1,-1,-1,-1,-1,-1
60-15-col-wd-2.tif,1,690287f1-d51c-46bb-91da-74dccb8e805b,57.31492,6.009009869725787,1009,1277,1015,1334,42.6875,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,ae0467bb-72e3-4913-87d9-73807636d840,32.449963,56.30992298541568,893,10,866,28,38.56141,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,405d7e6c-320b-4ea8-92ab-10d0a07391c8,59.3043,84.193296007779,865,24,806,30,38.7835,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,305a52e6-8856-4f16-802e-4ae9ed36c513,83.761566,33.31064202010077,923,24,969,94,40.9007,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,d51437c6-12f1-46aa-b218-3fd9302749b8,35.341194,64.885157186475,928,51,896,66,41.621,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,05a598e0-7b91-4433-8bf4-c62ec652a15d,53.450912,17.417966614018326,926,68,942,119,41.3652,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,2b3b56df-5bec-4c3f-a4b4-9d33919fe894,20.248457,57.09475270218519,845,73,828,84,40.0635,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,efb02988-f081-4ade-9c7f-05edd245cdbe,30.870699,65.09522648458793,925,78,897,91,42.0718,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,4b0058a8-17a6-4faf-9785-357fb0be728b,79.30952,5.06362835983532,898,92,891,171,42.3942,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,d2d2d8f7-9b49-401f-858b-bc3c183aaad3,62.225395,44.99999169020066,966,95,1010,139,40.7054,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,358c8bdf-71f0-4402-b7a7-9bab3140f4ab,43.081318,68.19859123587491,894,96,854,112,39.4028,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,fc218663-c77d-497c-9b6a-849b8c15fd44,58.5235,56.85299269281404,828,134,877,166,41.9002,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,05f7f4de-6071-4fc0-acad-a1e391a0278f,64.03124,14.470302855050932,1010,140,1026,202,40.7112,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,1da72805-b803-4bbe-978e-d3796075644c,61.073727,50.31453456263091,973,155,1020,194,40.8061,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,3b50ca94-2082-4e6a-ae0a-83466b707997,139.58868,28.217341268774902,890,167,824,290,41.6314,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,41501777-9b23-48af-b52e-959d43dde1fd,29.068884,63.43494546763185,943,169,969,182,41.2417,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,b69efed6-b062-43a3-9ede-0aa4b2fb9b84,41.59327,9.688787945448496,943,171,950,212,40.0536,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,d7c68851-0725-4b0d-af32-44a752d33797,297.6592,32.5154700304372,948,172,788,423,42.3147,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,5a5706f9-de57-428a-b2e9-1fe81ab249df,51.40039,52.907165088541035,966,183,1007,214,41.6803,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,c1043909-8e7c-40a9-aeee-1c1ea5bd06bc,32.649654,27.349881289917278,1025,203,1040,232,42.8788,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,f42e7b7d-f52c-4a9c-8ca9-1a1a977133c8,29.15476,30.963761700527698,960,212,975,237,41.6085,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,06ec638d-f708-4867-9e76-d59a0a2de721,104.89042,41.13454038558967,946,235,877,314,40.2375,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,5789b328-91c6-4c1a-acfb-996ad0ca2687,73.409805,24.12097766168546,1056,253,1086,320,43.3652,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,1888a766-1d72-4e34-9c79-baab5560e39a,27.202942,72.89727097771407,1128,262,1154,270,40.9215,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,bcc75e32-eff4-4756-a767-cc5e4c4bb976,63.529522,28.178600435802593,1183,280,1153,336,43.2956,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,ead3ea11-c74f-4bc5-a3a6-e728c4cc8915,99.764725,47.03090745876892,1042,292,1115,360,43.953,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,314f6b54-da15-493a-81be-2800d96d1cda,28.635643,65.2248648415254,974,313,1000,325,39.5502,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,95a7f02e-1164-4bb9-b600-3c3e363b2d55,61.81424,9.30993101256621,942,315,952,376,41.5279,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,80c30759-aa9f-4451-8a35-9f9c5983524a,37.01351,51.581944465018466,1088,327,1117,350,44.6058,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,426edef0-7df4-405e-8aba-737465bcbe6e,130.80138,36.60708255884566,1011,334,1089,439,38.515,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,13eafbb8-74ee-4e38-a74f-208ac661c9bc,26.0,67.38012966763227,883,344,859,354,41.6511,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,3ff2a444-8c16-43e7-852a-62e71fce2e3d,49.396355,21.370623040970713,802,345,784,391,42.1258,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,35f630c3-dd33-41a0-b683-35b909b9cd2e,129.80756,68.77234078653433,727,355,606,402,41.9293,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,06f1b92a-70b9-4ae6-9fa5-4f818ad77cfe,46.69047,46.735705316350305,783,363,749,395,41.7263,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,d3a131d2-d074-4537-93f5-7e2c71ce9e17,43.13931,45.939197342590774,1198,363,1229,393,40.0641,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,450d8ba6-d5f4-4b51-b937-307879254d26,32.202484,53.841808174565585,951,377,977,396,41.2653,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,bd1d4674-a1ae-4a8f-8a5d-a69f07a0e6b4,63.387695,6.3401920822013835,949,379,956,442,40.7569,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,f4e0e27e-3bea-4a9d-b0a4-7c194c4adc80,99.985,30.66891609443661,1141,380,1192,466,42.196,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,1a1fa65c-0b30-4504-8525-3a9294e95d8e,109.98637,49.794223045547,743,400,659,471,44.5311,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,408ad3c0-31ea-43bb-81c4-7bf8e105acf4,115.12167,57.41429763880569,984,400,1081,462,38.8648,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,ffbfd01e-372f-4734-b6bd-2795ff463204,70.45566,34.59228467022797,779,402,739,460,41.6767,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,5a78a346-a79d-4b84-b00c-5a22f53e7673,33.600594,53.471146102196656,930,442,903,462,38.3037,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,c226c095-00b6-4f94-ab57-6fa7a3a047f0,84.0238,51.76616832731207,955,443,1021,495,39.9651,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,03e73948-dead-4ea4-8633-c9d43fcb221b,75.10659,3.0528753096969012,956,445,952,520,40.4626,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,7b7773f7-10c5-4646-bbb6-4104e6504519,24.758837,43.363423723552216,1120,464,1137,482,38.5714,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,e371d89b-4a52-4e4b-9462-57fba838cdbd,92.76314,48.058699298203436,871,483,802,545,40.2075,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,39dfb54e-287a-4f0e-884b-c73f5471ad8e,48.8774,59.237275128282135,1146,489,1188,514,41.2782,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,c5261c14-c604-4d58-93f7-a760f367d46e,31.304953,63.43494546763185,1028,500,1056,514,39.4867,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,538eeac2-53d3-4e9b-a167-3cb8c51d2bbd,116.41735,76.08311709341814,1064,516,1177,544,39.6004,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,7d7616cf-8906-40b8-b0aa-103e8e43f64a,181.5957,62.44719083062131,943,543,1104,627,41.3371,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,fa057383-9885-49a6-bc0a-fbbcf1b296fe,64.84597,17.037769597568087,955,574,936,636,40.2379,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,68143c39-a462-43fd-b9d5-29fa07b7f200,144.91722,58.83283094027831,938,624,814,699,42.8565,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,fb0c9bc5-a952-4375-af19-2dd23c1a8ed9,89.1852,59.69730202926081,912,718,989,763,40.2295,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,e8cb6313-961d-4c8a-9a1d-7c92f7490d10,36.619667,55.00796735269688,1054,781,1084,802,40.3135,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,366f4689-c900-4f3f-aeed-ca26684e2689,42.755116,79.21571368786215,894,793,852,801,41.7954,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,fee8fd52-0b27-4a06-b311-9a015737fb21,38.470768,8.972628950594299,950,879,956,917,40.5028,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,2972491b-c74c-4971-9959-dc00b0a50a29,37.215588,30.699732541481012,947,1050,928,1082,39.651,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,79bb44fd-b991-4f7c-ba57-6bda0ee19584,85.146935,3.366462954870542,984,1171,979,1256,37.8611,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,69f9a22e-ce76-4784-b3fc-2a50b8b4f3bf,108.52189,16.598096660316003,978,1275,947,1379,39.0241,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,2,a614d717-b651-4ef3-ac07-ba77636d44cf,26.400757,24.62356893508101,904,1438,893,1462,38.8117,-1,-1,-1,-1,-1,-1
60-16-col-wd-2.tif,3,16644f12-52a3-41f4-b88a-0c70e80ab20b,35.35534,8.13011145609488,965,19,970,54,45.0864,-1,-1,-1,-1,-1,-1
60-16-col-wd-2.tif,3,7ce61db0-e4e0-4335-b4c7-bea045db9b21,55.145264,4.1596391628057745,942,34,938,89,43.8253,-1,-1,-1,-1,-1,-1
60-16-col-wd-2.tif,3,be6ec2b8-4399-4c98-98e1-25c023f7b21f,81.58431,78.69007598971632,925,97,845,113,43.984,-1,-1,-1,-1,-1,-1
60-16-col-wd-2.tif,3,771fef1e-ad6d-4531-b853-fd6d03d841e6,26.172504,6.581952091572475,930,112,927,138,42.6502,-1,-1,-1,-1,-1,-1
60-16-col-wd-2.tif,3,f41e4fb2-f85f-4d4f-b898-812a213a84b6,59.20304,37.45058360058556,995,113,1031,160,44.1919,-1,-1,-1,-1,-1,-1
60-16-col-wd-2.tif,3,af104308-b78e-4318-b702-5793a460205c,44.14748,13.091888718272344,827,124,837,167,42.6716,-1,-1,-1,-1,-1,-1
60-16-col-wd-2.tif,3,fe53a722-d2c0-4b73-ad6c-87dfd22c9cf0,45.35416,14.036256627184315,926,152,915,196,41.1259,-1,-1,-1,-1,-1,-1
60-16-col-wd-2.tif,3,601235d2-bd62-45a7-876a-98bce710a530,81.63332,30.963760334037033,803,153,761,223,41.3727,-1,-1,-1,-1,-1,-1
60-16-col-wd-2.tif,3,92624f07-9f60-402a-bd07-265d68268d7c,50.77401,32.12500314245659,1031,161,1058,204,43.3573,-1,-1,-1,-1,-1,-1
60-16-col-wd-2.tif,3,25397865-bf07-4acc-9833-5044199d69a4,53.75872,43.49256894037882,932,202,969,241,42.2883,-1,-1,-1,-1,-1,-1
60-16-col-wd-2.tif,3,97a313e7-0999-451a-9c2f-fb50dce55194,35.383614,47.290603544900506,757,232,731,256,40.6073,-1,-1,-1,-1,-1,-1
60-16-col-wd-2.tif,3,50fe4acd-96c3-4971-b771-f232764e2385,39.623226,47.045414780566034,970,238,999,265,41.5064,-1,-1,-1,-1,-1,-1
60-16-col-wd-2.tif,3,c8b44f9b-44c1-4e8d-8390-b0bd64fdc3d7,25.96151,15.642252667107755,1007,240,1000,265,41.5676,-1,-1,-1,-1,-1,-1
60-16-col-wd-2.tif,3,50ac683f-05fd-41ed-a17b-91bf6e275a39,120.20815,16.92750439009808,1148,257,1183,372,41.6294,-1,-1,-1,-1,-1,-1
60-16-col-wd-2.tif,3,2759f3f6-4cfd-40be-ab0c-4574ce58088f,37.85499,12.200465702824943,1004,266,996,303,42.6845,-1,-1,-1,-1,-1,-1
60-16-col-wd-2.tif,3,de135e41-308b-44cc-aeef-e087424464de,29.732138,19.653815378443653,988,269,998,297,42.59,-1,-1,-1,-1,-1,-1
60-16-col-wd-2.tif,3,47fffdac-3546-4d9d-9f5d-dfcf96d3966b,87.46428,5.906147220825403,958,288,967,375,43.8548,-1,-1,-1,-1,-1,-1
60-16-col-wd-2.tif,3,8dab1c9b-0487-4138-b30f-0199aa21e4d6,43.68066,15.945405149720273,876,296,888,338,43.5983,-1,-1,-1,-1,-1,-1
60-16-col-wd-2.tif,3,77264bd0-8906-4965-b6e0-0dd9ee86c40f,81.9878,30.004912424084637,1045,306,1086,377,42.7705,-1,-1,-1,-1,-1,-1
60-16-col-wd-2.tif,3,0970df4e-5578-4fa1-847b-ab1c3e80cdd2,28.635643,65.22484981465641,957,315,931,327,42.9595,-1,-1,-1,-1,-1,-1
