 angle,col_wd,col_ww,miz_wd,miz_ww,tir_wd,tir_ww
82,0.3029543757,0.5435899496,0.2217469364,0.6398019195,0.8563713431,0.8322857022
84,0.2855359614,0.481125623,0.2297502011,0.5908223391,0.9076654315,1.1264650822
86,0.2462337762,0.5304239988,0.224781543,0.5914670229,0.9533417821,1.1978498697
88,0.2485448122,0.3993117213,0.2377907783,0.6256215572,1.0153375864,1.4487979412
-90,0.2781962156,1.3197746277,0.4741944969,0.8918073773,1.5626918077,1.9312542677
-88,0.2964874208,1.0206296444,0.3411300182,0.700907886,1.2855129242,1.0118309259
-86,0.3195054233,1.0201058388,0.3339504004,0.6132294536,1.2448958158,0.9579868317
-84,0.349059552,1.0737285614,0.3050076962,0.5918987393,1.1664303541,0.8157488108
-82,0.3406659067,1.0998672247,0.3421160877,0.709800899,1.4497748613,0.855601728
-80,0.39903754,0.942784965,0.3194573224,0.6335505843,1.3609462976,0.8579525352
-78,0.4265104532,1.0892834663,0.31544891,0.6869506836,1.7784745693,0.9613332152
-76,0.4795742333,1.0488569736,0.3652729988,0.7460477948,1.4966833591,0.9180474877
-74,0.5061757565,0.9422169328,0.4262399077,0.72378546,1.4863168001,0.8970864415
-72,0.612218976,1.0069828033,0.379440248,0.8510361314,1.3994321823,0.8502586484
-70,0.639413774,1.1709272861,0.5656856298,0.7768124938,1.4554445744,0.6884089112
-68,0.8202848434,1.2720010281,0.4865597188,0.745585978,1.4339740276,0.7272843122
-66,0.7504942417,1.3338367939,0.6375602484,0.7965363264,1.5285983086,0.7018590569
-64,0.9069990516,1.4403295517,0.6110808849,0.7940679193,1.6271970272,0.867844522
-62,0.9550512433,1.4384795427,0.554777801,0.8180559874,1.5232040882,0.7404490709
-60,1.0626764297,1.695327282,0.7654935718,0.890286088,1.343359828,0.7033598423
-58,1.239287734,1.5671098232,0.6761463284,0.8987352252,1.8000907898,0.8319256306
-56,1.1311187744,1.6693758965,0.826187253,1.0213757753,1.4799363613,0.9237676859
-54,1.1860692501,1.407158494,0.7929974198,0.9641271234,1.2109371424,0.7533612251
-52,1.1767497063,1.3423085213,0.9214086533,0.928099215,1.3335127831,0.7385497689
-50,1.0175168514,1.4714363813,1.0511697531,0.8596007824,1.271361351,0.9441859722
-48,1.0769162178,1.3708540201,0.9541047215,0.909870863,1.2396397591,0.9912385345
-46,1.3224455118,1.5732086897,1.2416398525,1.2085182667,1.1885257959,1.138222456
-44,1.1380542517,1.3684234619,1.1466267109,1.0017535686,1.0461660624,0.886950016
-42,1.2852102518,1.4691727161,1.2816317081,0.8531156182,1.0234459639,1.1658722162
-40,1.3469458818,1.5049134493,1.3871296644,0.8843211532,1.0272928476,1.1743173599
-38,1.1072577238,1.5671467781,1.5173648596,1.0058983564,1.1422042847,1.1044147015
-36,1.2723606825,1.7048783302,1.6263689995,1.0830862522,1.1199686527,1.2285631895
-34,1.1700406075,2.0540611744,1.9813808203,1.10653162,1.3254520893,1.237921834
-32,1.2398486137,1.6838256121,2.1163814068,1.1523102522,1.2220782042,1.4712980986
-30,1.2578599453,1.6250315905,1.9443832636,1.0177699327,1.3678077459,1.2780098915
-28,1.3653868437,1.5307276249,1.9479792118,1.1923966408,1.1546905041,1.3767958879
-26,1.3856585026,1.5566898584,2.0497620106,1.1767712831,1.0484029055,1.3699655533
-24,1.4595952034,1.5196812153,2.0642921925,1.2700526714,1.0462362766,1.5448781252
-22,1.6418968439,1.3254905939,1.7902208567,1.3292686939,0.933108151,1.3407084942
-20,1.6298476458,1.3574531078,1.8349792957,1.5363286734,1.094855547,1.3350487947
-18,1.6851381063,1.4716572762,1.9023116827,1.3754571676,1.1302610636,1.6699764729
-16,1.5083600283,1.3936806917,1.8310209513,1.5001159906,0.9995787144,1.6782699823
-14,1.8028357029,1.388880372,2.007712841,1.4786995649,1.0688507557,1.7096195221
-12,1.4567734003,1.0551241636,1.7512311935,1.4779875278,0.8702717423,1.4197478294
-10,1.5162146091,1.0653598309,1.7080349922,1.4441562891,1.0111377239,1.4226154089
-8,1.4923505783,1.1358510256,1.770128727,1.4795117378,0.9371100664,1.2809152603
-6,1.5364249945,1.070409894,1.7694556713,1.5042244196,0.8921348453,1.2839846611
-4,1.8388103247,1.1725171804,1.8813673258,1.3939726353,0.8170856833,1.4260399342
-2,2.0022933483,1.1527125835,2.0607862473,1.4727184772,0.8013026118,1.6008070707
1.27222193825778E-013,2.7851510048,1.3794423342,2.9662446976,1.699843049,1.1451258659,1.9053848982
2,1.573651433,1.134257555,1.7148476839,1.296359539,0.8285836577,1.3030177355
4,1.4203094244,1.0838428736,1.7251330614,1.3150607347,0.9545134902,1.5276685953
6,1.4149317741,1.0310839415,1.6161416769,1.361847043,0.9595149755,1.2469661236
8,1.4630920887,0.8718393445,1.6903355122,1.4357708693,1.0441002846,1.4125916958
10,1.5138301849,0.8749474883,1.8457465172,1.5624269247,0.9477657676,1.4630112648
12,1.7492449284,1.0918148756,2.2664353848,1.5048267841,1.0488880873,1.569722414
14,1.4988651276,0.84046942,1.8927241564,1.5971544981,0.8073286414,1.3176176548
16,1.7003358603,0.8998143077,1.6589580774,1.4386130571,0.7773136497,1.2701812983
18,1.6684607267,0.9618359804,1.7523150444,1.321706295,0.8015750051,1.2045382261
20,1.7019103765,0.8343527913,1.5414056778,1.5007687807,0.8516498208,1.1063137054
22,1.5455327034,0.8290105462,1.4935908318,1.3831595182,0.8399140835,0.9362903833
24,1.6001143456,0.8261360526,1.4328752756,1.2842051983,0.7035898566,1.1119737625
26,1.5291874409,0.8511657119,1.5082293749,1.4923684597,0.8193318844,1.0229010582
28,1.4948275089,0.7491291165,1.3382656574,1.3754107952,0.7560115457,1.1901845932
30,1.5122002363,0.7204192281,1.2897678614,1.4178711176,0.7670160532,1.0730222464
32,1.5655661821,0.6921164393,1.4670138359,1.3689687252,0.8407771587,1.0650624037
34,1.3944379091,0.7183008194,1.3046078682,1.3609335423,0.8046687841,0.9836143851
36,1.5375852585,0.7631553411,1.1169044971,1.5571233034,0.8225015998,0.7652028799
38,1.424554944,0.7196334004,1.0281157494,1.3618980646,0.6671908498,0.934318006
40,1.5441128016,0.8335066438,1.0588643551,1.4025915861,0.8523483276,0.8378366828
42,1.4151550531,0.788708508,0.9354555011,1.3188818693,0.7695076466,0.8924813867
44,1.6028963327,0.8993638754,1.0792483091,1.6073439121,0.9883878231,1.0381102562
46,1.26935637,0.8566439152,0.8524036407,1.1947276592,0.8096950054,0.9687407017
48,1.1681501865,0.9570843577,0.7662628293,1.1704146862,0.8116556406,0.9355041981
50,1.011431694,0.8268342614,0.7972448468,1.1768195629,0.8507524133,0.8223957419
52,1.0274909735,0.8306586742,0.6274456382,1.123275876,0.8531181216,0.7204761505
54,0.9272487164,1.0297156572,0.8039921522,1.3045867682,0.8499151468,0.7881026864
56,0.8490024209,0.8374179006,0.7307741642,1.1365462542,0.9703961611,0.7377809286
58,0.7719471455,0.8169395924,0.6853847504,1.1091915369,0.9600633979,0.7987221479
60,0.7664014697,0.9510152936,0.6294029355,1.0983775854,0.9949906468,0.7680603862
62,0.7307266593,0.8803583384,0.523550868,1.1239570379,1.071985364,0.8606237769
64,0.6910393834,0.85982126,0.5411230922,1.0196075439,1.2294197083,0.8427545428
66,0.6598852873,0.8583657146,0.4543271959,0.9556859136,0.9872888327,0.8808224797
68,0.5729706287,0.8695822954,0.4016903639,0.8936712146,1.2411645651,0.903293848
70,0.4953565598,0.993273437,0.378809154,0.9117669463,1.1764471531,0.9171010852
72,0.4774785042,1.0074791908,0.4891885817,0.8020733595,1.3147844076,1.1553666592
74,0.4509350359,0.8183920383,0.3869100511,0.8577995896,1.3454220295,1.1334501505
76,0.3499032557,1.0183230639,0.3675216734,0.7628557086,1.7195549011,1.3124206066
78,0.2953575253,0.8129782081,0.3157740235,0.6353735328,1.2165496349,1.0295237303
80,0.3242587447,0.759465456,0.3075495064,0.7483097911,1.3925429583,1.2389111519
82,0.2821910381,0.6734631658,0.2867842317,0.6464729905,1.2031620741,1.058835268
84,0.2463766932,0.7255236506,0.3196689785,0.6207178831,1.1862221956,1.2104679346
86,0.2943909466,0.7840124369,0.2651575208,0.62087363,1.1215903759,1.3072166443
88,0.2505276799,0.9480326772,0.2881870568,0.6246258616,1.1492909193,1.6171388626
-90,0.3177610934,0.3887467086,0.3176657557,0.8106539845,0.7492124438,1.6319169998
-88,0.2330646664,0.3311187327,0.2604062557,0.4142642915,0.6555697918,1.115393877
-86,0.261257261,0.3077779114,0.2141127884,0.42454651,0.6081423163,1.1358380318
-84,0.3051713407,0.3748390377,0.2855317891,0.4328259528,0.700586617,1.1086665392
-82,0.2672429085,0.3290202618,0.2942620516,0.5009066463,0.5886616111,1.0447288752
-80,0.3077279031,0.2819101512,0.3114386201,0.4870044291,0.6008160114,1.2769628763
-78,0.3186128139,0.3986535966,0.4034640193,0.4905121624,0.7512168288,1.3000426292
-76,0.3443083465,0.5201681256,0.405911386,0.5797759891,0.780839324,1.2936902046
-74,0.3759921193,0.5243163705,0.3636853099,0.7608947158,0.7045032382,1.3604627848
-72,0.4200031161,0.5378877521,0.401376456,0.7096971273,0.6936985254,1.2778139114
-70,0.4555115402,0.663775146,0.4660252035,0.8095843792,0.6998904347,1.3860428333
-68,0.517873168,0.8185335994,0.5443195105,0.8008374572,0.7156227231,1.2896523476
-66,0.4864306748,0.9727340937,0.5381764174,0.9996496439,0.6493549347,1.6085839272
-64,0.6265926361,0.9663844109,0.570586741,1.2325873375,0.7455499172,1.4927806854
-62,0.7670838237,1.3011491299,0.5463587046,1.1140987873,0.7072038651,1.4750550985
-60,0.7572916746,1.1598523855,0.6222671866,1.3414510489,0.8098396063,1.4294682741
-58,0.9911952019,1.3058542013,0.7512405515,1.3458549976,0.9187514782,1.4070243835
-56,1.0865393877,1.4789706469,0.9613447785,1.6920608282,0.8390969038,1.1818324327
-54,1.0698229074,1.2974401712,0.7843708992,1.4474549294,0.7817683816,1.3370724916
-52,1.2073761225,1.1802396774,0.7948051691,1.5527839661,0.8640802503,1.1815074682
-50,1.2196429968,1.5596548319,0.8452240229,1.6335419416,1.0296107531,1.1018975973
-48,1.2592656612,1.4476233721,0.9249937534,1.6794148684,1.095567584,1.0909194946
-46,1.6427295208,1.9282977581,1.1016675234,2.4190995693,1.2041105032,1.2384804487
-44,1.2769424915,1.3929613829,1.0672972202,1.9055399895,0.9342403412,1.0656988621
-42,1.4322924614,1.2151503563,1.0982761383,1.9108734131,1.0638649464,1.1051164865
-40,1.3855253458,1.1487108469,1.354177475,1.8623495102,1.0914078951,1.0931669474
-38,1.5299152136,1.0540654659,1.1891465187,1.9274542332,1.035358429,1.0427343845
-36,1.6818928719,1.1964873075,1.4602464437,1.9565039873,1.1954330206,1.0464158058
-34,1.719163537,1.2912354469,1.3565051556,2.0569045544,1.3639303446,1.1370928288
-32,1.7542800903,1.1192038059,1.4894984961,1.8487895727,1.2921149731,1.1422746181
-30,1.8368725777,1.2186139822,1.6087015867,1.7112994194,1.4072699547,1.1237611771
-28,2.2423181534,1.3282856941,1.658754468,1.8312494755,1.320749402,1.0721790791
-26,2.3250293732,1.3058972359,1.6871939898,1.5797203779,1.3764322996,1.196573019
-24,2.1506299973,1.284019351,1.9162743092,1.6579889059,1.246901989,1.1649429798
-22,2.3093254566,1.4411066771,1.8130702972,1.6635570526,1.3723893166,1.2257971764
-20,2.2644190788,1.6897166967,2.1446239948,1.4732377529,1.4599983692,1.098385334
-18,2.2987318039,1.6698278189,2.284419775,1.3956307173,1.4714926481,1.3225607872
-16,2.7736022472,1.759573102,2.4873466492,1.4565196037,1.6427845955,1.1495593786
-14,3.2758347988,1.9911496639,2.5506653786,1.5070486069,1.9640232325,1.2210743427
-12,2.3771619797,1.5493409634,2.0699675083,1.402513504,1.5799344778,1.0833777189
-10,2.3747398853,1.5777367353,1.7314999104,1.3998401165,1.8264648914,0.9766889215
-8,2.1130208969,1.285089612,2.0580236912,1.2340371609,1.4985531569,0.9440850616
-6,2.3581926823,1.2078047991,1.8347655535,1.2679234743,1.6433978081,0.9987672567
-4,2.5783147812,1.3987662792,1.8512291908,1.4133486748,1.6758738756,1.006678462
-2,2.7796571255,1.7668288946,2.2340173721,1.4638520479,1.9849505424,0.9530889392
1.27222193825778E-013,3.4176998138,2.2745463848,2.9473862648,2.0095608234,1.9907697439,1.078066349
2,1.9859181643,1.2504416704,2.1653749943,1.3430045843,1.3873364925,0.9426335096
4,1.7619199753,1.2740252018,2.2092308998,1.1051024199,1.3586076498,0.8817586303
6,1.6136684418,1.3868758678,1.8662085533,1.0139058828,1.354544282,0.7880980968
8,1.6724514961,1.4528977871,1.9233096838,1.0651164055,1.4842686653,0.8709968328
10,1.6532553434,1.5013048649,2.0934171677,0.9480783939,1.489400506,0.8587716818
12,1.8570783138,2.1129257679,1.9320405722,0.910612464,1.7902811766,0.735501349
14,1.5329246521,1.7394003868,1.6687024832,0.8251491785,1.6091228724,0.940380156
16,1.3393342495,1.3786764145,1.7882721424,0.8489151001,1.7526019812,0.8284844756
18,1.1627415419,1.2222654819,1.5372453928,0.9179574847,1.471942544,0.7811551094
20,1.2287529707,1.1400609016,1.4944751263,0.8268067241,1.3892002106,0.9301578403
22,1.1928364038,1.1409897804,1.477317214,0.7510179281,1.1643327475,0.8632898331
24,1.024266243,1.2914448977,1.4371953011,0.8562944531,1.2184163332,0.9406898022
26,1.1619374752,1.2710790634,1.3445979357,1.1740996838,1.2030764818,0.8616819978
28,0.9830135703,1.3718079329,1.3710378408,1.0751105547,1.0024296045,0.9829541445
30,1.014513731,1.384642005,1.3500202894,1.0824346542,0.9784432054,0.8887383938
32,0.882101357,1.5695039034,1.2765978575,0.9884567261,1.2654762268,1.0155824423
34,0.75823313,1.3702808619,1.3000606298,1.112388134,1.0530238152,1.0734112263
36,0.6463978291,1.0352119207,1.2038478851,1.0313440561,0.9913042188,0.9582211375
38,0.6123165488,1.1409221888,1.1963523626,0.9231849909,1.0431526899,1.0815552473
40,0.6627636552,1.1083796024,1.2485949993,1.0635457039,1.0799407959,1.130177021
42,0.524099052,1.0754886866,1.0599499941,1.1719354391,1.0518683195,1.0055574179
44,0.6845216751,1.4949859381,1.1671900749,1.5456185341,1.2878427505,1.4251939058
46,0.5612071157,1.1959248781,0.8900054097,1.0299717188,1.1374686956,1.0572223663
48,0.4996734262,1.1399635077,0.8892475367,1.0714576244,1.2354459763,0.9737789035
50,0.4432409704,1.0386463404,0.8591413498,1.0323637724,1.3890390396,0.9984947443
52,0.5073451996,1.0103180408,0.7368377447,0.9551441669,1.192040205,1.0180034637
54,0.4746642709,1.0127081871,0.6850412488,0.9605734348,1.4343403578,1.2242110968
56,0.4652059972,1.1774945259,0.7357976437,1.1050652266,1.2618534565,1.2239435911
58,0.4053707719,1.0209985971,0.6699336171,0.9802622795,1.1299268007,1.1133162975
60,0.4210337102,0.9724630117,0.5818338394,0.8174547553,1.038417697,1.0365724564
62,0.418797791,1.054314971,0.5995197892,0.9328214526,1.043779254,1.0137689114
64,0.4003264308,0.9224562049,0.7063463926,0.7013004422,0.8495511413,1.1191031933
66,0.3575216532,0.8635885715,0.4630661309,0.6644841433,0.8467544317,1.1513170004
68,0.433760494,0.8030929565,0.4516176283,0.6101049781,0.9251302481,1.0739229918
70,0.386749506,0.7363768816,0.4498154521,0.6635908484,0.7625626922,1.0265815258
72,0.3757509589,0.659424603,0.3971529305,0.5732569695,0.6951745749,1.1644419432
74,0.3337930441,0.6401441097,0.3294963241,0.5568941236,0.6935542226,1.0673885345
76,0.3599794507,0.5534787774,0.3337793648,0.6218450665,0.7259671688,1.1048383713
78,0.266379565,0.505094707,0.3019548357,0.4596021771,0.625957787,1.1935206652
80,0.2705810666,0.4835498929,0.2940560281,0.4882360995,0.6808009148,1.040335536
82,0.2877153456,0.3590613008,0.2619371116,0.3897182345,0.6424126029,1.0470217466
84,0.3156453371,0.3558296263,0.2307841927,0.3742974997,0.6640020013,1.1724677086
86,0.2733219266,0.2850548923,0.2174238563,0.436429292,0.7204899192,1.1536997557
88,0.292830646,0.255337894,0.2018499076,0.3798023462,0.5466869473,1.2271391153
-90,0.4422893524,0.8697047234,0.4278122783,0.9891631603,1.021851182,1.239484787
-88,0.394685775,0.7720258236,0.267603904,0.5751165748,0.8298330307,0.9983858466
-86,0.393343538,0.9195394516,0.2777944505,0.5933852792,0.7665772438,0.9569500089
-84,0.5195047259,0.7430897951,0.2935183644,0.5223247409,0.7479402423,0.8635901809
-82,0.4274887741,0.8860641122,0.390034467,0.6413134933,0.7681117654,0.9182845354
-80,0.4810447991,0.9360009432,0.3540973663,0.5782008171,0.823118329,0.9891355634
-78,0.6591311693,1.0072289705,0.3710153103,0.5627067089,0.9003451467,0.8939985633
-76,0.6436222196,1.0141963959,0.3529900312,0.6291935444,0.7586250305,0.8963708282
-74,0.6174411774,0.9853540659,0.3945730925,0.7195185423,0.7633202672,0.9574456811
-72,0.5216334462,1.0430430174,0.3789821863,0.7072451711,0.7314568162,0.9027485251
-70,0.6035767794,1.0291581154,0.3798809648,0.6594908237,0.6699130535,0.9008685946
-68,0.604551971,1.0253869295,0.4057000875,0.7626426816,0.7247783542,0.8650089502
-66,0.6858094335,1.1765424013,0.4463917315,0.6723186374,0.6615059972,0.816170156
-64,0.6513125896,1.254971385,0.4559182823,0.8810175657,0.8161664009,0.8390349746
-62,0.70672822,1.3031247854,0.5762919188,0.7312011123,0.7870284915,0.9101184011
-60,0.8688032627,1.4449174404,0.5803293586,0.7351670265,0.7018474936,0.7979165912
-58,0.953707397,1.2895498276,0.6419048905,0.8555455804,0.5459277034,0.9231337309
-56,0.8483070135,1.5251851082,0.8003652692,0.9579484463,0.5895777345,1.0243906975
-54,0.8635855317,1.3938063383,0.7991219759,0.7833606601,0.6523072124,1.1319974661
-52,0.904234767,1.529795289,0.7252444625,0.8860399723,0.6191303134,0.9500754476
-50,0.9591959715,1.4867275953,0.7253611088,0.8643660545,0.553652823,0.8742637634
-48,0.9650893807,1.4908579588,0.7774655223,0.970214963,0.7361898422,0.7521886826
-46,1.170383215,1.8762869835,1.1372510195,1.4925949574,0.7828329206,0.8440793753
-44,1.0123029947,1.4933475256,0.9802122712,1.0827504396,0.6163393259,0.8083482385
-42,1.1051020622,1.494992733,1.0306704044,1.0420985222,0.6096448898,0.8551585078
-40,0.9903275967,1.3099350929,1.1576300859,1.2007840872,0.5324773192,0.7939347625
-38,1.2279317379,1.3045871258,1.2227776051,1.1358616352,0.7612729669,0.8671364784
-36,1.2199289799,1.4540874958,1.3598607779,1.2361499071,0.7090454698,1.0211390257
-34,1.1252250671,1.3212903738,1.5361392498,1.157040596,0.7288818359,0.7996065617
-32,1.1178375483,1.4012099504,1.6231621504,1.333351016,0.9190433025,0.6827143431
-30,1.222720623,1.3749835491,1.634976387,1.3400864601,0.9189171791,0.7814460397
-28,1.1020476818,1.3226860762,1.9485423565,1.4266924858,0.8570545912,0.8245244026
-26,1.3150128126,1.4325766563,1.8160694838,1.2120441198,1.0462783575,0.9154535532
-24,1.3990467787,1.2748446465,1.8650383949,1.3508423567,1.0228341818,0.7966356874
-22,1.4859582186,1.2447658777,1.9681761265,1.3689213991,1.106415391,0.8219932318
-20,1.4850621223,1.4034167528,1.9524351358,1.3376315832,1.1689554453,0.7742525935
-18,1.6239135265,1.2800467014,2.3324816227,1.3659446239,1.0582906008,0.8563694954
-16,1.6878865957,1.3589978218,2.327534914,1.2325358391,1.1745003462,0.8308602571
-14,2.329315424,1.3653182983,2.6943454742,1.2236537933,1.3736556768,0.8577517867
-12,1.812287569,1.2790957689,2.1897237301,1.3084026575,1.1733839512,0.7566688061
-10,1.702136755,1.1494743824,2.4004211426,1.2062402964,1.2112140656,0.9159598947
-8,1.7443004847,1.1954363585,1.9721540213,1.1642560959,1.3744891882,0.7571274042
-6,1.9832065105,1.0888816118,2.0922131538,1.1712027788,1.4192166328,0.8484587669
-4,2.150844574,1.252358675,2.1881194115,1.1067669392,1.5197428465,0.7257692218
-2,2.6648256779,1.281359911,2.6212003231,1.2747656107,1.5469236374,1.125882268
