image,time_in_serie,segment_id,length,direction,start_x,start_y,end_x,end_y,environment,reporter_id,intensity,intensity_ratio,diameter,rep_x,rep_y
60-15-col-ww-2.tif,1,1ff7439f-60d3-408f-b44f-5198275b3d6f,32.449963,56.30992298541568,893,10,866,28,38.56141,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,1,bde8a148-f80d-4923-b4f9-5fbaded2963c,59.3043,84.193296007779,865,24,806,30,38.7835,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,1,7d57cf5f-a9bc-4528-9818-36b4cc03ca32,83.761566,33.31064202010077,923,24,969,94,40.9007,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,1,9aebb73c-e82e-4241-bcac-89cc9c90eb19,35.341194,64.885157186475,928,51,896,66,41.621,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,1,1f91423d-6566-4152-a89f-2641db3670f4,53.450912,17.417966614018326,926,68,942,119,41.3652,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,1,8bccc20b-aa79-441b-a850-5d4b20e95658,20.248457,57.09475270218519,845,73,828,84,40.0635,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,1,776ea057-f50e-42eb-a57f-b3f2ae8aa8f3,30.870699,65.09522648458793,925,78,897,91,42.0718,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,1,9ba32d15-2717-4d96-8cdd-66ff5cc49339,79.30952,5.06362835983532,898,92,891,171,42.3942,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,1,1050ab42-5bfb-4630-8399-763933883795,62.225395,44.99999169020066,966,95,1010,139,40.7054,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,1,2d754fb1-1190-4a10-b59e-40b34953bcad,43.081318,68.19859123587491,894,96,854,112,39.4028,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,1,1182f727-27d7-4408-bf6b-b6ecf13faaf2,58.5235,56.85299269281404,828,134,877,166,41.9002,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,1,0abd3487-e0cf-4436-96ff-4c218c8a8885,64.03124,14.470302855050932,1010,140,1026,202,40.7112,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,1,0b13cead-dcd6-4325-bc83-6ceb4dc5668a,61.073727,50.31453456263091,973,155,1020,194,40.8061,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,1,20a3208a-dc7c-410e-bd4b-8f0dd3eed958,139.58868,28.217341268774902,890,167,824,290,41.6314,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,1,4687e369-afa4-4e8c-9227-4000c566443c,29.068884,63.43494546763185,943,169,969,182,41.2417,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,1,85449ee3-7c29-4d79-ae57-ab098f91d304,41.59327,9.688787945448496,943,171,950,212,40.0536,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,1,d7e3ee65-d0ea-431f-9ce0-67796da096e9,297.6592,32.5154700304372,948,172,788,423,42.3147,-1,-1,-1,-1,-1,-1
60-15-col-ww-2.tif,1,d0d5a74b-ea12-4c47-8d89-1479b36ba6ca,51.40039,52.907165088541035,966,183,1007,214,41.6803,-1,-1,-1,-1,-1,-1
